LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_HBALLEGATIONS_SEX,SCH_HBALLEGATIONS_RAC,SCH_HBALLEGATIONS_DIS,SCH_HBALLEGATIONS_ORI,SCH_HBALLEGATIONS_REL,SCH_HBREPORTED_SEX_HI_M,SCH_HBREPORTED_SEX_HI_F,SCH_HBREPORTED_SEX_AM_M,SCH_HBREPORTED_SEX_AM_F,SCH_HBREPORTED_SEX_AS_M,SCH_HBREPORTED_SEX_AS_F,SCH_HBREPORTED_SEX_HP_M,SCH_HBREPORTED_SEX_HP_F,SCH_HBREPORTED_SEX_BL_M,SCH_HBREPORTED_SEX_BL_F,SCH_HBREPORTED_SEX_WH_M,SCH_HBREPORTED_SEX_WH_F,SCH_HBREPORTED_SEX_TR_M,SCH_HBREPORTED_SEX_TR_F,TOT_HBREPORTED_SEX_M,TOT_HBREPORTED_SEX_F,SCH_HBREPORTED_SEX_LEP_M,SCH_HBREPORTED_SEX_LEP_F,SCH_HBREPORTED_SEX_IDEA_M,SCH_HBREPORTED_SEX_IDEA_F,SCH_HBREPORTED_SEX_504_M,SCH_HBREPORTED_SEX_504_F,SCH_HBREPORTED_RAC_HI_M,SCH_HBREPORTED_RAC_HI_F,SCH_HBREPORTED_RAC_AM_M,SCH_HBREPORTED_RAC_AM_F,SCH_HBREPORTED_RAC_AS_M,SCH_HBREPORTED_RAC_AS_F,SCH_HBREPORTED_RAC_HP_M,SCH_HBREPORTED_RAC_HP_F,SCH_HBREPORTED_RAC_BL_M,SCH_HBREPORTED_RAC_BL_F,SCH_HBREPORTED_RAC_WH_M,SCH_HBREPORTED_RAC_WH_F,SCH_HBREPORTED_RAC_TR_M,SCH_HBREPORTED_RAC_TR_F,TOT_HBREPORTED_RAC_M,TOT_HBREPORTED_RAC_F,SCH_HBREPORTED_RAC_LEP_M,SCH_HBREPORTED_RAC_LEP_F,SCH_HBREPORTED_RAC_IDEA_M,SCH_HBREPORTED_RAC_IDEA_F,SCH_HBREPORTED_RAC_504_M,SCH_HBREPORTED_RAC_504_F,SCH_HBREPORTED_DIS_HI_M,SCH_HBREPORTED_DIS_HI_F,SCH_HBREPORTED_DIS_AM_M,SCH_HBREPORTED_DIS_AM_F,SCH_HBREPORTED_DIS_AS_M,SCH_HBREPORTED_DIS_AS_F,SCH_HBREPORTED_DIS_HP_M,SCH_HBREPORTED_DIS_HP_F,SCH_HBREPORTED_DIS_BL_M,SCH_HBREPORTED_DIS_BL_F,SCH_HBREPORTED_DIS_WH_M,SCH_HBREPORTED_DIS_WH_F,SCH_HBREPORTED_DIS_TR_M,SCH_HBREPORTED_DIS_TR_F,TOT_HBREPORTED_DIS_M,TOT_HBREPORTED_DIS_F,SCH_HBREPORTED_DIS_LEP_M,SCH_HBREPORTED_DIS_LEP_F,SCH_HBREPORTED_DIS_IDEA_M,SCH_HBREPORTED_DIS_IDEA_F,SCH_HBREPORTED_DIS_504_M,SCH_HBREPORTED_DIS_504_F,SCH_HBDISCIPLINED_SEX_HI_M,SCH_HBDISCIPLINED_SEX_HI_F,SCH_HBDISCIPLINED_SEX_AM_M,SCH_HBDISCIPLINED_SEX_AM_F,SCH_HBDISCIPLINED_SEX_AS_M,SCH_HBDISCIPLINED_SEX_AS_F,SCH_HBDISCIPLINED_SEX_HP_M,SCH_HBDISCIPLINED_SEX_HP_F,SCH_HBDISCIPLINED_SEX_BL_M,SCH_HBDISCIPLINED_SEX_BL_F,SCH_HBDISCIPLINED_SEX_WH_M,SCH_HBDISCIPLINED_SEX_WH_F,SCH_HBDISCIPLINED_SEX_TR_M,SCH_HBDISCIPLINED_SEX_TR_F,TOT_HBDISCIPLINED_SEX_M,TOT_HBDISCIPLINED_SEX_F,SCH_HBDISCIPLINED_SEX_LEP_M,SCH_HBDISCIPLINED_SEX_LEP_F,SCH_HBDISCIPLINED_SEX_IDEA_M,SCH_HBDISCIPLINED_SEX_IDEA_F,SCH_HBDISCIPLINED_SEX_504_M,SCH_HBDISCIPLINED_SEX_504_F,SCH_HBDISCIPLINED_RAC_HI_M,SCH_HBDISCIPLINED_RAC_HI_F,SCH_HBDISCIPLINED_RAC_AM_M,SCH_HBDISCIPLINED_RAC_AM_F,SCH_HBDISCIPLINED_RAC_AS_M,SCH_HBDISCIPLINED_RAC_AS_F,SCH_HBDISCIPLINED_RAC_HP_M,SCH_HBDISCIPLINED_RAC_HP_F,SCH_HBDISCIPLINED_RAC_BL_M,SCH_HBDISCIPLINED_RAC_BL_F,SCH_HBDISCIPLINED_RAC_WH_M,SCH_HBDISCIPLINED_RAC_WH_F,SCH_HBDISCIPLINED_RAC_TR_M,SCH_HBDISCIPLINED_RAC_TR_F,TOT_HBDISCIPLINED_RAC_M,TOT_HBDISCIPLINED_RAC_F,SCH_HBDISCIPLINED_RAC_LEP_M,SCH_HBDISCIPLINED_RAC_LEP_F,SCH_HBDISCIPLINED_RAC_IDEA_M,SCH_HBDISCIPLINED_RAC_IDEA_F,SCH_HBDISCIPLINED_RAC_504_M,SCH_HBDISCIPLINED_RAC_504_F,SCH_HBDISCIPLINED_DIS_HI_M,SCH_HBDISCIPLINED_DIS_HI_F,SCH_HBDISCIPLINED_DIS_AM_M,SCH_HBDISCIPLINED_DIS_AM_F,SCH_HBDISCIPLINED_DIS_AS_M,SCH_HBDISCIPLINED_DIS_AS_F,SCH_HBDISCIPLINED_DIS_HP_M,SCH_HBDISCIPLINED_DIS_HP_F,SCH_HBDISCIPLINED_DIS_BL_M,SCH_HBDISCIPLINED_DIS_BL_F,SCH_HBDISCIPLINED_DIS_WH_M,SCH_HBDISCIPLINED_DIS_WH_F,SCH_HBDISCIPLINED_DIS_TR_M,SCH_HBDISCIPLINED_DIS_TR_F,TOT_HBDISCIPLINED_DIS_M,TOT_HBDISCIPLINED_DIS_F,SCH_HBDISCIPLINED_DIS_LEP_M,SCH_HBDISCIPLINED_DIS_LEP_F,SCH_HBDISCIPLINED_DIS_IDEA_M,SCH_HBDISCIPLINED_DIS_IDEA_F,SCH_HBDISCIPLINED_DIS_504_M,SCH_HBDISCIPLINED_DIS_504_F
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,8002,CHEYENNE WELLS ELEMENTARY SCHOOL,080000100214,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,8002,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,080000100215,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800004,DENVER 1,8007,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,080000400709,No,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800016,Yuma 1 School District,8017,LITTLE INDIANS PRESCHOOL,080001601745,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800016,Yuma 1 School District,8018,YUMA MIDDLE SCHOOL,080001601819,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800016,Yuma 1 School District,8018,KENNETH P MORRIS ELEMENTARY SCHOOL,080001601820,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800016,Yuma 1 School District,8018,YUMA HIGH SCHOOL,080001601821,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800017,Wray RD-2 School District,8018,WRAY ELEMENTARY SCHOOL,080001701816,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800017,Wray RD-2 School District,8018,BUCHANAN MIDDLE SCHOOL,080001701817,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800017,Wray RD-2 School District,8018,WRAY HIGH SCHOOL,080001701818,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
