LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSENR_NONIDEA_A3,SCH_PSENR_NONIDEA_A4,SCH_PSENR_NONIDEA_A5,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_504_M,SCH_ENR_504_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_LEPENR_HI_M,SCH_LEPENR_HI_F,SCH_LEPENR_AM_M,SCH_LEPENR_AM_F,SCH_LEPENR_AS_M,SCH_LEPENR_AS_F,SCH_LEPENR_HP_M,SCH_LEPENR_HP_F,SCH_LEPENR_BL_M,SCH_LEPENR_BL_F,SCH_LEPENR_WH_M,SCH_LEPENR_WH_F,SCH_LEPENR_TR_M,SCH_LEPENR_TR_F,TOT_LEPENR_M,TOT_LEPENR_F,SCH_LEPPROGENR_HI_M,SCH_LEPPROGENR_HI_F,SCH_LEPPROGENR_AM_M,SCH_LEPPROGENR_AM_F,SCH_LEPPROGENR_AS_M,SCH_LEPPROGENR_AS_F,SCH_LEPPROGENR_HP_M,SCH_LEPPROGENR_HP_F,SCH_LEPPROGENR_BL_M,SCH_LEPPROGENR_BL_F,SCH_LEPPROGENR_WH_M,SCH_LEPPROGENR_WH_F,SCH_LEPPROGENR_TR_M,SCH_LEPPROGENR_TR_F,TOT_LEPPROGENR_M,TOT_LEPPROGENR_F,SCH_LEPPROGENR_IDEA_M,SCH_LEPPROGENR_IDEA_F,SCH_IDEAENR_HI_M,SCH_IDEAENR_HI_F,SCH_IDEAENR_AM_M,SCH_IDEAENR_AM_F,SCH_IDEAENR_AS_M,SCH_IDEAENR_AS_F,SCH_IDEAENR_HP_M,SCH_IDEAENR_HP_F,SCH_IDEAENR_BL_M,SCH_IDEAENR_BL_F,SCH_IDEAENR_WH_M,SCH_IDEAENR_WH_F,SCH_IDEAENR_TR_M,SCH_IDEAENR_TR_F,TOT_IDEAENR_M,TOT_IDEAENR_F,SCH_IDEAENR_LEP_M,SCH_IDEAENR_LEP_F,SCH_504ENR_HI_M,SCH_504ENR_HI_F,SCH_504ENR_AM_M,SCH_504ENR_AM_F,SCH_504ENR_AS_M,SCH_504ENR_AS_F,SCH_504ENR_HP_M,SCH_504ENR_HP_F,SCH_504ENR_BL_M,SCH_504ENR_BL_F,SCH_504ENR_WH_M,SCH_504ENR_WH_F,SCH_504ENR_TR_M,SCH_504ENR_TR_F,TOT_504ENR_M,TOT_504ENR_F,SCH_504ENR_LEP_M,SCH_504ENR_LEP_F
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,214,CHEYENNE WELLS ELEMENTARY SCHOOL,080000100214,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0,11,3,0,0,11,3,0,0,0,1,6,5,0,0,0,0,0,0,0,1,50,51,0,0,56,57,1,0,0,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,215,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,080000100215,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,5,1,0,0,0,0,0,0,0,0,33,27,0,0,38,28,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CO,COLORADO,0800004,DENVER 1,709,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,080000400709,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,26,19,0,0,6,4,0,0,4,6,159,126,27,13,222,168,3,6,21,8,38,14,2,1,0,0,0,0,0,0,1,2,0,3,0,0,3,6,1,1,0,0,0,0,0,0,1,2,0,3,0,0,2,6,2,1,5,2,0,0,0,0,0,0,2,0,25,10,6,2,38,14,2,1,1,0,0,0,0,0,0,0,0,0,18,8,2,0,21,8,0,0
CO,COLORADO,0800016,Yuma 1 School District,1745,LITTLE INDIANS PRESCHOOL,080001601745,No,No,Yes,Yes,23,13,0,0,0,0,0,0,0,0,12,12,0,0,35,25,0,0,11,5,23,13,0,0,0,0,0,0,0,0,12,12,0,0,35,25,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,5,3,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,0800016,Yuma 1 School District,1819,YUMA MIDDLE SCHOOL,080001601819,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,59,67,0,0,0,0,0,0,2,0,53,59,2,0,116,126,34,47,2,2,12,8,32,47,0,0,0,0,0,0,0,0,2,0,0,0,34,47,32,47,0,0,0,0,0,0,0,0,2,0,0,0,34,47,2,6,4,6,0,0,0,0,0,0,0,0,7,2,1,0,12,8,3,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0
CO,COLORADO,0800016,Yuma 1 School District,1820,KENNETH P MORRIS ELEMENTARY SCHOOL,080001601820,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,88,87,0,0,0,0,0,0,2,1,62,65,0,0,152,153,73,59,1,0,27,15,73,59,0,0,0,0,0,0,0,0,0,0,0,0,73,59,73,59,0,0,0,0,0,0,0,0,0,0,0,0,73,59,14,5,15,10,0,0,0,0,0,0,0,1,12,4,0,0,27,15,14,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CO,COLORADO,0800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,080001601821,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,63,53,0,0,0,1,0,0,0,0,57,49,1,0,121,103,40,25,1,4,22,7,40,24,0,0,0,1,0,0,0,0,0,0,0,0,40,25,40,24,0,0,0,1,0,0,0,0,0,0,0,0,40,25,12,5,13,5,0,0,0,0,0,0,0,0,9,2,0,0,22,7,12,5,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,4,0,0
CO,COLORADO,0800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,080001701816,No,No,Yes,Yes,6,4,0,0,0,0,0,0,0,0,21,20,1,0,28,24,0,0,10,2,47,49,0,0,0,0,0,0,0,0,117,114,1,1,165,164,26,25,1,0,29,12,24,23,0,0,0,0,0,0,0,0,2,2,0,0,26,25,24,23,0,0,0,0,0,0,0,0,2,2,0,0,26,25,2,2,5,2,0,0,0,0,0,0,0,0,24,10,0,0,29,12,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CO,COLORADO,0800017,Wray RD-2 School District,1817,BUCHANAN MIDDLE SCHOOL,080001701817,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,26,32,1,2,0,0,0,0,0,0,76,84,1,0,104,118,12,21,4,2,18,14,12,19,0,1,0,0,0,0,0,0,0,1,0,0,12,21,12,19,0,1,0,0,0,0,0,0,0,1,0,0,12,21,2,2,3,2,0,1,0,0,0,0,0,0,15,11,0,0,18,14,2,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,2,0,0
CO,COLORADO,0800017,Wray RD-2 School District,1818,WRAY HIGH SCHOOL,080001701818,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,36,18,0,0,0,1,0,0,0,0,49,63,4,0,89,82,15,2,1,2,12,4,14,2,0,0,0,0,0,0,0,0,1,0,0,0,15,2,14,2,0,0,0,0,0,0,0,0,1,0,0,0,15,2,3,1,6,1,0,0,0,0,0,0,0,0,6,3,0,0,12,4,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0
