LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
CO,COLORADO,800016,Yuma 1 School District,1819,YUMA MIDDLE SCHOOL,80001601819,No,HI,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800017,Wray RD-2 School District,1817,BUCHANAN MIDDLE SCHOOL,80001701817,No,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800020,State Charter School Institute,727,ACADEMY OF CHARTER SCHOOLS,80002000727,No,HI,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800020,State Charter School Institute,6503,GLOBAL VILLAGE ACADEMY - NORTHGLENN,80002006503,No,HI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,6586,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,80002006586,No,HI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800020,State Charter School Institute,6595,JAMES IRWIN CHARTER ACADEMY,80002006595,No,HI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,6701,MOUNTAIN VILLAGE MONTESSORI CHARTER SCHOOL,80002006701,No,HI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800023,COLORADO SCHOOL FOR THE DEAF AND BLIND,6410,COLORADO SCHOOL FOR THE DEAF AND BLIND,80002306410,No,HI,0,1,2,32,3,0,22,0,2,4,18,3,0,18,105,0,60,0,45,0,0,0,0,0,0,29,31,0,0,0,0,0,0,14,31
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1,CHALLENGER MIDDLE SCHOOL,80192000001,No,HI,0,1,0,0,0,0,1,0,2,0,0,0,0,1,5,0,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",2,AIR ACADEMY HIGH SCHOOL,80192000002,No,HI,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",4,EDITH WOLFORD ELEMENTARY SCHOOL,80192000004,No,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",5,MOUNTAIN VIEW ELEMENTARY SCHOOL,80192000005,No,HI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",7,ROCKRIMMON ELEMENTARY SCHOOL,80192000007,No,HI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",8,WOODMEN-ROBERTS ELEMENTARY SCHOOL,80192000008,No,HI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1402,EAGLEVIEW MIDDLE SCHOOL,80192001402,No,HI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1462,TIMBERVIEW MIDDLE SCHOOL,80192001462,No,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1592,THE CLASSICAL ACADEMY CHARTER,80192001592,No,HI,0,0,0,0,1,0,1,0,1,0,0,0,0,3,6,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1644,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,80192001644,No,HI,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1645,PINE CREEK HIGH SCHOOL,80192001645,No,HI,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1905,DISCOVERY CANYON CAMPUS HIGH SCHOOL,80192001905,No,HI,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1931,THE CLASSICAL ACADEMY MIDDLE SCHOOL,80192001931,No,HI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1943,THE CLASSICAL ACADEMY HIGH SCHOOL,80192001943,No,HI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6329,CHINOOK TRAIL ELEMENTARY SCHOOL,80192006329,No,HI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6336,RANCH CREEK ELEMENTARY,80192006336,No,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6447,TCA COLLEGE PATHWAYS,80192006447,No,HI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6616,DISCOVERY CANYON CAMPUS MIDDLE SCHOOL,80192006616,No,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6631,DISCOVERY CANYON CAMPUS ELEMENTARY SCHOOL,80192006631,No,HI,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,9,ADAMS CITY MIDDLE SCHOOL,80195000009,No,HI,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,10,ADAMS CITY HIGH SCHOOL,80195000010,No,HI,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,13,DUPONT ELEMENTARY SCHOOL,80195000013,No,HI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,15,KEARNEY MIDDLE SCHOOL,80195000015,No,HI,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,16,KEMP ELEMENTARY SCHOOL,80195000016,No,HI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,19,ROSE HILL ELEMENTARY SCHOOL,80195000019,No,HI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802070,"Alamosa School District, No. Re-11J",26,ORTEGA MIDDLE SCHOOL,80207000026,No,HI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802070,"Alamosa School District, No. Re-11J",27,ALAMOSA HIGH SCHOOL,80207000027,No,HI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802070,"Alamosa School District, No. Re-11J",6459,ALAMOSA ELEMENTARY SCHOOL,80207006459,No,HI,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
CO,COLORADO,802190,Archuleta County School District No. 50 Jt,38,PAGOSA SPRINGS ELEMENTARY SCHOOL,80219000038,No,HI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802190,Archuleta County School District No. 50 Jt,40,PAGOSA SPRINGS MIDDLE SCHOOL,80219000040,No,HI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802190,Archuleta County School District No. 50 Jt,6717,PAGOSA PEAK OPEN SCHOOL,80219006717,-8,HI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802280,"Aspen School District No. 1, in the county of Pitkin and Sta",45,ASPEN ELEMENTARY SCHOOL,80228000045,No,HI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802310,Weld County School District No. Re-9,49,HIGHLAND ELEMENTARY SCHOOL,80231000049,No,HI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",52,ALTURA ELEMENTARY SCHOOL,80234000052,No,HI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",56,AURORA CENTRAL HIGH SCHOOL,80234000056,No,HI,0,1,0,3,0,0,0,0,0,0,3,0,0,1,8,3,1,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",57,CLYDE MILLER K-8,80234000057,No,HI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",58,CRAWFORD ELEMENTARY SCHOOL,80234000058,No,HI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",60,EAST MIDDLE SCHOOL,80234000060,No,HI,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",63,GATEWAY HIGH SCHOOL,80234000063,No,HI,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",67,KENTON ELEMENTARY SCHOOL,80234000067,No,HI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",68,LANSING ELEMENTARY COMMUNITY SCHOOL,80234000068,No,HI,0,0,1,7,0,0,0,0,0,1,7,0,0,1,17,7,1,7,2,0,0,0,0,4,4,0,0,0,0,0,1,8,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",74,NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY,80234000074,No,HI,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",75,PARIS ELEMENTARY SCHOOL,80234000075,No,HI,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",79,SOUTH MIDDLE SCHOOL,80234000079,No,HI,0,2,0,5,0,0,0,0,1,0,3,0,0,0,11,6,1,2,2,0,0,0,1,3,3,0,0,0,0,0,0,1,3,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",80,VAUGHN ELEMENTARY SCHOOL,80234000080,No,HI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",1295,DALTON ELEMENTARY SCHOOL,80234001295,No,HI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",1322,COLUMBIA MIDDLE SCHOOL,80234001322,No,HI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",1323,IOWA ELEMENTARY SCHOOL,80234001323,No,HI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",1324,TOLLGATE ELEMENTARY SCHOOL OF EXPEDITIONARY LEARNI,80234001324,No,HI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
