LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
CO,COLORADO,800001,Cheyenne County School District No. Re-5,215,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,80000100215,No,MR,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,800016,Yuma 1 School District,1819,YUMA MIDDLE SCHOOL,80001601819,No,MR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,800016,Yuma 1 School District,1820,KENNETH P MORRIS ELEMENTARY SCHOOL,80001601820,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,80001601821,No,MR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800017,Wray RD-2 School District,1817,BUCHANAN MIDDLE SCHOOL,80001701817,No,MR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,800020,State Charter School Institute,727,ACADEMY OF CHARTER SCHOOLS,80002000727,No,MR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,800020,State Charter School Institute,1882,NEW AMERICA SCHOOL - LOWRY,80002001882,No,MR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800020,State Charter School Institute,2018,STONE CREEK SCHOOL,80002002018,No,MR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,6305,CAPROCK ACADEMY,80002006305,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,6338,PIKES PEAK PREP,80002006338,No,MR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800020,State Charter School Institute,6390,EARLY COLLEGE OF ARVADA,80002006390,No,MR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800020,State Charter School Institute,6586,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,80002006586,No,MR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,800020,State Charter School Institute,6710,COLORADO EARLY COLLEGES AURORA,80002006710,-8,MR,0,0,0,2,0,0,0,0,0,2,2,0,0,0,6,1,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6600,COLORADO PREP ACADEMY,80028206600,No,MR,0,0,0,0,0,0,2,0,0,0,1,0,0,1,4,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6664,PIKES PEAK ONLINE SCHOOL,80028206664,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1,CHALLENGER MIDDLE SCHOOL,80192000001,No,MR,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",2,AIR ACADEMY HIGH SCHOOL,80192000002,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",4,EDITH WOLFORD ELEMENTARY SCHOOL,80192000004,No,MR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",8,WOODMEN-ROBERTS ELEMENTARY SCHOOL,80192000008,No,MR,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",531,PRAIRIE HILLS ELEMENTARY SCHOOL,80192000531,No,MR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1321,RAMPART HIGH SCHOOL,80192001321,No,MR,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1387,FRONTIER ELEMENTARY SCHOOL,80192001387,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1429,LIBERTY HIGH SCHOOL,80192001429,No,MR,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1430,PIONEER ELEMENTARY SCHOOL,80192001430,No,MR,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1462,TIMBERVIEW MIDDLE SCHOOL,80192001462,No,MR,0,0,0,0,0,0,1,0,0,0,0,1,0,2,4,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1496,EXPLORER ELEMENTARY SCHOOL,80192001496,No,MR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1593,MOUNTAIN RIDGE MIDDLE SCHOOL,80192001593,No,MR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1645,PINE CREEK HIGH SCHOOL,80192001645,No,MR,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1905,DISCOVERY CANYON CAMPUS HIGH SCHOOL,80192001905,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1931,THE CLASSICAL ACADEMY MIDDLE SCHOOL,80192001931,No,MR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6329,CHINOOK TRAIL ELEMENTARY SCHOOL,80192006329,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6616,DISCOVERY CANYON CAMPUS MIDDLE SCHOOL,80192006616,No,MR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6631,DISCOVERY CANYON CAMPUS ELEMENTARY SCHOOL,80192006631,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,9,ADAMS CITY MIDDLE SCHOOL,80195000009,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
