LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
CO,COLORADO,800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,80001601821,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,6305,CAPROCK ACADEMY,80002006305,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,6586,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,80002006586,No,OI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6600,COLORADO PREP ACADEMY,80028206600,No,OI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1,CHALLENGER MIDDLE SCHOOL,80192000001,No,OI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",4,EDITH WOLFORD ELEMENTARY SCHOOL,80192000004,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",5,MOUNTAIN VIEW ELEMENTARY SCHOOL,80192000005,No,OI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",8,WOODMEN-ROBERTS ELEMENTARY SCHOOL,80192000008,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",531,PRAIRIE HILLS ELEMENTARY SCHOOL,80192000531,No,OI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1462,TIMBERVIEW MIDDLE SCHOOL,80192001462,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1496,EXPLORER ELEMENTARY SCHOOL,80192001496,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1592,THE CLASSICAL ACADEMY CHARTER,80192001592,No,OI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1593,MOUNTAIN RIDGE MIDDLE SCHOOL,80192001593,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1645,PINE CREEK HIGH SCHOOL,80192001645,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1842,THE DA VINCI ACADEMY SCHOOL,80192001842,No,OI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1905,DISCOVERY CANYON CAMPUS HIGH SCHOOL,80192001905,No,OI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,16,KEMP ELEMENTARY SCHOOL,80195000016,No,OI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802070,"Alamosa School District, No. Re-11J",27,ALAMOSA HIGH SCHOOL,80207000027,No,OI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,802070,"Alamosa School District, No. Re-11J",6459,ALAMOSA ELEMENTARY SCHOOL,80207006459,No,OI,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CO,COLORADO,802280,"Aspen School District No. 1, in the county of Pitkin and Sta",1703,ASPEN COMMUNITY CHARTER SCHOOL,80228001703,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",54,AURORA HILLS MIDDLE SCHOOL,80234000054,No,OI,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",55,BOSTON K-8 SCHOOL,80234000055,No,OI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",56,AURORA CENTRAL HIGH SCHOOL,80234000056,No,OI,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",64,HINKLEY HIGH SCHOOL,80234000064,No,OI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",67,KENTON ELEMENTARY SCHOOL,80234000067,No,OI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",78,SIXTH AVENUE ELEMENTARY SCHOOL,80234000078,No,OI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",79,SOUTH MIDDLE SCHOOL,80234000079,No,OI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",81,VIRGINIA COURT ELEMENTARY SCHOOL,80234000081,No,OI,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",1389,RANGEVIEW HIGH SCHOOL,80234001389,No,OI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",1432,SIDE CREEK ELEMENTARY SCHOOL,80234001432,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",1881,MURPHY CREEK K-8 SCHOOL,80234001881,No,OI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",6611,VANGUARD CLASSICAL SCHOOL - EAST,80234006611,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802400,Bayfield School District No. 10Jt-R,88,BAYFIELD ELEMENTARY SCHOOL,80240000088,No,OI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,100,BIRCH ELEMENTARY SCHOOL,80249000100,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,101,BOULDER HIGH SCHOOL,80249000101,No,OI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,107,CENTAURUS HIGH SCHOOL,80249000107,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,111,DOUGLASS ELEMENTARY SCHOOL,80249000111,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,112,EISENHOWER ELEMENTARY SCHOOL,80249000112,No,OI,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,114,FAIRVIEW HIGH SCHOOL,80249000114,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,122,ANGEVINE MIDDLE SCHOOL,80249000122,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,124,LOUISVILLE ELEMENTARY SCHOOL,80249000124,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,130,NEDERLAND ELEMENTARY SCHOOL,80249000130,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,1365,RYAN ELEMENTARY SCHOOL,80249001365,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,1403,ALICIA SANCHEZ INTERNATIONAL SCHOOL,80249001403,No,OI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,1573,MONARCH K-8 SCHOOL,80249001573,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,1758,ASPEN CREEK K-8 SCHOOL,80249001758,No,OI,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
CO,COLORADO,802490,Boulder Valley School District No. Re2,6199,HORIZONS K-8 SCHOOL,80249006199,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802580,School District 27J,144,BRIGHTON HIGH SCHOOL,80258000144,No,OI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802580,School District 27J,146,HENDERSON ELEMENTARY SCHOOL,80258000146,No,OI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802580,School District 27J,148,NORTH ELEMENTARY SCHOOL,80258000148,No,OI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
