LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
CO,COLORADO,800001,Cheyenne County School District No. Re-5,214,CHEYENNE WELLS ELEMENTARY SCHOOL,80000100214,No,SLD,0,0,0,0,0,0,3,0,0,0,0,0,0,2,5,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
CO,COLORADO,800001,Cheyenne County School District No. Re-5,215,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,80000100215,No,SLD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800004,DENVER 1,709,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,80000400709,No,SLD,0,0,2,3,3,0,12,0,0,0,1,1,0,6,28,2,18,0,8,0,0,0,0,0,20,0,0,0,0,0,0,0,8,0,0
CO,COLORADO,800016,Yuma 1 School District,1819,YUMA MIDDLE SCHOOL,80001601819,No,SLD,0,0,0,2,0,0,4,0,0,0,4,0,0,1,11,2,4,2,3,0,0,0,0,0,6,0,0,0,0,0,0,1,4,0,0
CO,COLORADO,800016,Yuma 1 School District,1820,KENNETH P MORRIS ELEMENTARY SCHOOL,80001601820,No,SLD,0,0,0,7,0,0,4,0,0,0,6,0,0,2,19,5,6,4,4,0,0,0,0,5,6,0,0,0,0,0,0,3,5,0,0
CO,COLORADO,800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,80001601821,No,SLD,0,0,0,8,0,0,4,0,0,0,5,0,0,0,17,8,4,5,0,0,0,0,0,5,7,0,0,0,0,0,0,2,3,0,0
CO,COLORADO,800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,80001701816,No,SLD,0,0,0,2,0,0,1,0,0,0,1,0,0,2,6,1,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0
CO,COLORADO,800017,Wray RD-2 School District,1817,BUCHANAN MIDDLE SCHOOL,80001701817,No,SLD,0,0,0,3,0,0,7,0,0,0,1,0,0,5,16,1,9,1,5,0,0,0,0,2,8,0,0,0,0,0,0,1,5,0,0
CO,COLORADO,800017,Wray RD-2 School District,1818,WRAY HIGH SCHOOL,80001701818,No,SLD,0,0,0,5,0,0,3,0,0,0,1,0,0,3,12,4,4,1,3,0,0,0,0,1,7,0,0,0,0,0,0,0,4,0,0
CO,COLORADO,800018,Idalia RJ-3 School District,1741,IDALIA ELEMENTARY SCHOOL,80001801741,No,SLD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800018,Idalia RJ-3 School District,1742,IDALIA JUNIOR-SENIOR HIGH SCHOOL,80001801742,No,SLD,0,0,0,1,0,0,6,0,0,0,1,0,0,0,8,0,7,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800019,Liberty J-4 School District,1744,LIBERTY SCHOOL,80001901744,No,SLD,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800020,State Charter School Institute,727,ACADEMY OF CHARTER SCHOOLS,80002000727,No,SLD,0,1,0,18,4,0,12,0,0,0,5,0,0,9,49,2,33,0,14,0,0,0,0,1,34,0,0,0,0,0,0,0,14,0,0
CO,COLORADO,800020,State Charter School Institute,1569,CROWN POINTE CHARTER ACADEMY,80002001569,No,SLD,0,0,0,4,0,0,5,0,0,0,7,1,0,2,19,2,7,3,7,0,0,0,0,1,8,0,0,0,0,0,0,3,7,0,0
CO,COLORADO,800020,State Charter School Institute,1876,COMMUNITY LEADERSHIP ACADEMY,80002001876,No,SLD,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,1882,NEW AMERICA SCHOOL - LOWRY,80002001882,No,SLD,1,0,0,7,0,0,1,0,0,0,4,0,1,0,14,5,4,3,2,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0
