LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
CO,COLORADO,800016,Yuma 1 School District,1820,KENNETH P MORRIS ELEMENTARY SCHOOL,80001601820,No,TBI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800017,Wray RD-2 School District,1818,WRAY HIGH SCHOOL,80001701818,No,TBI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,727,ACADEMY OF CHARTER SCHOOLS,80002000727,No,TBI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,800020,State Charter School Institute,1569,CROWN POINTE CHARTER ACADEMY,80002001569,No,TBI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,6390,EARLY COLLEGE OF ARVADA,80002006390,No,TBI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800020,State Charter School Institute,6586,GLOBAL VILLAGE ACADEMY - COLORADO SPRINGS,80002006586,No,TBI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800020,State Charter School Institute,6708,COLORADO MILITARY ACADEMY,80002006708,-8,TBI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6600,COLORADO PREP ACADEMY,80028206600,No,TBI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6664,PIKES PEAK ONLINE SCHOOL,80028206664,No,TBI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",8,WOODMEN-ROBERTS ELEMENTARY SCHOOL,80192000008,No,TBI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1320,HIGH PLAINS ELEMENTARY SCHOOL,80192001320,No,TBI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1321,RAMPART HIGH SCHOOL,80192001321,No,TBI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1402,EAGLEVIEW MIDDLE SCHOOL,80192001402,No,TBI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1429,LIBERTY HIGH SCHOOL,80192001429,No,TBI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1593,MOUNTAIN RIDGE MIDDLE SCHOOL,80192001593,No,TBI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1645,PINE CREEK HIGH SCHOOL,80192001645,No,TBI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801950,School District N. 14 in the county of Adams & State of Colo,9,ADAMS CITY MIDDLE SCHOOL,80195000009,No,TBI,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802040,Akron School District No. R-1,25,AKRON HIGH SCHOOL,80204000025,No,TBI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802070,"Alamosa School District, No. Re-11J",26,ORTEGA MIDDLE SCHOOL,80207000026,No,TBI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,802070,"Alamosa School District, No. Re-11J",6459,ALAMOSA ELEMENTARY SCHOOL,80207006459,No,TBI,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802190,Archuleta County School District No. 50 Jt,38,PAGOSA SPRINGS ELEMENTARY SCHOOL,80219000038,No,TBI,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802310,Weld County School District No. Re-9,50,HIGHLAND HIGH SCHOOL,80231000050,No,TBI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802310,Weld County School District No. Re-9,1466,HIGHLAND MIDDLE SCHOOL,80231001466,No,TBI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",54,AURORA HILLS MIDDLE SCHOOL,80234000054,No,TBI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",55,BOSTON K-8 SCHOOL,80234000055,No,TBI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",56,AURORA CENTRAL HIGH SCHOOL,80234000056,No,TBI,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",59,DARTMOUTH ELEMENTARY SCHOOL,80234000059,No,TBI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",63,GATEWAY HIGH SCHOOL,80234000063,No,TBI,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
CO,COLORADO,802340,"Aurora, Joint District No. 28 of the counties of Adams and A",64,HINKLEY HIGH SCHOOL,80234000064,No,TBI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
