LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
CO,COLORADO,800020,State Charter School Institute,6305,CAPROCK ACADEMY,80002006305,No,VI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800020,State Charter School Institute,6320,RICARDO FLORES MAGON ACADEMY,80002006320,No,VI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800020,State Charter School Institute,6708,COLORADO MILITARY ACADEMY,80002006708,-8,VI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,800023,COLORADO SCHOOL FOR THE DEAF AND BLIND,6410,COLORADO SCHOOL FOR THE DEAF AND BLIND,80002306410,No,VI,0,2,2,10,2,0,10,0,2,0,8,1,0,6,43,0,26,0,17,0,0,0,0,0,0,14,12,0,0,0,0,0,0,5,12
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6664,PIKES PEAK ONLINE SCHOOL,80028206664,No,VI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1429,LIBERTY HIGH SCHOOL,80192001429,No,VI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1430,PIONEER ELEMENTARY SCHOOL,80192001430,No,VI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1592,THE CLASSICAL ACADEMY CHARTER,80192001592,No,VI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1643,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,80192001643,No,VI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6329,CHINOOK TRAIL ELEMENTARY SCHOOL,80192006329,No,VI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6434,ACADEMY ONLINE,80192006434,No,VI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6616,DISCOVERY CANYON CAMPUS MIDDLE SCHOOL,80192006616,No,VI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6631,DISCOVERY CANYON CAMPUS ELEMENTARY SCHOOL,80192006631,No,VI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
