LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUAL_M,TOT_DUAL_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F
CO,Colorado,0800001,Cheyenne County School District No. Re-5,214,Cheyenne Wells Elementary School,080000100214,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800001,Cheyenne County School District No. Re-5,215,Cheyenne Wells Junior/High School,080000100215,No,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,0,0,0,0
CO,Colorado,0800004,Denver 1,709,Rocky Mountain School Of Expeditionary Learning,080000400709,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800016,Yuma 1 School District,1745,Little Indians Preschool,080001601745,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800016,Yuma 1 School District,1819,Yuma Middle School,080001601819,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800016,Yuma 1 School District,1820,Kenneth P Morris Elementary School,080001601820,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800016,Yuma 1 School District,1821,Yuma High School,080001601821,No,Yes,4,11,0,0,1,0,0,0,0,0,19,25,0,0,24,36,1,0,0,1
CO,Colorado,0800017,Wray Rd-2 School District,1816,Wray Elementary School,080001701816,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800017,Wray Rd-2 School District,1818,Wray Junior Senior High School,080001701818,No,Yes,3,2,0,0,0,0,0,0,0,0,9,22,1,0,13,24,0,0,0,0
CO,Colorado,0800018,Idalia Rj-3 School District,1741,Idalia Elementary School,080001801741,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800018,Idalia Rj-3 School District,1742,Idalia Junior-Senior High School,080001801742,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800019,Liberty J-4 School District,1743,Liberty Elementary School,080001901743,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800019,Liberty J-4 School District,1744,Liberty School,080001901744,No,Yes,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0
CO,Colorado,0800020,State Charter School Institute,727,Academy Of Charter Schools,080002000727,No,Yes,14,38,0,0,7,9,0,0,0,0,44,67,0,0,65,114,3,3,0,1
CO,Colorado,0800020,State Charter School Institute,1569,Crown Pointe Charter Academy,080002001569,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,1876,Community Leadership Academy,080002001876,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,1882,New America School - Lowry,080002001882,No,Yes,4,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0
CO,Colorado,0800020,State Charter School Institute,1912,Colorado Springs Charter Academy,080002001912,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,1913,Ross Montessori School,080002001913,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,1915,The Pinnacle Charter School,080002001915,No,Yes,12,32,0,0,4,1,0,0,0,0,4,7,0,0,20,40,0,0,0,0
CO,Colorado,0800020,State Charter School Institute,1998,Academy Of Arts And Knowledge Elementary,080002001998,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,2018,Stone Creek School,080002002018,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,2033,High Point Academy,080002002033,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6305,Caprock Academy,080002006305,No,Yes,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0,0,0
CO,Colorado,0800020,State Charter School Institute,6310,Colorado Springs Early Colleges,080002006310,No,Yes,24,46,0,3,6,12,0,1,12,10,143,146,17,20,202,238,3,3,4,1
CO,Colorado,0800020,State Charter School Institute,6320,Ricardo Flores Magon Academy,080002006320,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6390,Early College Of Arvada,080002006390,No,Yes,8,13,0,0,0,2,0,0,0,0,11,10,1,0,20,25,2,3,1,0
CO,Colorado,0800020,State Charter School Institute,6418,Animas High School,080002006418,No,Yes,0,1,0,1,0,0,0,0,0,0,3,2,0,0,3,4,0,0,0,0
CO,Colorado,0800020,State Charter School Institute,6437,Thomas Maclaren State Charter School,080002006437,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6502,Mountain Middle School,080002006502,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6503,Global Village Academy - Northglenn,080002006503,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6542,Colorado Early College Fort Collins,080002006542,No,Yes,38,44,1,0,11,20,2,0,1,5,328,342,15,12,396,423,0,0,6,4
CO,Colorado,0800020,State Charter School Institute,6579,Victory Preparatory Academy Middle State Charter S,080002006579,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6585,Victory Preparatory Academy High State Charter Sch,080002006585,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6586,Colorado International Language Academy,080002006586,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6589,Mountain Song Community School,080002006589,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6595,James Irwin Charter Academy,080002006595,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6602,Montessori Del Mundo Charter School,080002006602,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6634,Colorado Early Colleges Douglas County,080002006634,No,Yes,44,60,5,0,13,28,0,0,6,7,306,367,24,23,398,485,1,4,11,8
CO,Colorado,0800020,State Charter School Institute,6635,Two Rivers Community School,080002006635,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6639,Golden View Classical Academy,080002006639,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6651,Salida Montessori Charter School,080002006651,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6653,Early Learning Center At New Legacy Charter School,080002006653,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6661,New Legacy Charter School,080002006661,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6700,Launch High School,080002006700,No,Yes,2,1,0,0,0,0,0,0,0,0,14,5,0,2,16,8,0,0,1,1
CO,Colorado,0800020,State Charter School Institute,6701,Mountain Village Montessori Charter School,080002006701,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6706,Monument View Montessori Charter School,080002006706,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6708,Colorado Military Academy,080002006708,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6710,Colorado Early Colleges Aurora,080002006710,No,Yes,31,68,0,3,6,7,0,0,14,19,19,16,6,5,76,118,15,27,5,2
CO,Colorado,0800020,State Charter School Institute,6760,Ascent Classical Academy,080002006760,No,Yes,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0
CO,Colorado,0800020,State Charter School Institute,6761,Coperni 2,080002006761,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6768,Axis International Academy,080002006768,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6777,Colorado Early Colleges Fort Collins West,080002006777,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6779,Colorado Early Colleges Windsor,080002006779,No,Yes,3,1,0,0,0,0,0,0,0,0,5,7,0,0,8,8,0,0,0,0
CO,Colorado,0800020,State Charter School Institute,6784,Coperni 3,080002006784,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6796,Ascent Classical Academy Northern Colorado,080002006796,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800023,Colorado School For The Deaf And Blind,6410,Colorado School For The Deaf And Blind,080002306410,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800282,Education Reenvisioned Boces,6600,Colorado Preparatory Academy High School,080028206600,No,Yes,7,16,0,0,0,0,0,0,0,4,12,47,4,4,23,71,1,3,2,3
CO,Colorado,0800282,Education Reenvisioned Boces,6664,Pikes Peak Online School,080028206664,No,Yes,0,1,0,0,0,1,0,0,0,1,2,3,2,1,4,7,0,2,2,3
CO,Colorado,0800282,Education Reenvisioned Boces,6752,Colorado Preparatory Academy Elementary School,080028206752,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
