LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_504_M,SCH_ENR_504_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_LEPENR_HI_M,SCH_LEPENR_HI_F,SCH_LEPENR_AM_M,SCH_LEPENR_AM_F,SCH_LEPENR_AS_M,SCH_LEPENR_AS_F,SCH_LEPENR_HP_M,SCH_LEPENR_HP_F,SCH_LEPENR_BL_M,SCH_LEPENR_BL_F,SCH_LEPENR_WH_M,SCH_LEPENR_WH_F,SCH_LEPENR_TR_M,SCH_LEPENR_TR_F,TOT_LEPENR_M,TOT_LEPENR_F,SCH_LEPPROGENR_HI_M,SCH_LEPPROGENR_HI_F,SCH_LEPPROGENR_AM_M,SCH_LEPPROGENR_AM_F,SCH_LEPPROGENR_AS_M,SCH_LEPPROGENR_AS_F,SCH_LEPPROGENR_HP_M,SCH_LEPPROGENR_HP_F,SCH_LEPPROGENR_BL_M,SCH_LEPPROGENR_BL_F,SCH_LEPPROGENR_WH_M,SCH_LEPPROGENR_WH_F,SCH_LEPPROGENR_TR_M,SCH_LEPPROGENR_TR_F,TOT_LEPPROGENR_M,TOT_LEPPROGENR_F,SCH_IDEAENR_HI_M,SCH_IDEAENR_HI_F,SCH_IDEAENR_AM_M,SCH_IDEAENR_AM_F,SCH_IDEAENR_AS_M,SCH_IDEAENR_AS_F,SCH_IDEAENR_HP_M,SCH_IDEAENR_HP_F,SCH_IDEAENR_BL_M,SCH_IDEAENR_BL_F,SCH_IDEAENR_WH_M,SCH_IDEAENR_WH_F,SCH_IDEAENR_TR_M,SCH_IDEAENR_TR_F,TOT_IDEAENR_M,TOT_IDEAENR_F,SCH_IDEAENR_LEP_M,SCH_IDEAENR_LEP_F,SCH_504ENR_HI_M,SCH_504ENR_HI_F,SCH_504ENR_AM_M,SCH_504ENR_AM_F,SCH_504ENR_AS_M,SCH_504ENR_AS_F,SCH_504ENR_HP_M,SCH_504ENR_HP_F,SCH_504ENR_BL_M,SCH_504ENR_BL_F,SCH_504ENR_WH_M,SCH_504ENR_WH_F,SCH_504ENR_TR_M,SCH_504ENR_TR_F,TOT_504ENR_M,TOT_504ENR_F,SCH_504ENR_LEP_M,SCH_504ENR_LEP_F
CO,Colorado,0800001,Cheyenne County School District No. Re-5,214,Cheyenne Wells Elementary School,080000100214,No,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,0,0,1,0,6,5,0,0,0,0,0,0,0,0,47,48,0,0,53,53,2,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,6,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colorado,0800001,Cheyenne County School District No. Re-5,215,Cheyenne Wells Junior/High School,080000100215,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,8,4,0,0,0,0,0,0,0,1,30,24,0,0,38,29,1,0,0,0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,3,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colorado,0800004,Denver 1,709,Rocky Mountain School Of Expeditionary Learning,080000400709,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,26,24,0,0,3,3,0,0,8,4,151,130,23,16,211,177,6,5,33,14,24,11,1,2,0,0,0,0,0,0,2,2,1,1,2,0,6,5,1,2,0,0,0,0,0,0,2,2,1,1,2,0,6,5,4,1,0,0,0,0,0,0,0,0,16,10,4,0,24,11,1,2,5,1,0,0,1,0,0,0,0,0,24,13,3,0,33,14,0,0
CO,Colorado,0800016,Yuma 1 School District,1745,Little Indians Preschool,080001601745,No,21,21,0,0,0,0,0,0,0,0,15,5,0,0,36,26,0,0,12,2,21,21,0,0,0,0,0,0,0,0,15,5,0,0,36,26,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,2,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colorado,0800016,Yuma 1 School District,1819,Yuma Middle School,080001601819,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,80,74,0,0,0,0,0,0,0,0,53,56,0,0,133,130,53,29,1,2,32,18,53,29,0,0,0,0,0,0,0,0,0,0,0,0,53,29,53,29,0,0,0,0,0,0,0,0,0,0,0,0,53,29,18,13,0,0,0,0,0,0,0,0,14,5,0,0,32,18,16,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0
CO,Colorado,0800016,Yuma 1 School District,1820,Kenneth P Morris Elementary School,080001601820,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,84,86,0,0,0,0,0,0,0,0,65,79,0,0,149,165,63,50,0,0,28,23,63,50,0,0,0,0,0,0,0,0,0,0,0,0,63,50,63,50,0,0,0,0,0,0,0,0,0,0,0,0,63,50,19,13,0,0,0,0,0,0,0,0,9,10,0,0,28,23,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colorado,0800016,Yuma 1 School District,1821,Yuma High School,080001601821,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,70,72,0,1,1,0,0,0,1,0,61,60,1,0,134,133,20,10,5,7,18,10,19,10,0,0,1,0,0,0,0,0,0,0,0,0,20,10,19,10,0,0,1,0,0,0,0,0,0,0,0,0,20,10,8,6,0,0,0,0,0,0,0,0,9,4,1,0,18,10,1,0,1,0,0,0,0,0,0,0,0,0,4,7,0,0,5,7,0,0
CO,Colorado,0800017,Wray Rd-2 School District,1816,Wray Elementary School,080001701816,No,8,5,0,0,0,0,0,0,0,0,19,17,1,0,28,22,0,0,6,3,72,69,0,0,0,0,0,0,0,0,145,133,1,4,218,206,36,41,5,2,36,18,35,38,0,0,0,0,0,0,0,0,1,3,0,0,36,41,26,36,0,0,0,0,0,0,0,0,1,3,0,0,27,39,9,3,0,0,0,0,0,0,0,0,27,15,0,0,36,18,4,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,0,0
CO,Colorado,0800017,Wray Rd-2 School District,1818,Wray Junior Senior High School,080001701818,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,53,45,1,1,0,0,0,0,0,0,96,124,3,0,153,170,21,17,6,7,16,14,20,16,0,0,0,0,0,0,0,0,1,1,0,0,21,17,20,16,0,0,0,0,0,0,0,0,1,1,0,0,21,17,7,4,0,0,0,0,0,0,0,0,8,10,1,0,16,14,4,4,1,0,0,0,0,0,0,0,0,0,5,7,0,0,6,7,0,0
CO,Colorado,0800018,Idalia Rj-3 School District,1741,Idalia Elementary School,080001801741,No,4,1,0,0,0,0,0,0,0,0,11,3,1,0,16,4,0,0,3,1,9,16,0,0,0,0,0,0,0,0,38,41,1,0,48,57,4,12,2,1,5,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,12,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0
CO,Colorado,0800018,Idalia Rj-3 School District,1742,Idalia Junior-Senior High School,080001801742,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,9,16,0,1,0,0,0,0,0,0,29,37,0,0,38,54,5,8,2,1,7,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,8,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,1,0,0,0,0,0,0,0,0,7,2,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0
CO,Colorado,0800019,Liberty J-4 School District,1743,Liberty Elementary School,080001901743,No,0,0,0,0,0,0,0,0,0,0,5,3,0,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,16,2,5,39,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colorado,0800019,Liberty J-4 School District,1744,Liberty School,080001901744,No,0,1,0,0,0,0,0,0,0,0,5,3,0,0,5,4,0,0,0,0,2,6,0,0,0,0,0,0,0,0,38,19,0,0,40,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
