SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2018-2019,8,COLORADO,CO,CHEYENNE WELLS ELEMENTARY SCHOOL,Cheyenne County School District No. Re-5,1,,CO-0520,800001,CO-0520-1608,80000100214,800214,P O BOX 577,,,CHEYENNE WELLS,CO,80810,577.0,395 NORTH 5TH WEST,,,CHEYENNE WELLS,CO,80810,,(719)767-5656,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,8,COLORADO,CO,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,Cheyenne County School District No. Re-5,1,,CO-0520,800001,CO-0520-1612,80000100215,800215,P O BOX 577,,,CHEYENNE WELLS,CO,80810,577.0,325 WEST 4TH NORTH,,,CHEYENNE WELLS,CO,80810,,(719)767-5612,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,07,12,High,As reported
2018-2019,8,COLORADO,CO,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,DENVER 1,1,,CO-9130,800004,CO-9130-2840,80000400709,800709,1700 SOUTH HOLLY STREET,,,DENVER,CO,80222,,1700 SOUTH HOLLY STREET,,,DENVER,CO,80222,3928.0,(303)759-2076,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported
2018-2019,8,COLORADO,CO,LITTLE INDIANS PRESCHOOL,Yuma 1 School District,1,,CO-3200,800016,CO-3200-5221,80001601745,801745,709 WEST THIRD STREET,,,YUMA,CO,80759,,709 WEST THIRD STREET,,,YUMA,CO,80759,1844.0,(970)848-4572,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,PK,Prekindergarten,As reported
2018-2019,8,COLORADO,CO,YUMA MIDDLE SCHOOL,Yuma 1 School District,1,,CO-3200,800016,CO-3200-9791,80001601819,801819,500 SOUTH ELM,,,YUMA,CO,80759,2724.0,500 SOUTH ELM,,,YUMA,CO,80759,2725.0,(970)848-2000,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,05,08,Middle,As reported
2018-2019,8,COLORADO,CO,KENNETH P MORRIS ELEMENTARY SCHOOL,Yuma 1 School District,1,,CO-3200,800016,CO-3200-9795,80001601820,801820,416 SOUTH ELM STREET,,,YUMA,CO,80759,,416 SOUTH ELM STREET,,,YUMA,CO,80759,2444.0,(970)848-5738,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,KG,04,Elementary,As reported
2018-2019,8,COLORADO,CO,YUMA HIGH SCHOOL,Yuma 1 School District,1,,CO-3200,800016,CO-3200-9799,80001601821,801821,1000 SOUTH ALBANY,,,YUMA,CO,80759,3099.0,1000 SOUTH ALBANY,,,YUMA,CO,80759,3008.0,(970)848-5488,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2018-2019,8,COLORADO,CO,WRAY ELEMENTARY SCHOOL,Wray RD-2 School District,1,,CO-3210,800017,CO-3210-9725,80001701816,801816,30204 COUNTY ROAD 35,,,WRAY,CO,80758,157.0,30204 COUNTY ROAD 35,,,WRAY,CO,80758,9338.0,(970)332-4347,http://www.wrayschools.org,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,PK,04,Elementary,As reported
2018-2019,8,COLORADO,CO,BUCHANAN MIDDLE SCHOOL,Wray RD-2 School District,1,,CO-3210,800017,CO-3210-9729,80001701817,801817,620 WEST 7TH STREET,,,WRAY,CO,80758,157.0,620 WEST 7TH,,,WRAY,CO,80758,1529.0,(970)332-4723,http://www.wrayschools.org,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,05,08,Middle,As reported
2018-2019,8,COLORADO,CO,WRAY HIGH SCHOOL,Wray RD-2 School District,1,,CO-3210,800017,CO-3210-9733,80001701818,801818,30074 COUNTY ROAD 35,,,WRAY,CO,80758,157.0,30074 COUNTY ROAD 35,,,WRAY,CO,80758,9338.0,(970)332-5758,http://www.wrayschools.org,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2018-2019,8,COLORADO,CO,IDALIA ELEMENTARY SCHOOL,Idalia RJ-3 School District,1,,CO-3220,800018,CO-3220-4227,80001801741,801741,P O BOX 40,,,IDALIA,CO,80735,40.0,26845 COUNTY ROAD 9.2,,,IDALIA,CO,80735,,(970)354-7298,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,8,COLORADO,CO,IDALIA JUNIOR-SENIOR HIGH SCHOOL,Idalia RJ-3 School District,1,,CO-3220,800018,CO-3220-4231,80001801742,801742,P O BOX 40,,,IDALIA,CO,80735,40.0,26845 COUNTY ROAD 9.2,,,IDALIA,CO,80735,,(970)354-7298,,1,Open,1,Open,01/16/2019,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,07,12,High,As reported
