LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,214,CHEYENNE WELLS ELEMENTARY SCHOOL,080000100214,No,529353.24,8.0,390834.0,778660.0,5.41,73224.0,2.1,35109.5,1.0,30185.74,390834.0,6.41,115096.12,2.1,35109.5,1.0,30185.74,571225.36,778660.0
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,215,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,080000100215,No,497302.0,8.0,334112.0,778660.0,0.0,-9.0,2.13,71536.0,1.0,91654.0,334112.0,0.0,0.0,2.13,71536.0,1.0,91654.0,497302.0,778660.0
CO,COLORADO,0800004,DENVER 1,709,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,080000400709,No,1564309.27,25.08,1147341.16,1609232.87,3.28,52478.57,0.5,43443.86,3.3,321045.68,1147341.16,3.28,52478.57,0.5,43443.86,3.3,321045.68,1564309.27,1609232.87
CO,COLORADO,0800016,Yuma 1 School District,1745,LITTLE INDIANS PRESCHOOL,080001601745,No,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,64878.0,3.33,30109.0,0.0,0.0,0.0,0.0,94987.0,10814.0
CO,COLORADO,0800016,Yuma 1 School District,1819,YUMA MIDDLE SCHOOL,080001601819,No,1155824.0,16.0,862745.0,46278.0,5.0,118475.0,3.5,106604.0,1.0,68000.0,913932.0,6.0,132386.0,3.5,106604.0,1.0,68000.0,1220922.0,46278.0
CO,COLORADO,0800016,Yuma 1 School District,1820,KENNETH P MORRIS ELEMENTARY SCHOOL,080001601820,No,1611452.0,21.63,1312096.0,140353.0,7.0,111148.0,5.0,118708.0,1.0,69500.0,1362306.0,8.0,128538.0,5.0,118708.0,1.0,69500.0,1679052.0,140353.0
CO,COLORADO,0800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,080001601821,No,1413329.0,19.38,974180.0,60137.0,5.0,138273.0,5.0,156376.0,2.0,144500.0,974180.0,5.0,138273.0,5.0,156376.0,2.0,144500.0,1413329.0,67952.0
CO,COLORADO,0800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,080001701816,No,1136347.0,21.43,831394.0,563008.0,7.0,161253.0,2.0,54175.0,2.0,89525.0,831394.0,7.0,161253.0,2.0,54175.0,2.0,89525.0,1136347.0,563008.0
CO,COLORADO,0800017,Wray RD-2 School District,1817,BUCHANAN MIDDLE SCHOOL,080001701817,No,862529.0,16.14,623966.0,157068.0,4.5,86280.0,2.0,62635.0,2.0,89648.0,623966.0,4.5,86280.0,2.0,62635.0,2.0,89648.0,862529.0,157068.0
CO,COLORADO,0800017,Wray RD-2 School District,1818,WRAY HIGH SCHOOL,080001701818,No,810675.0,15.18,591961.0,262637.0,2.0,64026.0,1.5,45793.0,2.0,108895.0,591961.0,2.0,64026.0,1.5,45793.0,2.0,108895.0,810675.0,262637.0
CO,COLORADO,0800018,Idalia RJ-3 School District,1741,IDALIA ELEMENTARY SCHOOL,080001801741,No,380000.0,9.0,115000.0,10000.0,2.5,20000.0,3.0,35000.0,0.75,60000.0,400000.0,2.0,35000.0,0.62,35000.0,1.0,60000.0,772000.0,12000.0
CO,COLORADO,0800018,Idalia RJ-3 School District,1742,IDALIA JUNIOR-SENIOR HIGH SCHOOL,080001801742,No,400000.0,9.0,200000.0,10000.0,1.0,30000.0,2.0,30000.0,1.0,60000.0,298762.0,1.0,30000.0,2.0,30000.0,1.0,60000.0,346190.75,10000.0
