LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_ENR,LEA_ENR_NONLEAFAC,LEA_SCHOOLS,LEA_CRCOORD_SEX_IND,LEA_CRCOORD_RAC_IND,LEA_CRCOORD_DIS_IND,LEA_CRCOORD_SEX_FN,LEA_CRCOORD_SEX_LN,LEA_CRCOORD_SEX_PH,LEA_CRCOORD_SEX_EM,LEA_CRCOORD_RAC_FN,LEA_CRCOORD_RAC_LN,LEA_CRCOORD_RAC_PH,LEA_CRCOORD_RAC_EM,LEA_CRCOORD_DIS_FN,LEA_CRCOORD_DIS_LN,LEA_CRCOORD_DIS_PH,LEA_CRCOORD_DIS_EM,LEA_DESEGPLAN,LEA_HBPOLICY_IND,LEA_HBPOLICYURL_IND,LEA_HBPOLICY_URL,LEA_ECE_IND,LEA_ECE_NONIDEA,LEA_PS_IND,LEA_PS_FULLDAYFREE,LEA_PS_FULLDAYCOST,LEA_PS_PARTDAYFREE,LEA_PS_PARTDAYCOST,LEA_PSENR_NONIDEA_A3,LEA_PSENR_NONIDEA_A4,LEA_PSENR_NONIDEA_A5,LEA_PSENR_A2,LEA_PSENR_A3,LEA_PSENR_A4,LEA_PSENR_A5,LEA_PSELIG_ALL,LEA_PSELIG_IDEA,LEA_PSELIG_TITLEI,LEA_PSELIG_LOWINC,LEA_KG_IND,LEA_KG_FULLDAYFREE,LEA_KG_FULLDAYCOST,LEA_KG_PARTDAYFREE,LEA_KG_PARTDAYCOST,LEA_GED_IND,LEA_GEDPART_HI_M,LEA_GEDPART_HI_F,LEA_GEDPART_AM_M,LEA_GEDPART_AM_F,LEA_GEDPART_AS_M,LEA_GEDPART_AS_F,LEA_GEDPART_HP_M,LEA_GEDPART_HP_F,LEA_GEDPART_BL_M,LEA_GEDPART_BL_F,LEA_GEDPART_WH_M,LEA_GEDPART_WH_F,LEA_GEDPART_TR_M,LEA_GEDPART_TR_F,TOT_GEDPART_M,TOT_GEDPART_F,LEA_GEDPART_LEP_M,LEA_GEDPART_LEP_F,LEA_GEDPART_IDEA_M,LEA_GEDPART_IDEA_F,LEA_GEDCRED_HI_M,LEA_GEDCRED_HI_F,LEA_GEDCRED_AM_M,LEA_GEDCRED_AM_F,LEA_GEDCRED_AS_M,LEA_GEDCRED_AS_F,LEA_GEDCRED_HP_M,LEA_GEDCRED_HP_F,LEA_GEDCRED_BL_M,LEA_GEDCRED_BL_F,LEA_GEDCRED_WH_M,LEA_GEDCRED_WH_F,LEA_GEDCRED_TR_M,LEA_GEDCRED_TR_F,TOT_GEDCRED_M,TOT_GEDCRED_F,LEA_GEDCRED_LEP_M,LEA_GEDCRED_LEP_F,LEA_GEDCRED_IDEA_M,LEA_GEDCRED_IDEA_F,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,P O BOX 577,CHEYENNE WELLS,80810,No,183,2,2,Yes,Yes,Yes,Glen,Bradshaw,(719)767-5866 x1035,glen.bradshaw@cheyennesd.net,Glen,Bradshaw,(719)767-5866 x1035,glen.bradshaw@cheyennesd.net,Glen,Bradshaw,(719)767-5866 x1035,glen.bradshaw@cheyennesd.net,No,Yes,Yes,https://www.cheyennesd.net/board/j.html,No,-9,Yes,No,No,No,Yes,No,Yes,Yes,0,2,5,5,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,0,0,0,0,0,0,0,0,0,8,2,0,0,8,2,0,0,0,0
CO,COLORADO,0800004,DENVER 1,1700 SOUTH HOLLY STREET,DENVER,80222,No,397,0,1,Yes,Yes,Yes,Chad,Burns,(303)759-2076,cburns@rmsel.org,Chad,Burns,(303)759-2076,cburns@rmsel.org,Kelsey,Haddock,(303)759-2076,khaddock@rmsel.org,No,Yes,Yes,http://www.rmsel.org/documents/BOCES/Policies/Safety%20Assurance%20Policies/JBA-Nondiscrimination%20-%20Non-Harassment%20of%20Students.pdf,No,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,No,Yes,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800016,Yuma 1 School District,PO BOX 327,YUMA,80759,No,821,0,4,Yes,Yes,Yes,Janna,Young,970-848-5831,youngja@yumaschools.org,Janna,Young,970-848-5831,youngja@yumaschools.org,Dianna,Chrisman,970-848-5831,chrismand@yumaschools.org,No,Yes,No,-9,No,-9,Yes,No,No,Yes,Yes,Yes,Yes,Yes,0,5,32,11,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800017,Wray RD-2 School District,30222 COUNTY ROAD 35,WRAY,80758,No,689,2,3,Yes,Yes,Yes,Levi,Kramer,970-332-3797,lkramer@wrayschools.org,Levi,Kramer,970-332-3797,lkramer@wrayschools.org,Levi,Kramer,970-332-3797,lkramer@wrayschools.org,No,Yes,Yes,https://sites.google.com/a/wrayschools.org/home/policies/local-policies/JICDE.pdf?attredirects=0&d=1,No,-9,Yes,No,No,Yes,Yes,No,Yes,Yes,0,0,20,8,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800018,Idalia RJ-3 School District,P O BOX 40,IDALIA,80735,No,218,0,2,Yes,Yes,Yes,Timothy,Krause,(970)354-7298,superintendent@idaliaco.us,Timothy,Krause,(970)354-7298,superintendent@idaliaco.us,Timothy,Krause,(970)354-7298,Superintendent@idaliaco.us,No,Yes,Yes,www.idaliaco.us,No,-9,Yes,Yes,Yes,No,No,Yes,Yes,Yes,0,11,14,17,No,Yes,No,Yes,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,2,2,0,0,0,0,0,0,0,0,2,11,0,0,4,13,0,0,0,0
CO,COLORADO,0800019,Liberty J-4 School District,P O BOX 112,JOES,80822,No,77,0,2,Yes,Yes,Yes,Richard,Walter,970-358-4288,walterr@libertyschoolj4.com,Richard,Walter,970-358-4288,walterr@libertyschoolj4.com,Richard,Walter,972-358-4288,walterr@libetyschoolj4.com,No,Yes,No,-9,No,-9,Yes,Yes,No,Yes,No,Yes,Yes,No,0,8,8,0,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,2,0,0,0,0,0,0,0,0,2,8,0,0,2,10,0,0,0,0
CO,COLORADO,0800020,State Charter School Institute,1580 LOGAN STREET SUITE 210,DENVER,80203,No,15077,0,36,Yes,Yes,Yes,Trish,Krajniak,(303) 866-6960,trishkrajniak@csi.state.co.us,Trish,Krajniak,(303) 866-6960,trishkrajniak@csi.state.co.us,Trish,Krajniak,(303) 866-6960,trishkrajniak@csi.state.co.us,No,Yes,Yes,http://www.boarddocs.com/co/csi/Board.nsf/goto?open&id=9SSVV47DDAE0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,5,2,29,Yes,-9,-9,-9,Yes,Yes,Yes,Yes,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800023,COLORADO SCHOOL FOR THE DEAF AND BLIND,33 N INSTITUTE ST,COLORADO SPRINGS,80903,No,206,0,1,Yes,Yes,Yes,Jon,Vigne,(719) 578-2177,jvigne@csdb.org,Jon,Vigne,(719) 578-2177,jvigne@csdb.org,Jon,Vigne,(719) 578-2177,jvigne@csdb.org,No,Yes,Yes,www.csdb.org,No,-9,Yes,No,No,Yes,Yes,No,Yes,No,0,2,5,0,No,Yes,Yes,No,No,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800282,COLORADO DIGITAL BOCES,4035 TUTT BLVD,Colorado Springs,80922,No,2395,0,4,Yes,Yes,Yes,Kindra,Whitmyre,720-335-0511,kindra@cdboces.org,Kindra,Whitmyre,720-335-0511,kindra@cdboces.org,Kindra,Whitmyre,720-335-0511,kindra@cdboces.org,No,Yes,Yes,https://www.d49.org/site/default.aspx?PageType=3&ModuleInstanceID=685&ViewID=7B97F7ED-8E5E-4120-848F-A8B4987D588F&RenderLoc=0&FlexDataID=1179&PageID=556,No,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,No,No,Yes,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,206,272,17,11,11,20,2,5,65,80,779,878,23,26,1103,1292,26,35,149,89
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,4255 S. Knox Court,DENVER,80236,No,184,0,6,Yes,Yes,Yes,Erin,Osterhaus,303-866-7960,erin.osterhaus@state.co.us,Erin,Osterhaus,303-866-7960,erin.osterhaus@state.co.us,Erin,Osterhaus,303-866-7960,erin.osterhaus@state.co.us,No,Yes,Yes,https://www.colorado.gov/pacific/cdhs/policies-3#,No,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,Yes,38,2,0,0,0,0,0,0,5,0,8,2,0,0,51,4,0,0,14,2,7,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,11,-2,-2,-2,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
