LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_MATHCLASSES_ADVM,SCH_MATHCERT_ADVM,SCH_MATHENR_ADVM_HI_M,SCH_MATHENR_ADVM_HI_F,SCH_MATHENR_ADVM_AM_M,SCH_MATHENR_ADVM_AM_F,SCH_MATHENR_ADVM_AS_M,SCH_MATHENR_ADVM_AS_F,SCH_MATHENR_ADVM_HP_M,SCH_MATHENR_ADVM_HP_F,SCH_MATHENR_ADVM_BL_M,SCH_MATHENR_ADVM_BL_F,SCH_MATHENR_ADVM_WH_M,SCH_MATHENR_ADVM_WH_F,SCH_MATHENR_ADVM_TR_M,SCH_MATHENR_ADVM_TR_F,TOT_MATHENR_ADVM_M,TOT_MATHENR_ADVM_F,SCH_MATHENR_ADVM_LEP_M,SCH_MATHENR_ADVM_LEP_F,SCH_MATHENR_ADVM_IDEA_M,SCH_MATHENR_ADVM_IDEA_F
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,214,CHEYENNE WELLS ELEMENTARY SCHOOL,080000100214,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,215,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,080000100215,No,1,1,0,1,0,0,0,0,0,0,0,0,5,3,0,0,5,4,0,0,0,0
CO,COLORADO,0800004,DENVER 1,709,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,080000400709,No,1,1,3,0,0,0,0,1,0,0,1,0,7,7,2,1,13,9,0,0,5,0
CO,COLORADO,0800016,Yuma 1 School District,1745,LITTLE INDIANS PRESCHOOL,080001601745,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800016,Yuma 1 School District,1819,YUMA MIDDLE SCHOOL,080001601819,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800016,Yuma 1 School District,1820,KENNETH P MORRIS ELEMENTARY SCHOOL,080001601820,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,080001601821,No,2,2,1,5,0,0,0,0,0,0,0,0,6,7,0,0,7,12,0,0,0,0
CO,COLORADO,0800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,080001701816,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800017,Wray RD-2 School District,1817,BUCHANAN MIDDLE SCHOOL,080001701817,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800017,Wray RD-2 School District,1818,WRAY HIGH SCHOOL,080001701818,No,1,1,0,1,0,0,0,1,0,0,0,0,3,5,0,0,3,7,0,0,0,0
