LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,P O BOX 577,CHEYENNE WELLS,80810,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800004,DENVER 1,1700 SOUTH HOLLY STREET,DENVER,80222,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800016,Yuma 1 School District,PO BOX 327,YUMA,80759,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800017,Wray RD-2 School District,30222 COUNTY ROAD 35,WRAY,80758,No,Yes,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,1,0,0,0,0
CO,COLORADO,0800018,Idalia RJ-3 School District,P O BOX 40,IDALIA,80735,No,Yes,2,2,0,0,0,0,0,0,0,0,5,4,0,0,7,6,2,1,1,1
CO,COLORADO,0800019,Liberty J-4 School District,P O BOX 112,JOES,80822,No,Yes,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2,0,0,0,0
CO,COLORADO,0800020,State Charter School Institute,1580 LOGAN STREET SUITE 210,DENVER,80203,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800023,COLORADO SCHOOL FOR THE DEAF AND BLIND,33 N INSTITUTE ST,COLORADO SPRINGS,80903,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800282,COLORADO DIGITAL BOCES,4035 TUTT BLVD,COLORADO SPRINGS,80922,No,Yes,201,200,60,85,13,13,0,0,60,84,722,688,97,125,1153,1195,39,48,175,96
CO,COLORADO,0800286,DIVISION OF YOUTH SERVICES,4255 S. Knox Court,DENVER,80236,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,COLORADO,0800292,COLORADO RIVER BOCES,460 STONE QUARRY ROAD,PARACHUTE,81635,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
