LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,EDUCATIONAL_ENVIRONMENT,BL_RACE_7,MU_RACE_7,PI_RACE_7,HI_RACE_7,WH_RACE_7,AS_RACE_7,AM_RACE_7,TOTAL_STUDENTS_REPORTED
CO,COLORADO,800001,Cheyenne County School District No. Re-5,214,CHEYENNE WELLS ELEMENTARY SCHOOL,80000100214,No,RC80,0,0,0,0,11,0,0,11
CO,COLORADO,800001,Cheyenne County School District No. Re-5,215,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,80000100215,No,RC79TO40,0,0,0,3,2,0,0,5
CO,COLORADO,800001,Cheyenne County School District No. Re-5,215,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,80000100215,No,RC80,0,0,0,1,4,0,0,5
CO,COLORADO,800004,DENVER 1,709,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,80000400709,No,RC79TO40,0,0,0,0,3,0,0,3
CO,COLORADO,800004,DENVER 1,709,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,80000400709,No,RC80,1,7,0,8,33,0,0,49
CO,COLORADO,800016,Yuma 1 School District,1819,YUMA MIDDLE SCHOOL,80001601819,No,RC79TO40,0,0,0,2,0,0,0,2
CO,COLORADO,800016,Yuma 1 School District,1819,YUMA MIDDLE SCHOOL,80001601819,No,RC80,0,1,0,8,10,0,0,19
CO,COLORADO,800016,Yuma 1 School District,1820,KENNETH P MORRIS ELEMENTARY SCHOOL,80001601820,No,RC79TO40,0,0,0,6,5,0,0,11
CO,COLORADO,800016,Yuma 1 School District,1820,KENNETH P MORRIS ELEMENTARY SCHOOL,80001601820,No,RC80,0,0,0,22,13,0,0,35
CO,COLORADO,800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,80001601821,No,RC39,0,0,0,2,0,0,0,2
