LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
CO,COLORADO,800001,Cheyenne County School District No. Re-5,214,CHEYENNE WELLS ELEMENTARY SCHOOL,80000100214,No,-8,-8,-8,2,-8,-8,8,-8,-8,0,1,-8,-8,11,10,12,0,-8,-8,-8,1,-8,-8,-8
CO,COLORADO,800001,Cheyenne County School District No. Re-5,215,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,80000100215,No,-8,-8,-8,1,-8,-8,18,-8,-8,-8,2,-8,-8,18,19,20,-8,-8,0,-8,0,0,3,2
CO,COLORADO,800004,DENVER 1,709,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,80000400709,No,-8,0,1,2,2,-8,15,-8,0,3,1,1,-8,14,20,19,7,0,1,4,1,1,-8,-8
CO,COLORADO,800016,Yuma 1 School District,1745,LITTLE INDIANS PRESCHOOL,80001601745,No,-8,-8,-8,8,-8,-8,3,-8,-8,-8,8,-8,-8,5,11,13,6,2,-8,-8,-8,-8,0,0
CO,COLORADO,800016,Yuma 1 School District,1819,YUMA MIDDLE SCHOOL,80001601819,No,-8,-8,0,2,0,-8,5,-8,-8,-8,7,-8,-8,2,7,9,1,0,0,0,-8,0,0,1
CO,COLORADO,800016,Yuma 1 School District,1820,KENNETH P MORRIS ELEMENTARY SCHOOL,80001601820,No,-8,-8,0,12,-8,-8,12,-8,-8,0,16,-8,-8,6,24,22,12,5,1,-8,1,-8,1,1
CO,COLORADO,800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,80001601821,No,-8,-8,-8,10,0,-8,15,-8,0,-8,14,-8,-8,21,25,35,5,3,1,1,4,2,3,1
CO,COLORADO,800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,80001701816,No,-8,-8,-8,4,0,-8,7,-8,-8,-8,8,0,-8,9,11,17,1,2,1,0,0,1,1,3
CO,COLORADO,800017,Wray RD-2 School District,1817,BUCHANAN MIDDLE SCHOOL,80001701817,No,0,-8,-8,2,0,-8,6,0,-8,-8,2,-8,-8,6,8,8,1,1,0,1,0,1,1,0
CO,COLORADO,800017,Wray RD-2 School District,1818,WRAY HIGH SCHOOL,80001701818,No,-8,-8,-8,11,0,-8,17,-8,0,0,7,-8,-8,16,28,23,6,5,0,0,5,1,4,1
CO,COLORADO,800018,Idalia RJ-3 School District,1741,IDALIA ELEMENTARY SCHOOL,80001801741,No,-8,-8,-8,-8,-8,-8,3,-8,-8,-8,-8,-8,-8,-8,3,0,-8,-8,1,-8,-8,-8,-8,-8
CO,COLORADO,800018,Idalia RJ-3 School District,1742,IDALIA JUNIOR-SENIOR HIGH SCHOOL,80001801742,No,-8,-8,-8,-8,-8,-8,10,-8,-8,-8,-8,-8,-8,-8,10,0,-8,-8,-8,-8,-8,-8,-8,-8
CO,COLORADO,800019,Liberty J-4 School District,1744,LIBERTY SCHOOL,80001901744,No,-8,-8,-8,0,-8,-8,2,-8,-8,-8,2,0,-8,1,2,3,0,0,-8,0,-8,0,-8,-8
CO,COLORADO,800020,State Charter School Institute,727,ACADEMY OF CHARTER SCHOOLS,80002000727,No,-8,0,-8,10,0,-8,6,-8,0,0,0,1,-8,8,16,9,0,0,1,4,2,0,-8,1
CO,COLORADO,800020,State Charter School Institute,1569,CROWN POINTE CHARTER ACADEMY,80002001569,No,0,0,0,7,0,0,7,-8,1,0,11,1,-8,6,14,19,2,1,1,2,2,5,-8,-8
CO,COLORADO,800020,State Charter School Institute,1720,FRONTIER CHARTER ACADEMY,80002001720,No,-8,-8,0,0,-8,-8,5,-8,-8,-8,0,-8,-8,10,5,10,0,3,-8,-8,-8,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,1780,INDIAN PEAKS CHARTER SCHOOL,80002001780,No,-8,-8,0,1,-8,-8,9,1,-8,1,0,-8,-8,12,10,14,1,1,-8,1,-8,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,1876,COMMUNITY LEADERSHIP ACADEMY,80002001876,No,-8,0,1,37,0,-8,2,1,-8,0,41,0,-8,1,40,43,1,1,0,-8,9,16,1,2
CO,COLORADO,800020,State Charter School Institute,1882,NEW AMERICA SCHOOL - LOWRY,80002001882,No,8,28,34,164,-8,-8,9,3,10,29,165,1,2,6,243,216,10,9,2,1,156,134,1,3
CO,COLORADO,800020,State Charter School Institute,1912,COLORADO SPRINGS CHARTER ACADEMY,80002001912,No,0,1,3,12,1,0,20,0,-8,1,12,3,0,21,37,37,1,3,0,0,-8,-8,1,-8
CO,COLORADO,800020,State Charter School Institute,1913,ROSS MONTESSORI SCHOOL,80002001913,No,0,-8,-8,3,0,-8,10,1,-8,-8,9,0,0,16,13,26,2,3,0,-8,1,3,-8,-8
CO,COLORADO,800020,State Charter School Institute,1915,THE PINNACLE CHARTER SCHOOL HIGH,80002001915,No,0,0,0,30,0,-8,5,1,4,0,52,-8,-8,9,35,66,4,4,2,2,8,25,4,7
CO,COLORADO,800020,State Charter School Institute,1926,THE PINNACLE CHARTER SCHOOL ELEMENTARY,80002001926,No,1,2,0,57,1,-8,21,-8,3,0,74,1,0,5,82,83,5,4,2,3,33,32,2,8
CO,COLORADO,800020,State Charter School Institute,1998,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,80002001998,No,-8,0,2,6,2,-8,21,-8,0,0,7,0,0,21,31,28,2,1,3,0,1,0,0,0
CO,COLORADO,800020,State Charter School Institute,2010,THE PINNACLE CHARTER SCHOOL MIDDLE,80002002010,No,0,1,1,66,0,1,17,2,0,0,49,0,-8,11,86,62,24,13,0,2,34,23,7,-8
CO,COLORADO,800020,State Charter School Institute,2018,STONE CREEK SCHOOL,80002002018,No,-8,1,0,13,1,-8,23,-8,0,-8,8,3,-8,22,38,33,5,3,2,4,6,5,-8,-8
CO,COLORADO,800020,State Charter School Institute,2033,HIGH POINT ACADEMY,80002002033,No,3,2,16,25,0,0,12,0,1,10,40,-8,0,18,58,69,6,6,0,0,6,13,0,2
CO,COLORADO,800020,State Charter School Institute,6305,CAPROCK ACADEMY,80002006305,No,1,0,0,-8,1,-8,24,-8,0,0,-8,5,0,28,26,33,8,2,2,1,0,0,-8,-8
CO,COLORADO,800020,State Charter School Institute,6310,COLORADO SPRINGS EARLY COLLEGES,80002006310,No,0,0,0,7,0,0,11,0,0,1,11,1,0,7,18,20,0,1,0,2,4,2,0,-8
CO,COLORADO,800020,State Charter School Institute,6320,RICARDO FLORES MAGON ACADEMY,80002006320,No,-8,-8,0,13,-8,-8,1,-8,-8,1,10,-8,-8,1,14,12,2,2,0,0,9,7,-8,-8
CO,COLORADO,800020,State Charter School Institute,6338,PIKES PEAK PREP,80002006338,No,-8,-8,9,21,1,0,7,0,0,9,16,4,0,11,38,40,2,2,1,0,2,0,2,2
CO,COLORADO,800020,State Charter School Institute,6390,EARLY COLLEGE OF ARVADA,80002006390,No,0,3,1,36,1,-8,9,0,3,1,32,2,1,8,50,47,7,5,3,3,10,12,-8,-8
CO,COLORADO,800020,State Charter School Institute,6418,ANIMAS HIGH SCHOOL,80002006418,No,0,0,-8,6,1,0,11,1,-8,-8,1,-8,-8,16,18,18,-8,-8,2,2,0,0,-8,1
CO,COLORADO,800020,State Charter School Institute,6437,THOMAS MACLAREN STATE CHARTER SCHOOL,80002006437,No,-8,0,0,2,2,0,12,-8,0,0,3,0,-8,14,16,17,0,1,4,6,1,2,-8,-8
CO,COLORADO,800020,State Charter School Institute,6480,NEW AMERICA SCHOOL - THORNTON,80002006480,No,-8,1,2,132,2,-8,7,-8,2,1,133,0,-8,11,144,147,9,10,-8,1,21,21,1,6
CO,COLORADO,800020,State Charter School Institute,6502,MOUNTAIN MIDDLE SCHOOL,80002006502,No,0,0,-8,2,0,0,9,0,0,-8,0,1,-8,8,11,9,-8,-8,1,0,-8,-8,-8,-8
