LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,214,CHEYENNE WELLS ELEMENTARY SCHOOL,080000100214,No,8.0,8.0,0.0,0.0,0.0,9.0,9.0,1.0,0.5,0.0,0.0,0.25,0.0,0.0
CO,COLORADO,0800001,Cheyenne County School District No. Re-5,215,CHEYENNE WELLS JUNIOR/HIGH SCHOOL,080000100215,No,8.0,8.0,0.0,0.0,0.0,9.0,9.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0
CO,COLORADO,0800004,DENVER 1,709,ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING,080000400709,No,29.3,22.13,7.17,0.0,0.0,26.0,18.0,0.0,0.0,0.0,0.0,0.25,0.8,0.0
CO,COLORADO,0800016,Yuma 1 School District,1745,LITTLE INDIANS PRESCHOOL,080001601745,No,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800016,Yuma 1 School District,1819,YUMA MIDDLE SCHOOL,080001601819,No,20.25,18.25,2.0,1.0,0.0,21.0,19.0,2.0,0.94,0.0,0.0,0.0,0.0,0.62
CO,COLORADO,0800016,Yuma 1 School District,1820,KENNETH P MORRIS ELEMENTARY SCHOOL,080001601820,No,23.59,22.59,1.0,1.0,1.0,25.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800016,Yuma 1 School District,1821,YUMA HIGH SCHOOL,080001601821,No,19.38,19.38,0.0,0.0,3.0,21.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800017,Wray RD-2 School District,1816,WRAY ELEMENTARY SCHOOL,080001701816,No,21.58,21.58,0.0,0.0,3.0,22.0,19.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800017,Wray RD-2 School District,1817,BUCHANAN MIDDLE SCHOOL,080001701817,No,17.07,17.07,0.0,1.0,1.0,18.0,12.0,10.0,1.03,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800017,Wray RD-2 School District,1818,WRAY HIGH SCHOOL,080001701818,No,15.18,15.18,0.0,1.0,2.0,18.0,10.0,5.0,1.06,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800018,Idalia RJ-3 School District,1741,IDALIA ELEMENTARY SCHOOL,080001801741,No,9.0,9.0,0.0,0.0,0.0,8.0,6.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800018,Idalia RJ-3 School District,1742,IDALIA JUNIOR-SENIOR HIGH SCHOOL,080001801742,No,9.0,9.0,0.0,1.0,0.0,11.0,5.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
CO,COLORADO,0800019,Liberty J-4 School District,1743,LIBERTY ELEMENTARY SCHOOL,080001901743,No,6.0,6.0,0.0,0.0,1.0,8.0,7.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800019,Liberty J-4 School District,1744,LIBERTY SCHOOL,080001901744,No,7.3,7.3,0.0,0.0,1.0,11.0,10.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,727,ACADEMY OF CHARTER SCHOOLS,080002000727,No,89.68,89.68,0.0,10.0,7.0,96.0,74.0,6.0,4.4,0.0,0.0,0.0,1.0,0.0
CO,COLORADO,0800020,State Charter School Institute,1569,CROWN POINTE CHARTER ACADEMY,080002001569,No,25.8,22.23,3.57,2.0,2.0,28.0,26.0,5.0,0.69,0.0,0.0,0.03,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,1720,FRONTIER CHARTER ACADEMY,080002001720,No,6.99,6.99,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,1780,INDIAN PEAKS CHARTER SCHOOL,080002001780,No,4.41,4.41,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.1,0.72,0.0
CO,COLORADO,0800020,State Charter School Institute,1876,COMMUNITY LEADERSHIP ACADEMY,080002001876,No,20.02,20.02,0.0,4.0,1.0,20.0,11.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,1882,NEW AMERICA SCHOOL - LOWRY,080002001882,No,14.34,14.34,0.0,0.0,0.0,17.0,12.0,0.0,0.69,0.0,3.0,0.97,0.29,0.0
CO,COLORADO,0800020,State Charter School Institute,1912,COLORADO SPRINGS CHARTER ACADEMY,080002001912,No,34.0,33.0,1.0,0.0,0.0,27.0,20.0,0.0,0.71,0.0,0.0,0.59,0.2,0.0
CO,COLORADO,0800020,State Charter School Institute,1913,ROSS MONTESSORI SCHOOL,080002001913,No,14.82,14.82,0.0,2.0,0.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,1915,THE PINNACLE CHARTER SCHOOL HIGH,080002001915,No,32.3,32.3,0.0,1.0,1.0,27.0,23.0,1.0,1.97,0.0,0.0,0.57,0.0,0.0
CO,COLORADO,0800020,State Charter School Institute,1926,THE PINNACLE CHARTER SCHOOL ELEMENTARY,080002001926,No,48.0,47.0,1.0,10.0,2.0,48.0,33.0,3.0,0.49,0.0,0.36,0.57,0.0,0.0
