LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
CO,COLORADO,800001,Cheyenne County School District No. Re-5,214,Cheyenne Wells Elementary School,80000100214,-8,-8,-8,1,1,-8,7,-8,-8,-8,1,-8,-8,3,13,5,1,-8,-8,0,0,-8,-8
CO,COLORADO,800001,Cheyenne County School District No. Re-5,215,Cheyenne Wells Junior/High School,80000100215,-8,-8,-8,1,-8,-8,0,-8,-8,0,0,-8,-8,3,4,0,0,-8,-8,0,-8,-8,-8
CO,COLORADO,800004,DENVER 1,709,Rocky Mountain School of Expeditionary Learning,80000400709,-8,1,0,3,0,-8,8,-8,0,0,0,1,-8,4,17,5,0,1,1,0,0,-8,-8
CO,COLORADO,800016,Yuma 1 School District,1745,Little Indians Preschool,80001601745,-8,-8,-8,0,-8,-8,0,-8,-8,-8,0,-8,-8,0,0,0,0,-8,-8,-8,-8,0,-8
CO,COLORADO,800016,Yuma 1 School District,1819,Yuma Middle School,80001601819,-8,-8,-8,1,-8,-8,3,-8,-8,-8,1,-8,-8,0,5,2,0,0,0,1,1,1,0
CO,COLORADO,800016,Yuma 1 School District,1820,Kenneth P Morris Elementary School,80001601820,-8,-8,-8,30,-8,-8,12,-8,-8,-8,35,-8,-8,10,87,14,12,0,0,27,22,2,4
CO,COLORADO,800016,Yuma 1 School District,1821,Yuma High School,80001601821,-8,0,0,12,0,-8,13,1,-8,-8,12,-8,-8,8,46,4,2,1,1,6,0,1,-8
CO,COLORADO,800017,Wray RD-2 School District,1816,Wray Elementary School,80001701816,-8,-8,-8,16,0,-8,15,-8,-8,-8,12,0,-8,16,59,4,1,1,0,8,8,2,2
CO,COLORADO,800017,Wray RD-2 School District,1818,Wray Junior Senior High School,80001701818,1,-8,-8,25,0,-8,43,0,-8,-8,16,-8,-8,50,135,10,4,2,3,13,9,1,2
CO,COLORADO,800018,Idalia RJ-3 School District,1741,Idalia Elementary School,80001801741,-8,-8,-8,1,-8,-8,1,-8,-8,-8,1,-8,-8,3,6,0,1,0,0,0,0,-8,-8
CO,COLORADO,800018,Idalia RJ-3 School District,1742,Idalia Junior-Senior High School,80001801742,-8,-8,-8,2,-8,-8,6,0,-8,-8,4,-8,-8,5,17,2,1,1,0,0,2,-8,-8
CO,COLORADO,800019,Liberty J-4 School District,1744,Liberty School,80001901744,-8,-8,-8,0,-8,-8,5,-8,-8,-8,0,-8,-8,2,7,0,0,-8,-8,-8,0,-8,-8
CO,COLORADO,800020,State Charter School Institute,727,Academy of Charter Schools,80002000727,0,3,2,54,5,1,59,0,3,1,43,6,-8,36,213,31,12,7,6,17,8,4,2
CO,COLORADO,800020,State Charter School Institute,1569,Crown Pointe Charter Academy,80002001569,0,0,-8,22,1,-8,5,-8,0,-8,33,0,-8,9,70,8,9,0,1,15,18,-8,-8
CO,COLORADO,800020,State Charter School Institute,1876,Community Leadership Academy,80002001876,-8,-8,-8,28,0,-8,3,0,-8,0,27,-8,-8,2,60,5,3,-8,-8,16,17,2,-8
CO,COLORADO,800020,State Charter School Institute,1882,New America School - Lowry,80002001882,-8,6,5,70,3,-8,6,1,9,12,57,-8,-8,2,171,4,4,1,-8,63,44,8,5
CO,COLORADO,800020,State Charter School Institute,1912,Colorado Springs Charter Academy,80002001912,-8,-8,3,7,4,-8,11,-8,0,2,9,6,-8,15,57,6,4,0,0,0,0,1,1
CO,COLORADO,800020,State Charter School Institute,1913,Ross Montessori School,80002001913,-8,0,-8,26,3,-8,24,0,0,-8,26,1,0,24,104,9,5,1,0,12,14,-8,-8
CO,COLORADO,800020,State Charter School Institute,1915,The Pinnacle Charter School,80002001915,3,9,5,519,9,-8,77,2,7,5,491,6,2,63,-8,80,48,17,6,300,262,8,4
CO,COLORADO,800020,State Charter School Institute,1998,Academy of Arts and Knowledge Elementary,80002001998,-8,1,0,1,1,-8,13,-8,0,0,2,0,1,7,26,1,2,0,-8,1,0,-8,-8
CO,COLORADO,800020,State Charter School Institute,2018,Stone Creek School,80002002018,-8,1,0,14,0,-8,13,-8,0,-8,5,2,-8,21,56,11,4,0,1,9,4,-8,-8
CO,COLORADO,800020,State Charter School Institute,2033,High Point Academy,80002002033,1,3,20,32,0,1,7,0,1,19,23,-8,-8,1,108,12,3,3,0,14,15,-8,-8
CO,COLORADO,800020,State Charter School Institute,6305,Caprock Academy,80002006305,0,1,0,16,6,-8,81,-8,0,1,26,8,0,61,200,25,10,8,6,1,5,-8,-8
CO,COLORADO,800020,State Charter School Institute,6310,Colorado Springs Early Colleges,80002006310,-8,5,10,43,15,-8,102,1,2,4,35,18,1,83,319,15,7,12,12,15,3,1,1
CO,COLORADO,800020,State Charter School Institute,6320,Ricardo Flores Magon Academy,80002006320,-8,-8,1,49,-8,-8,2,-8,-8,0,34,-8,-8,3,89,7,5,0,-8,40,25,-8,-8
CO,COLORADO,800020,State Charter School Institute,6390,Early College of Arvada,80002006390,-8,0,1,31,1,-8,9,0,1,0,26,-8,2,11,82,5,4,-8,-8,18,15,-8,-8
CO,COLORADO,800020,State Charter School Institute,6418,Animas High School,80002006418,3,0,-8,8,5,1,44,1,-8,-8,10,1,-8,36,109,8,1,9,6,0,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,6437,Thomas MacLaren State Charter School,80002006437,0,2,0,17,8,-8,26,0,0,0,18,7,-8,36,114,6,5,2,1,5,4,-8,0
CO,COLORADO,800020,State Charter School Institute,6502,Mountain Middle School,80002006502,-8,0,0,0,0,0,2,0,0,-8,1,0,-8,0,3,0,0,0,0,0,0,-8,-8
