LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
CO,Colorado,0800001,Cheyenne County School District No. Re-5,395 North 5th West,Cheyenne Wells,80810,No,Yes,1,0,0,0,0,0,0,0,0,0,8,4,0,0,9,4,0,0,0,0
CO,Colorado,0800004,Denver 1,1700 South Holly Street,Denver,80222,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800016,Yuma 1 School District,418 South Main Street,Yuma,80759,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800017,Wray Rd-2 School District,30160 County Road 35,Wray,80758,No,Yes,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0
CO,Colorado,0800018,Idalia Rj-3 School District,26845 County Road 9.2,Idalia,80735,No,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CO,Colorado,0800019,Liberty J-4 School District,9332 Highway 36,Joes,80822,No,Yes,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0
CO,Colorado,0800020,State Charter School Institute,1600 N Broadway Suite 1250,Denver,80202,No,-11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800023,Colorado School For The Deaf And Blind,33 N Institute St,Colorado Springs,80903,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800282,Education Reenvisioned Boces,430 Beacon Lite Road Suite 135,Monument,80132,No,Yes,695,826,4,13,23,21,9,10,130,153,1318,1348,172,201,2351,2572,154,210,410,238
CO,Colorado,0800286,Division Of Youth Services,4255 S Knox Court,Denver,80236,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
