LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_INTERNET_FIBER,SCH_INTERNET_WIFI,SCH_INTERNET_SCHDEV,SCH_INTERNET_STUDDEV,SCH_INTERNET_WIFIENDEV
CO,Colorado,0800001,Cheyenne County School District No. Re-5,214,Cheyenne Wells Elementary School,080000100214,No,Yes,Yes,Yes,No,190
CO,Colorado,0800001,Cheyenne County School District No. Re-5,215,Cheyenne Wells Junior/High School,080000100215,No,Yes,Yes,Yes,No,190
CO,Colorado,0800004,Denver 1,709,Rocky Mountain School Of Expeditionary Learning,080000400709,No,Yes,Yes,Yes,Yes,387
CO,Colorado,0800016,Yuma 1 School District,1745,Little Indians Preschool,080001601745,No,Yes,Yes,No,No,0
CO,Colorado,0800016,Yuma 1 School District,1819,Yuma Middle School,080001601819,No,Yes,Yes,Yes,No,263
CO,Colorado,0800016,Yuma 1 School District,1820,Kenneth P Morris Elementary School,080001601820,No,Yes,Yes,Yes,No,314
CO,Colorado,0800016,Yuma 1 School District,1821,Yuma High School,080001601821,No,Yes,Yes,Yes,Yes,267
CO,Colorado,0800017,Wray Rd-2 School District,1816,Wray Elementary School,080001701816,No,Yes,Yes,No,No,366
CO,Colorado,0800017,Wray Rd-2 School District,1818,Wray Junior Senior High School,080001701818,No,Yes,Yes,Yes,Yes,314
CO,Colorado,0800018,Idalia Rj-3 School District,1741,Idalia Elementary School,080001801741,No,Yes,Yes,Yes,Yes,100
CO,Colorado,0800018,Idalia Rj-3 School District,1742,Idalia Junior-Senior High School,080001801742,No,Yes,Yes,Yes,Yes,90
CO,Colorado,0800019,Liberty J-4 School District,1743,Liberty Elementary School,080001901743,No,Yes,Yes,Yes,Yes,65
CO,Colorado,0800019,Liberty J-4 School District,1744,Liberty School,080001901744,No,Yes,Yes,Yes,Yes,65
CO,Colorado,0800020,State Charter School Institute,727,Academy Of Charter Schools,080002000727,No,Yes,Yes,Yes,Yes,2000
CO,Colorado,0800020,State Charter School Institute,1569,Crown Pointe Charter Academy,080002001569,No,No,Yes,Yes,Yes,550
CO,Colorado,0800020,State Charter School Institute,1876,Community Leadership Academy,080002001876,No,Yes,Yes,Yes,No,350
CO,Colorado,0800020,State Charter School Institute,1882,New America School - Lowry,080002001882,No,Yes,Yes,Yes,Yes,180
CO,Colorado,0800020,State Charter School Institute,1912,Colorado Springs Charter Academy,080002001912,No,No,Yes,Yes,No,250
CO,Colorado,0800020,State Charter School Institute,1913,Ross Montessori School,080002001913,No,Yes,Yes,No,No,200
CO,Colorado,0800020,State Charter School Institute,1915,The Pinnacle Charter School,080002001915,No,Yes,Yes,Yes,No,2153
CO,Colorado,0800020,State Charter School Institute,1998,Academy Of Arts And Knowledge Elementary,080002001998,No,No,Yes,Yes,No,200
CO,Colorado,0800020,State Charter School Institute,2018,Stone Creek School,080002002018,No,Yes,Yes,Yes,Yes,77
CO,Colorado,0800020,State Charter School Institute,2033,High Point Academy,080002002033,No,Yes,Yes,Yes,No,683
CO,Colorado,0800020,State Charter School Institute,6305,Caprock Academy,080002006305,No,Yes,Yes,Yes,No,720
CO,Colorado,0800020,State Charter School Institute,6310,Colorado Springs Early Colleges,080002006310,No,Yes,Yes,Yes,Yes,149
CO,Colorado,0800020,State Charter School Institute,6320,Ricardo Flores Magon Academy,080002006320,No,Yes,Yes,Yes,No,250
CO,Colorado,0800020,State Charter School Institute,6390,Early College Of Arvada,080002006390,No,Yes,Yes,Yes,Yes,284
CO,Colorado,0800020,State Charter School Institute,6418,Animas High School,080002006418,No,Yes,Yes,Yes,Yes,18
CO,Colorado,0800020,State Charter School Institute,6437,Thomas Maclaren State Charter School,080002006437,No,No,Yes,Yes,No,196
CO,Colorado,0800020,State Charter School Institute,6502,Mountain Middle School,080002006502,No,Yes,Yes,Yes,No,240
CO,Colorado,0800020,State Charter School Institute,6503,Global Village Academy - Northglenn,080002006503,No,Yes,Yes,Yes,Yes,700
CO,Colorado,0800020,State Charter School Institute,6542,Colorado Early College Fort Collins,080002006542,No,Yes,Yes,Yes,Yes,454
CO,Colorado,0800020,State Charter School Institute,6579,Victory Preparatory Academy Middle State Charter S,080002006579,No,Yes,Yes,Yes,No,198
CO,Colorado,0800020,State Charter School Institute,6585,Victory Preparatory Academy High State Charter Sch,080002006585,No,Yes,Yes,Yes,No,123
CO,Colorado,0800020,State Charter School Institute,6586,Colorado International Language Academy,080002006586,No,Yes,Yes,Yes,No,270
CO,Colorado,0800020,State Charter School Institute,6589,Mountain Song Community School,080002006589,No,Yes,Yes,Yes,No,68
CO,Colorado,0800020,State Charter School Institute,6595,James Irwin Charter Academy,080002006595,No,Yes,Yes,Yes,No,30
