LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
CO,Colorado,0800001,Cheyenne County School District No. Re-5,214,Cheyenne Wells Elementary School,080000100214,No,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800001,Cheyenne County School District No. Re-5,215,Cheyenne Wells Junior/High School,080000100215,No,17.5,17.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800004,Denver 1,709,Rocky Mountain School Of Expeditionary Learning,080000400709,No,21.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800016,Yuma 1 School District,1745,Little Indians Preschool,080001601745,No,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800016,Yuma 1 School District,1819,Yuma Middle School,080001601819,No,18.5,17.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0
CO,Colorado,0800016,Yuma 1 School District,1820,Kenneth P Morris Elementary School,080001601820,No,21.84,18.84,3.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800016,Yuma 1 School District,1821,Yuma High School,080001601821,No,20.38,20.38,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800017,Wray Rd-2 School District,1816,Wray Elementary School,080001701816,No,28.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
CO,Colorado,0800017,Wray Rd-2 School District,1818,Wray Junior Senior High School,080001701818,No,24.72,24.72,0.0,1.01,0.0,0.0,0.0,0.0,0.5
CO,Colorado,0800018,Idalia Rj-3 School District,1741,Idalia Elementary School,080001801741,No,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800018,Idalia Rj-3 School District,1742,Idalia Junior-Senior High School,080001801742,No,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800019,Liberty J-4 School District,1743,Liberty Elementary School,080001901743,No,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800019,Liberty J-4 School District,1744,Liberty School,080001901744,No,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800020,State Charter School Institute,727,Academy Of Charter Schools,080002000727,No,93.57,90.57,3.0,4.45,1.0,0.0,0.5,0.5,0.25
CO,Colorado,0800020,State Charter School Institute,1569,Crown Pointe Charter Academy,080002001569,No,24.12,24.12,0.0,0.69,0.0,0.0,0.11,0.16,0.0
CO,Colorado,0800020,State Charter School Institute,1876,Community Leadership Academy,080002001876,No,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0800020,State Charter School Institute,1882,New America School - Lowry,080002001882,No,6.11,2.46,3.65,0.83,0.0,2.0,0.24,0.16,0.96
