LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,-8,3,-8,6,6,10,4,-8,-8,-8,5,3,5,3,29,16,10,3,-8,-8,-8,-8,1,3
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,-8,-8,-8,9,9,30,6,-8,-8,-8,4,3,16,3,54,26,18,5,1,-8,1,-8,1,1
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,-8,1,-8,8,5,15,3,-8,3,-8,10,5,14,1,32,33,11,10,1,-8,-8,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,-8,-8,-8,4,1,2,1,-8,-8,-8,-8,2,3,3,8,8,2,-8,1,-8,-8,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,-8,1,-8,3,-8,1,2,-8,1,-8,1,1,1,-8,7,4,3,-8,-8,-8,-8,-8,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,-8,-8,-8,6,5,13,3,-8,-8,-8,5,2,12,1,27,20,9,6,-8,-8,1,1,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,2,9,1,13,17,111,26,4,7,1,9,16,141,24,179,202,36,27,6,16,4,4,4,7
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,-8,3,-8,5,5,11,8,-8,2,-8,6,4,8,2,32,22,7,3,-8,1,2,2,6,1
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,-8,11,1,16,10,64,12,-8,8,-8,10,8,68,13,114,107,27,21,9,7,1,2,4,1
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,1,1,2,6,4,10,16,-8,2,-8,7,4,13,9,40,35,10,3,3,2,-8,1,1,1
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,-8,3,-8,3,8,12,14,-8,1,-8,3,4,4,13,40,25,18,1,-8,-8,1,1,2,-8
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,-8,10,1,7,13,28,25,-8,3,2,20,14,20,31,84,90,15,5,4,11,4,3,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,-8,-8,-8,10,7,9,1,-8,-8,-8,10,4,14,3,27,31,2,3,-8,1,2,2,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,-8,2,-8,9,2,13,1,-8,6,-8,4,11,17,2,27,40,6,9,-8,-8,-8,1,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,-8,2,-8,1,1,6,2,-8,2,-8,1,5,3,1,12,12,4,2,-8,-8,-8,-8,1,2
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,-8,7,-8,6,2,45,6,-8,6,-8,10,7,39,5,66,67,22,17,6,2,1,1,5,8
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,-8,-8,-8,2,28,19,6,-8,-8,-8,9,12,23,5,55,49,16,5,-8,1,2,2,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,-8,-8,-8,-8,3,-8,10,-8,-8,-8,1,2,-8,7,13,10,2,-8,-8,-8,-8,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,-8,1,-8,3,3,5,-8,-8,-8,-8,-8,2,4,2,12,8,5,-8,-8,1,1,1,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,-8,-8,4,22,3,-8,26,1,3,2,16,3,3,11,55,39,16,8,4,-8,2,3,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,-8,4,-8,9,4,11,3,-8,-8,-8,5,3,8,1,31,17,10,3,3,1,2,1,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,-8,-8,-8,1,-8,24,2,-8,-8,-8,4,4,18,-8,27,26,8,3,-8,-8,-8,-8,4,5
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,1,1,-8,13,2,21,4,1,-8,-8,9,1,11,-8,42,22,10,5,-8,-8,-8,-8,4,2
HI,HAWAII,1500030,Hawaii Department of Education,24,Sunset Beach Elementary School,150003000024,No,-8,-8,-8,16,17,4,36,-8,1,3,5,18,6,30,73,63,15,8,-8,1,2,-8,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,25,Waiahole Elementary School,150003000025,No,-8,1,-8,3,4,6,-8,-8,1,-8,2,2,1,-8,14,6,5,1,-8,-8,-8,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,26,Waimanalo Elementary & Intermediate School,150003000026,No,-8,1,-8,9,7,41,1,1,2,1,8,8,30,2,59,52,19,9,-8,-8,4,8,7,16
HI,HAWAII,1500030,Hawaii Department of Education,27,Ernest Bowen DeSilva Elementary School,150003000027,No,-8,1,-8,2,7,3,1,-8,1,-8,3,2,5,3,14,14,-8,3,-8,-8,-8,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,28,Haaheo Elementary School,150003000028,No,-8,2,-8,-8,3,2,-8,-8,1,-8,3,2,6,1,7,13,1,1,-8,-8,3,1,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,1,9,1,9,13,87,16,1,7,-8,13,6,75,13,136,115,50,18,3,5,10,5,4,2
HI,HAWAII,1500030,Hawaii Department of Education,30,Hilo Intermediate School,150003000030,No,-8,2,-8,4,2,28,4,-8,2,1,8,1,23,7,40,42,14,6,2,2,3,-8,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,31,Hilo Union Elementary School,150003000031,No,-8,4,1,19,7,38,1,-8,-8,-8,17,6,19,-8,70,42,19,6,1,-8,21,8,5,1
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,-8,4,-8,10,18,10,14,-8,2,-8,13,15,16,12,56,58,12,-8,1,3,5,8,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,33,Honaunau Elementary School,150003000033,No,-8,-8,-8,1,1,10,1,-8,2,-8,7,3,13,1,13,26,1,-8,-8,-8,-8,7,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,1,12,1,9,6,61,21,2,14,1,4,2,49,7,111,79,28,8,6,3,6,6,1,2
HI,HAWAII,1500030,Hawaii Department of Education,35,Hookena Elementary School,150003000035,No,-8,-8,-8,5,2,13,8,-8,-8,-8,3,4,8,-8,28,15,6,2,1,-8,-8,-8,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,-8,1,-8,9,4,15,7,-8,1,-8,2,2,8,5,36,18,17,4,1,-8,5,2,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,37,Chiefess Kapiolani Elementary School,150003000037,No,-8,1,-8,17,7,34,-8,-8,-8,-8,15,2,27,1,59,45,16,4,-8,-8,9,8,1,1
HI,HAWAII,1500030,Hawaii Department of Education,38,Kau High & Pahala Elementary School,150003000038,No,-8,18,-8,1,11,77,11,-8,8,1,7,5,91,9,118,121,25,15,2,3,18,23,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,39,Kaumana Elementary School,150003000039,No,-8,1,-8,4,4,12,3,-8,1,-8,11,2,11,1,24,26,8,3,1,-8,2,1,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000040,No,2,5,1,23,10,55,16,2,4,2,21,11,56,13,112,109,24,15,7,6,7,7,3,5
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,-8,6,-8,16,25,85,13,-8,-8,-8,24,18,71,9,145,122,26,13,7,4,44,30,2,4
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000042,No,-8,-8,-8,12,7,18,1,-8,-8,-8,10,3,25,-8,38,38,14,6,3,2,1,-8,1,3
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,2,12,-8,2,5,34,10,2,13,-8,4,2,22,9,65,52,15,3,5,3,3,-8,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000044,No,-8,1,-8,13,9,20,12,-8,3,-8,13,9,31,7,55,63,8,5,-8,1,5,10,2,3
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000045,No,1,15,2,24,5,63,28,1,13,1,18,7,72,25,138,137,34,16,4,9,18,12,-8,2
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000046,No,-8,-8,1,7,7,9,12,-8,2,1,7,2,5,6,36,23,11,5,-8,-8,4,2,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,47,Mountain View Elementary School,150003000047,No,-8,-8,-8,38,16,35,6,-8,-8,-8,41,16,24,7,95,88,28,9,4,5,11,1,8,5
HI,HAWAII,1500030,Hawaii Department of Education,48,Naalehu Elementary School,150003000048,No,1,1,-8,15,12,84,7,-8,5,-8,12,12,65,7,120,101,15,9,1,2,42,26,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,49,Paauilo Elementary & Intermediate School,150003000049,No,1,2,-8,7,11,10,-8,-8,-8,-8,4,4,11,5,31,24,11,1,1,-8,-8,2,2,-8
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000050,No,2,7,-8,16,13,74,22,1,9,-8,22,14,96,14,134,156,54,26,4,3,4,5,-8,4
HI,HAWAII,1500030,Hawaii Department of Education,51,Waiakea Elementary School,150003000051,No,-8,4,-8,21,10,26,2,-8,1,-8,24,13,37,1,63,76,12,7,1,3,5,7,5,2
HI,HAWAII,1500030,Hawaii Department of Education,52,Waiakea High School,150003000052,No,3,8,1,9,8,55,14,1,6,-8,7,-8,42,4,98,60,29,5,3,1,1,3,1,-8
HI,HAWAII,1500030,Hawaii Department of Education,53,Waiakea Intermediate School,150003000053,No,-8,8,-8,8,8,37,3,-8,4,1,11,5,38,5,64,64,15,10,3,2,-8,1,7,3
HI,HAWAII,1500030,Hawaii Department of Education,54,Waiakeawaena Elementary School,150003000054,No,-8,2,-8,22,15,23,3,-8,5,-8,21,11,25,5,65,67,13,11,2,3,4,5,2,5
HI,HAWAII,1500030,Hawaii Department of Education,55,Waimea Elementary School,150003000055,No,-8,8,-8,12,15,45,4,-8,5,1,20,11,36,1,84,74,19,5,3,4,15,12,4,-8
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000056,No,-8,34,1,13,9,91,12,-8,41,-8,19,14,102,13,160,189,34,25,7,12,12,11,4,1
HI,HAWAII,1500030,Hawaii Department of Education,57,Haiku Elementary School,150003000057,No,-8,-8,-8,22,17,14,15,-8,-8,-8,16,8,17,27,68,68,13,4,1,1,10,7,4,-8
HI,HAWAII,1500030,Hawaii Department of Education,58,Hana High & Elementary School,150003000058,No,-8,-8,1,3,1,21,6,-8,-8,-8,4,2,26,3,32,35,8,2,-8,1,-8,-8,1,3
HI,HAWAII,1500030,Hawaii Department of Education,59,Iao Intermediate School,150003000059,No,-8,17,2,21,9,74,4,-8,6,-8,10,8,45,5,127,74,38,12,11,1,6,6,5,10
HI,HAWAII,1500030,Hawaii Department of Education,60,Kahului Elementary School,150003000060,No,-8,18,1,12,6,33,4,-8,8,-8,16,5,23,4,74,56,23,4,1,2,10,16,4,2
HI,HAWAII,1500030,Hawaii Department of Education,61,King Kamehameha III Elementary School,150003000061,No,-8,3,-8,19,13,10,23,-8,7,-8,13,10,13,10,68,53,10,4,4,2,12,14,1,1
HI,HAWAII,1500030,Hawaii Department of Education,62,Kaunakakai Elementary School,150003000062,No,-8,1,-8,4,4,23,-8,-8,-8,-8,2,4,14,-8,32,20,9,2,1,-8,1,1,-8,-8
