LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FIREARM_IND,SCH_HOMICIDE_IND,SCH_OFFENSE_RAPE,SCH_OFFENSE_BATT,SCH_OFFENSE_ROBWW,SCH_OFFENSE_ROBWX,SCH_OFFENSE_ROBWOW,SCH_OFFENSE_ATTWW,SCH_OFFENSE_ATTWX,SCH_OFFENSE_ATTWOW,SCH_OFFENSE_THRWW,SCH_OFFENSE_THRWX,SCH_OFFENSE_THRWOW,SCH_OFFENSE_POSSWX
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,No,No,0,1,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,No,No,0,3,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,No,No,0,1,0,0,0,0,0,0,0,0,4,0
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,No,No,0,1,0,0,0,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,No,No,0,2,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,No,No,0,2,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,No,No,0,1,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
