LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSDISC_SINGOOS_HI_M,SCH_PSDISC_SINGOOS_HI_F,SCH_PSDISC_SINGOOS_AM_M,SCH_PSDISC_SINGOOS_AM_F,SCH_PSDISC_SINGOOS_AS_M,SCH_PSDISC_SINGOOS_AS_F,SCH_PSDISC_SINGOOS_HP_M,SCH_PSDISC_SINGOOS_HP_F,SCH_PSDISC_SINGOOS_BL_M,SCH_PSDISC_SINGOOS_BL_F,SCH_PSDISC_SINGOOS_WH_M,SCH_PSDISC_SINGOOS_WH_F,SCH_PSDISC_SINGOOS_TR_M,SCH_PSDISC_SINGOOS_TR_F,TOT_PSDISC_SINGOOS_M,TOT_PSDISC_SINGOOS_F,SCH_PSDISC_SINGOOS_LEP_M,SCH_PSDISC_SINGOOS_LEP_F,SCH_PSDISC_SINGOOS_IDEA_M,SCH_PSDISC_SINGOOS_IDEA_F,SCH_PSDISC_MULTOOS_HI_M,SCH_PSDISC_MULTOOS_HI_F,SCH_PSDISC_MULTOOS_AM_M,SCH_PSDISC_MULTOOS_AM_F,SCH_PSDISC_MULTOOS_AS_M,SCH_PSDISC_MULTOOS_AS_F,SCH_PSDISC_MULTOOS_HP_M,SCH_PSDISC_MULTOOS_HP_F,SCH_PSDISC_MULTOOS_BL_M,SCH_PSDISC_MULTOOS_BL_F,SCH_PSDISC_MULTOOS_WH_M,SCH_PSDISC_MULTOOS_WH_F,SCH_PSDISC_MULTOOS_TR_M,SCH_PSDISC_MULTOOS_TR_F,TOT_PSDISC_MULTOOS_M,TOT_PSDISC_MULTOOS_F,SCH_PSDISC_MULTOOS_LEP_M,SCH_PSDISC_MULTOOS_LEP_F,SCH_PSDISC_MULTOOS_IDEA_M,SCH_PSDISC_MULTOOS_IDEA_F,SCH_PSOOSINSTANCES_ALL,SCH_PSOOSINSTANCES_IDEA,SCH_DISCWODIS_ISS_HI_M,SCH_DISCWODIS_ISS_HI_F,SCH_DISCWODIS_ISS_AM_M,SCH_DISCWODIS_ISS_AM_F,SCH_DISCWODIS_ISS_AS_M,SCH_DISCWODIS_ISS_AS_F,SCH_DISCWODIS_ISS_HP_M,SCH_DISCWODIS_ISS_HP_F,SCH_DISCWODIS_ISS_BL_M,SCH_DISCWODIS_ISS_BL_F,SCH_DISCWODIS_ISS_WH_M,SCH_DISCWODIS_ISS_WH_F,SCH_DISCWODIS_ISS_TR_M,SCH_DISCWODIS_ISS_TR_F,TOT_DISCWODIS_ISS_M,TOT_DISCWODIS_ISS_F,SCH_DISCWODIS_ISS_LEP_M,SCH_DISCWODIS_ISS_LEP_F,SCH_DISCWODIS_SINGOOS_HI_M,SCH_DISCWODIS_SINGOOS_HI_F,SCH_DISCWODIS_SINGOOS_AM_M,SCH_DISCWODIS_SINGOOS_AM_F,SCH_DISCWODIS_SINGOOS_AS_M,SCH_DISCWODIS_SINGOOS_AS_F,SCH_DISCWODIS_SINGOOS_HP_M,SCH_DISCWODIS_SINGOOS_HP_F,SCH_DISCWODIS_SINGOOS_BL_M,SCH_DISCWODIS_SINGOOS_BL_F,SCH_DISCWODIS_SINGOOS_WH_M,SCH_DISCWODIS_SINGOOS_WH_F,SCH_DISCWODIS_SINGOOS_TR_M,SCH_DISCWODIS_SINGOOS_TR_F,TOT_DISCWODIS_SINGOOS_M,TOT_DISCWODIS_SINGOOS_F,SCH_DISCWODIS_SINGOOS_LEP_M,SCH_DISCWODIS_SINGOOS_LEP_F,SCH_DISCWODIS_MULTOOS_HI_M,SCH_DISCWODIS_MULTOOS_HI_F,SCH_DISCWODIS_MULTOOS_AM_M,SCH_DISCWODIS_MULTOOS_AM_F,SCH_DISCWODIS_MULTOOS_AS_M,SCH_DISCWODIS_MULTOOS_AS_F,SCH_DISCWODIS_MULTOOS_HP_M,SCH_DISCWODIS_MULTOOS_HP_F,SCH_DISCWODIS_MULTOOS_BL_M,SCH_DISCWODIS_MULTOOS_BL_F,SCH_DISCWODIS_MULTOOS_WH_M,SCH_DISCWODIS_MULTOOS_WH_F,SCH_DISCWODIS_MULTOOS_TR_M,SCH_DISCWODIS_MULTOOS_TR_F,TOT_DISCWODIS_MULTOOS_M,TOT_DISCWODIS_MULTOOS_F,SCH_DISCWODIS_MULTOOS_LEP_M,SCH_DISCWODIS_MULTOOS_LEP_F,SCH_DISCWDIS_ISS_IDEA_HI_M,SCH_DISCWDIS_ISS_IDEA_HI_F,SCH_DISCWDIS_ISS_IDEA_AM_M,SCH_DISCWDIS_ISS_IDEA_AM_F,SCH_DISCWDIS_ISS_IDEA_AS_M,SCH_DISCWDIS_ISS_IDEA_AS_F,SCH_DISCWDIS_ISS_IDEA_HP_M,SCH_DISCWDIS_ISS_IDEA_HP_F,SCH_DISCWDIS_ISS_IDEA_BL_M,SCH_DISCWDIS_ISS_IDEA_BL_F,SCH_DISCWDIS_ISS_IDEA_WH_M,SCH_DISCWDIS_ISS_IDEA_WH_F,SCH_DISCWDIS_ISS_IDEA_TR_M,SCH_DISCWDIS_ISS_IDEA_TR_F,TOT_DISCWDIS_ISS_IDEA_M,TOT_DISCWDIS_ISS_IDEA_F,SCH_DISCWDIS_ISS_LEP_M,SCH_DISCWDIS_ISS_LEP_F,SCH_DISCWDIS_ISS_504_M,SCH_DISCWDIS_ISS_504_F,SCH_DISCWDIS_SINGOOS_IDEA_HI_M,SCH_DISCWDIS_SINGOOS_IDEA_HI_F,SCH_DISCWDIS_SINGOOS_IDEA_AM_M,SCH_DISCWDIS_SINGOOS_IDEA_AM_F,SCH_DISCWDIS_SINGOOS_IDEA_AS_M,SCH_DISCWDIS_SINGOOS_IDEA_AS_F,SCH_DISCWDIS_SINGOOS_IDEA_HP_M,SCH_DISCWDIS_SINGOOS_IDEA_HP_F,SCH_DISCWDIS_SINGOOS_IDEA_BL_M,SCH_DISCWDIS_SINGOOS_IDEA_BL_F,SCH_DISCWDIS_SINGOOS_IDEA_WH_M,SCH_DISCWDIS_SINGOOS_IDEA_WH_F,SCH_DISCWDIS_SINGOOS_IDEA_TR_M,SCH_DISCWDIS_SINGOOS_IDEA_TR_F,TOT_DISCWDIS_SINGOOS_IDEA_M,TOT_DISCWDIS_SINGOOS_IDEA_F,SCH_DISCWDIS_SINGOOS_LEP_M,SCH_DISCWDIS_SINGOOS_LEP_F,SCH_DISCWDIS_SINGOOS_504_M,SCH_DISCWDIS_SINGOOS_504_F,SCH_DISCWDIS_MULTOOS_IDEA_HI_M,SCH_DISCWDIS_MULTOOS_IDEA_HI_F,SCH_DISCWDIS_MULTOOS_IDEA_AM_M,SCH_DISCWDIS_MULTOOS_IDEA_AM_F,SCH_DISCWDIS_MULTOOS_IDEA_AS_M,SCH_DISCWDIS_MULTOOS_IDEA_AS_F,SCH_DISCWDIS_MULTOOS_IDEA_HP_M,SCH_DISCWDIS_MULTOOS_IDEA_HP_F,SCH_DISCWDIS_MULTOOS_IDEA_BL_M,SCH_DISCWDIS_MULTOOS_IDEA_BL_F,SCH_DISCWDIS_MULTOOS_IDEA_WH_M,SCH_DISCWDIS_MULTOOS_IDEA_WH_F,SCH_DISCWDIS_MULTOOS_IDEA_TR_M,SCH_DISCWDIS_MULTOOS_IDEA_TR_F,TOT_DISCWDIS_MULTOOS_IDEA_M,TOT_DISCWDIS_MULTOOS_IDEA_F,SCH_DISCWDIS_MULTOOS_LEP_M,SCH_DISCWDIS_MULTOOS_LEP_F,SCH_DISCWDIS_MULTOOS_504_M,SCH_DISCWDIS_MULTOOS_504_F,SCH_OOSINSTANCES_WODIS,SCH_OOSINSTANCES_IDEA,SCH_OOSINSTANCES_504,SCH_DAYSMISSED_HI_M,SCH_DAYSMISSED_HI_F,SCH_DAYSMISSED_AM_M,SCH_DAYSMISSED_AM_F,SCH_DAYSMISSED_AS_M,SCH_DAYSMISSED_AS_F,SCH_DAYSMISSED_HP_M,SCH_DAYSMISSED_HP_F,SCH_DAYSMISSED_BL_M,SCH_DAYSMISSED_BL_F,SCH_DAYSMISSED_WH_M,SCH_DAYSMISSED_WH_F,SCH_DAYSMISSED_TR_M,SCH_DAYSMISSED_TR_F,TOT_DAYSMISSED_M,TOT_DAYSMISSED_F,SCH_DAYSMISSED_LEP_M,SCH_DAYSMISSED_LEP_F,SCH_DAYSMISSED_504_M,SCH_DAYSMISSED_504_F,SCH_DAYSMISSED_IDEA_M,SCH_DAYSMISSED_IDEA_F
HI,HAWAII,1500030,Hawaii Department of Education,15000,Enchanted Lake Elementary School,150003000001,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,15000,Hauula Elementary School,150003000002,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,15000,Heeia Elementary School,150003000003,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kaaawa Elementary School,150003000004,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,5,0,4,0,0,0,0,0,8,0,0,0,0,0,2,5,14,5,0,0,0,0,6,5
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kaelepulu Elementary School,150003000005,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kahaluu Elementary School,150003000006,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kahuku High & Intermediate School,150003000007,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,0,0,0,0,4,3,1,0,1,0,0,1,7,5,0,0,3,1,0,0,1,0,29,17,1,0,0,2,1,0,35,20,1,2,2,1,0,0,0,1,5,2,0,0,1,0,0,1,8,5,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,3,2,1,0,0,1,0,0,0,0,0,0,9,5,0,0,2,0,0,1,11,6,0,0,1,2,1,0,0,0,0,0,4,5,0,0,0,0,0,1,5,6,1,0,2,1,77,40,5,207,96,0,0,76,15,914,340,2,0,17,11,1,22,1217,484,7,7,92,11,168,151
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kailua Elementary School,150003000008,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,4,0,5,0,0,0,0,0,18,0,0,0,3,0,1,0,27,0,0,0,0,0,6,0
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kailua High School,150003000009,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,11,0,0,1,0,1,0,12,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,22,10,2,52,0,0,0,3,0,166,267,0,0,13,0,28,44,262,311,0,0,31,0,81,79
HI,HAWAII,1500030,Hawaii Department of Education,15000,Kailua Intermediate School,150003000010,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1,2,5,1,0,3,1,0,1,8,10,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,11,3,9,4,0,0,9,3,52,57,11,0,14,1,6,1,101,66,3,0,8,0,14,3
