LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSENR_NONIDEA_A3,SCH_PSENR_NONIDEA_A4,SCH_PSENR_NONIDEA_A5,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_504_M,SCH_ENR_504_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_LEPENR_HI_M,SCH_LEPENR_HI_F,SCH_LEPENR_AM_M,SCH_LEPENR_AM_F,SCH_LEPENR_AS_M,SCH_LEPENR_AS_F,SCH_LEPENR_HP_M,SCH_LEPENR_HP_F,SCH_LEPENR_BL_M,SCH_LEPENR_BL_F,SCH_LEPENR_WH_M,SCH_LEPENR_WH_F,SCH_LEPENR_TR_M,SCH_LEPENR_TR_F,TOT_LEPENR_M,TOT_LEPENR_F,SCH_LEPPROGENR_HI_M,SCH_LEPPROGENR_HI_F,SCH_LEPPROGENR_AM_M,SCH_LEPPROGENR_AM_F,SCH_LEPPROGENR_AS_M,SCH_LEPPROGENR_AS_F,SCH_LEPPROGENR_HP_M,SCH_LEPPROGENR_HP_F,SCH_LEPPROGENR_BL_M,SCH_LEPPROGENR_BL_F,SCH_LEPPROGENR_WH_M,SCH_LEPPROGENR_WH_F,SCH_LEPPROGENR_TR_M,SCH_LEPPROGENR_TR_F,TOT_LEPPROGENR_M,TOT_LEPPROGENR_F,SCH_LEPPROGENR_IDEA_M,SCH_LEPPROGENR_IDEA_F,SCH_IDEAENR_HI_M,SCH_IDEAENR_HI_F,SCH_IDEAENR_AM_M,SCH_IDEAENR_AM_F,SCH_IDEAENR_AS_M,SCH_IDEAENR_AS_F,SCH_IDEAENR_HP_M,SCH_IDEAENR_HP_F,SCH_IDEAENR_BL_M,SCH_IDEAENR_BL_F,SCH_IDEAENR_WH_M,SCH_IDEAENR_WH_F,SCH_IDEAENR_TR_M,SCH_IDEAENR_TR_F,TOT_IDEAENR_M,TOT_IDEAENR_F,SCH_IDEAENR_LEP_M,SCH_IDEAENR_LEP_F,SCH_504ENR_HI_M,SCH_504ENR_HI_F,SCH_504ENR_AM_M,SCH_504ENR_AM_F,SCH_504ENR_AS_M,SCH_504ENR_AS_F,SCH_504ENR_HP_M,SCH_504ENR_HP_F,SCH_504ENR_BL_M,SCH_504ENR_BL_F,SCH_504ENR_WH_M,SCH_504ENR_WH_F,SCH_504ENR_TR_M,SCH_504ENR_TR_F,TOT_504ENR_M,TOT_504ENR_F,SCH_504ENR_LEP_M,SCH_504ENR_LEP_F
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,No,Yes,Yes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,42,53,2,0,14,13,59,52,0,1,49,34,56,53,222,206,10,9,5,2,43,14,2,4,0,0,1,1,3,1,0,0,2,2,2,1,10,9,1,1,0,0,0,0,0,0,0,0,1,2,0,0,2,3,1,0,6,4,0,0,2,0,16,7,0,0,8,1,11,2,43,14,1,0,0,0,0,0,0,1,0,0,0,0,2,0,3,1,5,2,0,0
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,No,Yes,Yes,2,1,0,0,0,0,1,1,0,0,1,0,1,0,5,2,1,0,5,2,35,21,1,0,0,1,105,94,2,0,12,9,28,35,183,160,9,8,1,0,29,11,2,0,0,0,0,0,7,6,0,0,0,1,0,1,9,8,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,0,0,4,1,0,0,0,0,18,5,0,0,3,2,4,3,29,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,No,Yes,Yes,1,1,0,0,2,1,2,1,0,0,0,1,3,1,8,5,2,1,10,5,52,58,0,0,21,28,84,74,0,1,14,19,52,47,223,227,14,14,4,5,43,23,2,1,0,0,4,6,4,4,0,0,0,0,4,3,14,14,2,0,0,0,2,2,1,3,0,0,0,0,2,1,7,6,1,0,9,6,0,0,7,3,17,8,0,0,3,2,7,4,43,23,1,0,2,0,0,0,0,0,1,3,0,0,1,0,0,2,4,5,0,0
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,25,14,0,0,1,1,23,13,0,0,4,13,15,16,68,57,3,2,2,2,16,5,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,5,0,0,0,0,0,10,1,0,0,0,1,1,3,16,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,16,16,0,1,20,9,10,14,0,0,21,30,30,33,97,103,7,3,2,1,10,5,2,0,0,0,3,0,0,1,0,0,1,0,1,2,7,3,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2,0,0,3,0,0,0,1,0,1,1,0,0,2,0,3,4,10,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,No,Yes,Yes,3,0,0,0,1,0,3,2,0,0,1,0,5,2,13,4,2,0,13,4,38,22,0,0,10,6,73,56,0,0,7,11,39,24,167,119,11,11,1,1,45,22,3,1,0,0,2,1,4,7,0,0,0,0,2,2,11,11,2,0,0,0,2,0,2,2,0,0,0,0,1,0,7,2,2,0,12,4,0,0,3,2,20,7,0,0,3,3,7,6,45,22,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,42,27,5,5,61,38,409,423,2,2,118,123,61,74,698,692,83,70,23,31,100,68,6,4,1,0,25,13,38,39,0,0,4,3,9,11,83,70,1,0,0,0,8,3,12,4,0,0,3,1,1,0,25,8,7,0,7,0,2,0,9,1,63,49,0,0,14,13,5,5,100,68,7,0,1,3,0,0,4,1,10,19,0,0,4,5,4,3,23,31,1,0
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,No,Yes,Yes,2,3,0,0,1,0,2,0,1,0,1,0,1,1,8,4,1,0,8,4,53,40,0,0,29,19,47,44,2,3,32,29,28,29,191,164,26,28,3,3,48,16,1,4,0,0,11,5,7,10,0,1,2,1,5,7,26,28,1,1,0,0,5,2,2,5,0,0,0,0,3,3,11,11,3,3,10,6,0,0,5,2,11,4,2,0,10,0,10,4,48,16,3,3,0,1,0,0,1,0,2,1,0,0,0,0,0,1,3,3,0,0
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,23,30,1,2,80,72,217,182,1,4,55,39,23,28,400,357,46,45,26,12,82,47,3,5,0,1,30,20,10,15,1,0,1,3,1,1,46,45,0,2,0,0,6,3,1,3,1,0,0,0,0,1,8,9,3,1,5,4,1,1,10,5,46,28,0,0,19,5,1,4,82,47,1,1,1,0,0,0,3,2,17,4,0,0,4,4,1,2,26,12,0,0
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,51,48,1,0,60,46,99,90,9,11,142,121,36,24,398,340,25,18,28,11,76,24,5,1,0,0,11,10,5,2,0,1,3,3,1,1,25,18,1,0,0,0,2,0,0,0,0,1,0,1,0,0,3,2,0,1,8,2,1,0,6,1,23,9,4,1,27,10,7,1,76,24,0,1,3,2,0,0,7,1,8,3,1,0,7,4,2,1,28,11,1,0
