SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2018-2019,15,HAWAII,HI,Enchanted Lake Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-302,150003000001,1500001,770 Keolu Dr,,,Kailua,HI,96734,,770 Keolu Dr,,,Kailua,HI,96734,,(808)266-7800,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Hauula Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-303,150003000002,1500002,54-046 Kamehameha Hwy,,,Hauula,HI,96717,,54-046 Kamehameha Hwy,,,Hauula,HI,96717,,(808)293-8925,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Heeia Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-304,150003000003,1500003,46-202 Haiku Rd,,,Kaneohe,HI,96744,,46-202 Haiku Rd,,,Kaneohe,HI,96744,,(808)233-5677,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Kaaawa Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-305,150003000004,1500004,51-296 Kamehameha Hwy,,,Kaaawa,HI,96730,,51-296 Kamehameha Hwy,,,Kaaawa,HI,96730,,(808)237-7751,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Kaelepulu Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-330,150003000005,1500005,530 Keolu Dr,,,Kailua,HI,96734,,530 Keolu Dr,,,Kailua,HI,96734,,(808)266-7811,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Kahaluu Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-306,150003000006,1500006,47-280 Waihee Rd,,,Kaneohe,HI,96744,,47-280 Waihee Rd,,,Kaneohe,HI,96744,,(808)239-3101,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Kahuku High & Intermediate School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-307,150003000007,1500007,56-490 Kamehameha Hwy,,,Kahuku,HI,96731,,56-490 Kamehameha Hwy,,,Kahuku,HI,96731,,(808)293-8950,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,07,12,High,As reported
2018-2019,15,HAWAII,HI,Kailua Elementary School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-308,150003000008,1500008,315 Kuulei Rd,,,Kailua,HI,96734,,315 Kuulei Rd,,,Kailua,HI,96734,,(808)266-7878,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2018-2019,15,HAWAII,HI,Kailua High School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-309,150003000009,1500009,451 Ulumanu Dr,,,Kailua,HI,96734,,451 Ulumanu Dr,,,Kailua,HI,96734,,(808)266-7900,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,09,12,High,As reported
2018-2019,15,HAWAII,HI,Kailua Intermediate School,Hawaii Department of Education,1,,HI-001,1500030,HI-001-4-310,150003000010,1500010,145 South Kainalu Dr,,,Kailua,HI,96734,,145 South Kainalu Dr,,,Kailua,HI,96734,,(808)263-1500,,1,Open,1,Open,12/16/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,07,08,Middle,As reported
