LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_GEOMENR_G08_IND,SCH_GEOMENR_G08,SCH_MATHCERT_GEOM,SCH_MATHCLASSES_GEOM,SCH_MATHENR_GEOM_HI_M,SCH_MATHENR_GEOM_HI_F,SCH_MATHENR_GEOM_AM_M,SCH_MATHENR_GEOM_AM_F,SCH_MATHENR_GEOM_AS_M,SCH_MATHENR_GEOM_AS_F,SCH_MATHENR_GEOM_HP_M,SCH_MATHENR_GEOM_HP_F,SCH_MATHENR_GEOM_BL_M,SCH_MATHENR_GEOM_BL_F,SCH_MATHENR_GEOM_WH_M,SCH_MATHENR_GEOM_WH_F,SCH_MATHENR_GEOM_TR_M,SCH_MATHENR_GEOM_TR_F,TOT_MATHENR_GEOM_M,TOT_MATHENR_GEOM_F,SCH_MATHENR_GEOM_LEP_M,SCH_MATHENR_GEOM_LEP_F,SCH_MATHENR_GEOM_IDEA_M,SCH_MATHENR_GEOM_IDEA_F
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,Yes,14,14,14,5,2,2,1,9,8,70,60,0,0,12,13,11,9,109,93,7,1,13,9
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,No,-9,3,5,8,6,0,0,19,25,54,56,0,1,16,13,4,6,101,107,1,4,15,14
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,No,-9,7,7,17,17,0,0,5,10,14,16,2,0,34,37,8,12,80,92,3,1,10,3
