LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,CF_M,HH_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,SS_F,PPPS_M,RF_F,TOTAL_STUDENTS_REPORTED
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,AUT,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,8
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,EMN,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,4
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,HI,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,MR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,OHI,0,0,1,8,2,0,0,0,0,0,0,1,0,0,0,0,12
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,SLD,0,0,0,7,6,0,0,0,0,0,0,4,1,0,0,0,18
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,SLI,0,0,0,1,6,0,0,0,0,0,0,1,2,0,2,0,12
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,AUT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,DD,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,EMN,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,OHI,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,8
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,SLD,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,9
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,SLI,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,AUT,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,DD,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,MR,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,OHI,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,4
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,SLD,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,10
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,SLI,0,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,7
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,DD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,EMN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,HI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,OHI,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,SLD,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,9
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,SLI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,AUT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,EMN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,OHI,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,SLD,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,SLI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,AUT,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,4
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,DD,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,EMN,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,MD,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,OHI,0,0,3,4,2,0,0,0,1,0,0,1,0,0,0,0,11
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,SLD,0,0,0,9,1,0,0,0,0,0,0,2,2,0,0,0,14
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,SLI,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,4
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,TBI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,AUT,0,0,4,5,3,0,0,0,0,0,0,1,5,0,0,0,18
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,EMN,0,0,0,3,4,0,0,0,0,0,0,1,4,0,0,0,12
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,MD,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,MR,0,0,2,5,0,0,0,0,0,0,3,3,0,0,0,0,13
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,OHI,0,0,3,8,11,0,0,0,0,0,0,4,5,0,0,0,31
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,SLD,0,0,2,24,30,0,0,0,0,0,1,19,25,0,0,0,101
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,TBI,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,AUT,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,6
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,DD,0,0,1,5,2,0,0,0,0,0,0,2,0,0,0,0,10
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,EMN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,MD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,MR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,OHI,0,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,9
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,SLD,0,0,0,6,4,0,0,0,0,0,0,1,1,0,0,0,12
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,SLI,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,AUT,0,0,5,1,2,0,0,0,0,0,2,0,1,0,0,0,11
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,EMN,0,0,0,2,2,0,0,0,0,0,3,1,1,0,0,0,9
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,HI,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,MD,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,8
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,MR,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,OHI,0,0,3,5,6,0,0,0,0,0,2,3,1,0,0,0,20
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,OI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,SLD,0,0,10,22,13,0,0,0,0,0,1,11,12,0,0,0,69
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,TBI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,AUT,0,0,2,4,6,0,2,0,0,0,0,1,0,0,0,0,15
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,EMN,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,HI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,MD,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,MR,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,OHI,0,0,2,5,17,0,0,0,0,0,4,3,3,0,0,0,34
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,SLD,0,0,0,10,21,0,0,0,0,0,0,4,6,0,0,0,41
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,SLI,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
