LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,EDUCATIONAL_ENVIRONMENT,BL_RACE_7,MU_RACE_7,PI_RACE_7,HI_RACE_7,WH_RACE_7,AS_RACE_7,AM_RACE_7,TOTAL_STUDENTS_REPORTED
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,PPPS,0,0,0,0,2,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,RC39,0,0,1,1,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,RC79TO40,0,6,13,6,3,2,0,30
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,RC80,0,8,9,1,5,0,0,23
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,RC79TO40,1,1,3,0,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,RC80,0,4,17,2,3,0,0,26
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,PPPS,0,2,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,RC39,0,2,1,0,0,2,0,5
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,RC79TO40,0,1,12,9,1,4,0,27
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,RC80,0,0,3,1,0,1,0,5
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,RC79TO40,0,1,1,1,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,RC80,0,3,8,2,1,0,0,14
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,SS,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,PPPS,0,0,0,0,0,1,0,1
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,RC79TO40,0,1,0,0,1,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,RC80,0,4,2,3,0,1,0,10
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,HH,0,0,1,1,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,RC39,0,1,3,0,1,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,RC79TO40,0,3,14,6,1,2,0,26
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,RC80,0,0,3,5,2,2,0,12
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,RC39,0,0,9,2,4,1,0,16
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,RC79TO40,0,6,52,3,9,5,0,75
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,RC80,0,7,54,3,17,5,2,88
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,RC39,0,1,2,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,RC79TO40,0,6,6,6,3,4,0,25
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,RC80,0,4,3,2,6,0,0,15
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,RC39,0,1,26,3,9,5,1,45
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,RC79TO40,0,1,33,2,6,3,0,45
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,RC80,0,2,16,3,9,7,1,38
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,HH,0,0,0,0,1,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,RC39,1,2,3,0,3,0,0,9
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,RC79TO40,2,1,13,6,8,1,0,31
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,RC80,1,5,16,5,23,6,1,57
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,SS,0,0,1,0,1,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,RC39,0,1,3,0,0,1,0,5
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,RC79TO40,0,1,7,2,11,0,0,21
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,RC80,0,2,4,3,0,2,0,11
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,SS,1,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,HH,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,RC39,0,1,4,2,6,0,0,13
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,RC79TO40,0,5,13,3,12,4,0,37
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,RC80,1,2,8,2,10,2,0,25
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,RF,0,0,0,0,1,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,SS,0,1,1,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,RC39,1,0,0,1,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,RC79TO40,0,5,6,3,1,1,0,16
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,RC80,0,5,8,6,1,3,0,23
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,RC39,0,4,2,0,0,0,0,6
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,RC79TO40,0,3,8,7,1,4,0,23
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,RC80,0,4,9,8,0,3,0,24
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,SS,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,RC79TO40,0,0,0,2,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,RC80,0,2,5,1,1,0,0,9
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,RC39,0,1,12,2,0,3,0,18
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,RC79TO40,0,2,23,6,3,3,0,37
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,RC80,0,3,16,7,3,6,0,35
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,RC79TO40,0,9,10,4,3,0,0,26
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,RC80,0,5,7,1,5,0,0,18
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,RC39,0,0,0,0,1,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,RC79TO40,0,0,0,0,2,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,RC80,0,1,4,0,12,0,0,17
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,RC39,0,1,1,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,RC79TO40,2,3,3,3,0,0,0,11
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,RC80,1,3,7,5,2,5,0,23
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,RC39,1,0,0,1,6,0,0,8
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,RC79TO40,0,2,0,6,5,0,0,13
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,RC80,4,1,0,13,24,1,0,43
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,RC39,1,1,0,1,1,1,0,5
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,RC79TO40,0,5,15,4,1,5,0,30
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,RC80,0,2,15,2,1,1,1,22
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,RC39,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,RC79TO40,0,0,6,0,0,0,0,6
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,RC80,0,1,16,5,1,0,0,23
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,RC39,0,1,1,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,RC79TO40,0,0,6,5,4,1,0,16
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,RC80,0,1,1,4,1,0,1,8
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,SS,0,1,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,24,Sunset Beach Elementary School,150003000024,No,RC39,0,1,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,24,Sunset Beach Elementary School,150003000024,No,RC79TO40,0,5,8,5,5,0,0,23
HI,HAWAII,1500030,Hawaii Department of Education,24,Sunset Beach Elementary School,150003000024,No,RC80,0,6,1,1,12,1,0,21
HI,HAWAII,1500030,Hawaii Department of Education,25,Waiahole Elementary School,150003000025,No,RC79TO40,0,1,2,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,25,Waiahole Elementary School,150003000025,No,RC80,0,1,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,25,Waiahole Elementary School,150003000025,No,SS,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,26,Waimanalo Elementary & Intermediate School,150003000026,No,RC39,0,0,4,1,1,0,0,6
HI,HAWAII,1500030,Hawaii Department of Education,26,Waimanalo Elementary & Intermediate School,150003000026,No,RC79TO40,0,0,11,2,1,1,0,15
HI,HAWAII,1500030,Hawaii Department of Education,26,Waimanalo Elementary & Intermediate School,150003000026,No,RC80,0,4,22,6,1,3,0,36
HI,HAWAII,1500030,Hawaii Department of Education,27,Ernest Bowen DeSilva Elementary School,150003000027,No,HH,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,27,Ernest Bowen DeSilva Elementary School,150003000027,No,RC80,0,6,3,5,3,4,0,21
HI,HAWAII,1500030,Hawaii Department of Education,28,Haaheo Elementary School,150003000028,No,RC80,0,3,8,4,1,0,0,16
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,HH,0,0,0,0,1,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,RC39,0,4,51,6,9,7,0,77
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,RC79TO40,2,2,52,6,9,9,0,80
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,RC80,0,4,28,3,5,7,0,47
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,RF,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,30,Hilo Intermediate School,150003000030,No,RC39,0,0,8,1,0,2,0,11
HI,HAWAII,1500030,Hawaii Department of Education,30,Hilo Intermediate School,150003000030,No,RC79TO40,1,2,21,4,3,4,0,35
HI,HAWAII,1500030,Hawaii Department of Education,30,Hilo Intermediate School,150003000030,No,RC80,0,1,18,2,3,3,0,27
HI,HAWAII,1500030,Hawaii Department of Education,31,Hilo Union Elementary School,150003000031,No,RC39,0,0,4,0,0,0,0,4
HI,HAWAII,1500030,Hawaii Department of Education,31,Hilo Union Elementary School,150003000031,No,RC79TO40,0,1,1,1,0,1,0,4
HI,HAWAII,1500030,Hawaii Department of Education,31,Hilo Union Elementary School,150003000031,No,RC80,0,5,17,22,3,2,0,49
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,RC39,0,2,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,RC79TO40,0,3,8,4,3,1,0,19
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,RC80,0,0,0,4,2,1,0,7
HI,HAWAII,1500030,Hawaii Department of Education,33,Honaunau Elementary School,150003000033,No,RC39,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,33,Honaunau Elementary School,150003000033,No,RC80,0,1,6,2,1,0,0,10
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,RC39,0,2,7,0,5,2,0,16
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,RC79TO40,1,2,15,5,4,5,0,32
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,RC80,0,1,18,4,12,7,0,42
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,RF,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,35,Hookena Elementary School,150003000035,No,RC79TO40,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,35,Hookena Elementary School,150003000035,No,RC80,0,1,4,3,0,0,0,8
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,PPPS,0,0,1,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,RC39,0,1,0,3,1,1,0,6
