LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000000,No,MD,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000000,No,MD,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000000,No,MD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000000,No,MD,0,1,0,1,0,3,1,0,0,0,1,1,0,0,8,0,6,0,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000000,No,MD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000000,No,MD,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000000,No,MD,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000000,No,MD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000000,No,MD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000000,No,MD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000000,No,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000000,No,MD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,24,Sunset Beach Elementary School,150003000000,No,MD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,25,Waiahole Elementary School,150003000000,No,MD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,26,Waimanalo Elementary & Intermediate School,150003000000,No,MD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000000,No,MD,0,1,0,0,0,3,0,0,0,0,0,0,0,1,5,0,4,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,31,Hilo Union Elementary School,150003000000,No,MD,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000000,No,MD,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000000,No,MD,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,38,Kau High & Pahala Elementary School,150003000000,No,MD,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000000,No,MD,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000000,No,MD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000000,No,MD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000000,No,MD,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,45,Konawaena High School,150003000000,No,MD,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,46,Laupahoehoe Community - PCS,150003000000,No,MD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,48,Naalehu Elementary School,150003000000,No,MD,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,50,Pahoa High & Intermediate School,150003000000,No,MD,0,0,0,1,0,0,2,0,0,0,0,0,3,0,6,0,3,0,3,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,51,Waiakea Elementary School,150003000000,No,MD,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,52,Waiakea High School,150003000000,No,MD,0,0,0,1,0,2,0,0,1,0,0,0,1,0,5,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,53,Waiakea Intermediate School,150003000000,No,MD,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,54,Waiakeawaena Elementary School,150003000000,No,MD,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,56,Henry Perrine Baldwin High School,150003000000,No,MD,0,0,0,0,0,1,2,0,1,0,1,0,2,0,7,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,59,Iao Intermediate School,150003000000,No,MD,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,60,Kahului Elementary School,150003000000,No,MD,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,61,King Kamehameha III Elementary School,150003000000,No,MD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,62,Kaunakakai Elementary School,150003000000,No,MD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,64,Kihei Elementary School,150003000000,No,MD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,67,Kula Elementary School,150003000000,No,MD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,69,Lahainaluna High School,150003000000,No,MD,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
