LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000000,No,OHI,0,0,0,1,4,5,1,0,0,0,0,0,1,0,12,0,11,0,1,0,0,0,1,8,2,0,0,0,0,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000000,No,OHI,0,0,0,0,1,4,2,0,0,0,0,0,0,1,8,0,7,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000000,No,OHI,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000000,No,OHI,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000000,No,OHI,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000000,No,OHI,0,1,0,2,0,3,1,0,0,0,1,1,0,0,9,0,7,0,2,0,0,0,1,4,2,0,0,0,1,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000000,No,OHI,1,2,0,1,1,13,4,0,0,0,0,0,6,3,31,1,21,0,9,0,0,0,3,8,11,0,0,0,0,0,0,4,5,0,0
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000000,No,OHI,0,2,0,0,2,2,2,0,0,0,0,1,0,0,9,1,7,0,1,0,0,0,0,5,3,0,0,0,0,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000000,No,OHI,0,0,0,2,0,7,5,0,0,0,0,0,6,0,20,0,14,0,6,0,0,0,3,5,6,0,0,0,0,0,2,3,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000000,No,OHI,0,2,1,5,3,6,6,0,1,0,2,0,2,5,33,0,23,1,9,0,0,0,1,5,17,0,0,0,0,0,4,3,3,0,0
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000000,No,OHI,0,0,0,0,1,5,3,0,0,0,0,0,0,1,10,0,9,0,1,0,0,0,3,6,0,0,0,0,0,0,0,1,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000000,No,OHI,0,1,0,2,3,4,9,0,0,0,0,1,2,2,24,0,19,0,5,0,0,0,3,9,7,0,0,0,0,0,0,3,1,1,0
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000000,No,OHI,0,0,0,4,1,4,1,0,1,0,1,0,0,0,12,0,10,0,2,0,0,0,0,2,8,0,0,0,0,0,1,0,1,0,0
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000000,No,OHI,0,1,0,3,3,1,0,0,0,0,1,0,2,0,11,0,8,0,3,0,0,0,2,2,4,0,0,0,0,0,1,1,1,0,0
