LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
HI,HAWAII,1500030,Hawaii Department of Education,1,Enchanted Lake Elementary School,150003000001,No,30.0,30.0,0.0,1.0,0.0,30.0,29.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,2,Hauula Elementary School,150003000002,No,29.0,28.0,1.0,3.0,1.0,29.0,24.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,3,Heeia Elementary School,150003000003,No,33.0,33.0,0.0,2.0,1.5,34.0,31.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,4,Kaaawa Elementary School,150003000004,No,9.0,7.5,1.5,1.5,1.0,10.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,5,Kaelepulu Elementary School,150003000005,No,13.0,13.0,0.0,0.0,0.0,13.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,6,Kahaluu Elementary School,150003000006,No,26.0,26.0,0.0,5.0,0.0,26.0,21.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,7,Kahuku High & Intermediate School,150003000007,No,98.0,90.0,8.0,4.0,7.0,98.0,91.0,68.0,7.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,8,Kailua Elementary School,150003000008,No,27.5,26.5,1.0,2.0,0.0,28.0,26.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,9,Kailua High School,150003000009,No,51.0,45.5,5.5,1.5,3.0,52.0,49.0,28.5,6.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,10,Kailua Intermediate School,150003000010,No,54.0,50.0,4.0,4.0,8.0,54.0,46.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,11,Kainalu Elementary School,150003000011,No,31.0,31.0,0.0,1.0,1.0,31.0,30.0,8.0,0.5,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,12,Kalaheo High School,150003000012,No,52.0,47.0,5.0,7.0,5.0,52.0,45.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,13,Kaneohe Elementary School,150003000013,No,44.0,43.0,1.0,2.0,5.0,44.0,42.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,38.0,37.0,1.0,2.0,1.0,38.0,36.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,8.0,8.0,0.0,2.0,2.0,11.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,41.0,39.0,2.0,2.0,3.0,41.0,39.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,42.0,38.0,4.0,3.0,5.0,42.0,39.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,23.2,23.2,0.0,0.0,0.0,23.0,23.0,7.2,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,24.0,24.0,0.0,0.0,0.0,24.0,24.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,58.0,55.0,3.0,10.0,6.0,58.0,46.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,29.0,27.0,2.0,2.0,0.0,29.0,25.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,17.0,16.0,1.0,0.0,1.0,17.0,16.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,21.0,17.5,3.5,1.5,1.0,22.0,19.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,24,Sunset Beach Elementary School,150003000024,No,30.0,29.0,1.0,2.0,0.0,30.0,27.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,25,Waiahole Elementary School,150003000025,No,10.5,10.5,0.0,0.0,0.0,11.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,26,Waimanalo Elementary & Intermediate School,150003000026,No,37.0,35.0,2.0,3.0,2.0,37.0,33.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,27,Ernest Bowen DeSilva Elementary School,150003000027,No,24.5,24.5,0.0,0.0,0.0,25.0,25.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,28,Haaheo Elementary School,150003000028,No,11.5,11.5,0.0,1.0,0.0,12.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,29,Hilo High School,150003000029,No,80.0,78.0,2.0,2.0,1.0,80.0,77.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,30,Hilo Intermediate School,150003000030,No,35.0,34.0,1.0,1.0,1.0,35.0,33.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,31,Hilo Union Elementary School,150003000031,No,32.0,32.0,0.0,3.0,1.0,32.0,29.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,32,Holualoa Elementary School,150003000032,No,26.0,25.0,1.0,3.0,2.0,26.0,22.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,33,Honaunau Elementary School,150003000033,No,12.5,12.5,0.0,1.0,1.0,14.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,34,Honokaa High & Intermediate School,150003000034,No,45.0,40.0,5.0,3.0,5.0,45.0,42.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,35,Hookena Elementary School,150003000035,No,8.0,5.0,3.0,4.0,0.0,11.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,36,Prince Jonah Kalanianaole Elementary & Intermediate School,150003000036,No,27.0,25.0,2.0,2.0,1.0,27.0,25.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,37,Chiefess Kapiolani Elementary School,150003000037,No,26.0,26.0,0.0,2.0,0.0,26.0,24.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,38,Kau High & Pahala Elementary School,150003000038,No,44.0,36.0,8.0,10.0,6.0,44.0,34.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,39,Kaumana Elementary School,150003000039,No,19.0,19.0,0.0,1.0,0.0,19.0,18.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,40,Keaau Middle School,150003000040,No,52.0,51.0,1.0,3.0,1.0,52.0,49.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,41,Kealakehe Elementary School,150003000041,No,70.5,65.0,5.5,11.5,5.0,72.0,58.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,42,Keaukaha Elementary School,150003000042,No,32.0,32.0,0.0,1.0,1.0,32.0,31.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,43,Kohala High School,150003000043,No,21.0,20.5,0.5,0.0,2.5,22.0,21.0,14.5,1.0,0.0,0.0,0.0,0.0,0.0
HI,HAWAII,1500030,Hawaii Department of Education,44,Konawaena Elementary School,150003000044,No,37.0,36.0,1.0,2.0,3.0,37.0,35.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
