LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,9532,DALLAS CAN ACADEMY AT CARROLLTON-FARMERS BRANCH,480002000000,No,DB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TX,TEXAS,4800252,TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED,9536,TEXAS SCHOOL FOR THE BLIND,480025000000,No,DB,0,0,0,1,0,0,4,0,0,1,1,0,0,0,7,0,5,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2
TX,TEXAS,4800253,TEXAS SCH FOR THE DEAF,9537,TEXAS SCHOOL FOR THE DEAF,480025000000,No,DB,0,0,0,1,0,0,1,0,0,0,2,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
TX,TEXAS,4807830,ALIEF ISD,8267,MATA INT,480783000000,No,DB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TX,TEXAS,4807890,ALLEN ISD,5843,GENE M REED EL,480789000000,No,DB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TX,TEXAS,4807890,ALLEN ISD,8146,LOWERY FRESHMAN CENTER,480789000000,No,DB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TX,TEXAS,4808340,ANNA ISD,11456,SUE EVELYN RATTAN EL,480834000000,No,DB,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TX,TEXAS,4808700,ARLINGTON ISD,7433,ASHWORTH EL,480870000000,No,DB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TX,TEXAS,4809670,BEAUMONT ISD,5951,WEST BROOK SR H S,480967000000,No,DB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TX,TEXAS,4809670,BEAUMONT ISD,7365,PIETZSCH/MAC ARTHUR EL,480967000000,No,DB,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
