LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
TX,TEXAS,4800001,CROSBYTON CISD,1145,CROSBYTON EL,480000000000,No,SLI,0,0,0,1,0,0,2,0,0,0,2,0,0,0,5,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
TX,TEXAS,4800002,SPUR ISD,4732,SPUR SCHOOL,480000000000,No,SLI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TX,TEXAS,4800003,ROCKSPRINGS ISD,4219,ROCKSPRINGS K-12,480000000000,No,SLI,0,0,0,3,0,0,2,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
TX,TEXAS,4800004,POR VIDA ACADEMY,7173,POR VIDA ACADEMY CHARTER H S,480000000000,No,SLI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TX,TEXAS,4800005,BLACKWELL CISD,513,BLACKWELL SCHOOL,480001000000,No,SLI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TX,TEXAS,4800006,ASPERMONT ISD,274,ASPERMONT EL,480001000000,No,SLI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
TX,TEXAS,4800007,PANTHER CREEK CISD,6343,PANTHER CREEK SCHOOL,480001000000,No,SLI,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,1507,DRIPPING SPRINGS EL,480001000000,No,SLI,1,1,0,7,0,0,16,0,0,0,5,2,0,7,39,5,20,4,10,0,0,0,0,0,25,0,0,0,0,0,0,0,14,0,0
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,1508,DRIPPING SPRINGS H S,480001000000,No,SLI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,6094,DRIPPING SPRINGS MIDDLE,480001000000,No,SLI,0,0,0,2,0,0,4,0,0,0,0,0,0,3,9,0,6,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,6989,WALNUT SPRINGS EL,480001000000,No,SLI,0,0,0,5,1,0,13,0,1,0,2,0,0,10,32,2,17,0,13,0,0,0,0,0,19,0,0,0,0,0,0,0,13,0,0
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,11280,ROOSTER SPRINGS EL,480001000000,No,SLI,0,2,0,6,1,0,14,0,0,0,0,0,0,8,31,0,23,0,8,0,0,0,0,0,23,0,0,0,0,0,0,0,8,0,0
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,13086,SYCAMORE SPRINGS EL,480001000000,No,SLI,0,0,0,2,1,0,18,0,0,1,3,1,0,4,30,1,20,0,9,0,0,0,0,0,21,0,0,0,0,0,0,0,9,0,0
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,13151,SYCAMORE SPRINGS MIDDLE,480001000000,No,SLI,0,0,0,0,0,0,2,0,1,0,0,0,0,1,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
TX,TEXAS,4800009,WIMBERLEY ISD,5246,JACOB'S WELL EL,480001000000,No,SLI,0,0,0,1,0,0,13,0,0,0,4,0,0,8,26,0,14,0,12,0,0,0,0,1,13,0,0,0,0,0,0,0,12,0,0
TX,TEXAS,4800009,WIMBERLEY ISD,6499,SCUDDER PRI,480001000000,No,SLI,0,0,0,1,0,0,9,0,0,0,0,0,0,2,12,1,9,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0
TX,TEXAS,4800009,WIMBERLEY ISD,7342,DANFORTH J H,480001000000,No,SLI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
