LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_PSENR_HI_M,SCH_PSENR_HI_F,SCH_PSENR_AM_M,SCH_PSENR_AM_F,SCH_PSENR_AS_M,SCH_PSENR_AS_F,SCH_PSENR_HP_M,SCH_PSENR_HP_F,SCH_PSENR_BL_M,SCH_PSENR_BL_F,SCH_PSENR_WH_M,SCH_PSENR_WH_F,SCH_PSENR_TR_M,SCH_PSENR_TR_F,TOT_PSENR_M,TOT_PSENR_F,SCH_PSENR_LEP_M,SCH_PSENR_LEP_F,SCH_PSENR_IDEA_M,SCH_PSENR_IDEA_F,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_504_M,SCH_ENR_504_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_LEPENR_HI_M,SCH_LEPENR_HI_F,SCH_LEPENR_AM_M,SCH_LEPENR_AM_F,SCH_LEPENR_AS_M,SCH_LEPENR_AS_F,SCH_LEPENR_HP_M,SCH_LEPENR_HP_F,SCH_LEPENR_BL_M,SCH_LEPENR_BL_F,SCH_LEPENR_WH_M,SCH_LEPENR_WH_F,SCH_LEPENR_TR_M,SCH_LEPENR_TR_F,TOT_LEPENR_M,TOT_LEPENR_F,SCH_LEPPROGENR_HI_M,SCH_LEPPROGENR_HI_F,SCH_LEPPROGENR_AM_M,SCH_LEPPROGENR_AM_F,SCH_LEPPROGENR_AS_M,SCH_LEPPROGENR_AS_F,SCH_LEPPROGENR_HP_M,SCH_LEPPROGENR_HP_F,SCH_LEPPROGENR_BL_M,SCH_LEPPROGENR_BL_F,SCH_LEPPROGENR_WH_M,SCH_LEPPROGENR_WH_F,SCH_LEPPROGENR_TR_M,SCH_LEPPROGENR_TR_F,TOT_LEPPROGENR_M,TOT_LEPPROGENR_F,SCH_IDEAENR_HI_M,SCH_IDEAENR_HI_F,SCH_IDEAENR_AM_M,SCH_IDEAENR_AM_F,SCH_IDEAENR_AS_M,SCH_IDEAENR_AS_F,SCH_IDEAENR_HP_M,SCH_IDEAENR_HP_F,SCH_IDEAENR_BL_M,SCH_IDEAENR_BL_F,SCH_IDEAENR_WH_M,SCH_IDEAENR_WH_F,SCH_IDEAENR_TR_M,SCH_IDEAENR_TR_F,TOT_IDEAENR_M,TOT_IDEAENR_F,SCH_IDEAENR_LEP_M,SCH_IDEAENR_LEP_F,SCH_504ENR_HI_M,SCH_504ENR_HI_F,SCH_504ENR_AM_M,SCH_504ENR_AM_F,SCH_504ENR_AS_M,SCH_504ENR_AS_F,SCH_504ENR_HP_M,SCH_504ENR_HP_F,SCH_504ENR_BL_M,SCH_504ENR_BL_F,SCH_504ENR_WH_M,SCH_504ENR_WH_F,SCH_504ENR_TR_M,SCH_504ENR_TR_F,TOT_504ENR_M,TOT_504ENR_F,SCH_504ENR_LEP_M,SCH_504ENR_LEP_F
TX,Texas,4800001,Crosbyton Cisd,1145,Crosbyton El,480000101145,No,6,8,0,0,0,0,0,0,0,0,1,4,0,0,7,12,0,0,0,0,48,55,0,0,0,0,0,0,0,2,15,16,2,0,65,73,0,1,2,2,17,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,6,0,0,0,0,0,0,0,2,3,2,2,0,17,10,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1
TX,Texas,4800001,Crosbyton Cisd,1146,Crosbyton Secondary,480000101146,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,62,60,0,0,0,0,0,0,2,4,19,22,1,1,84,87,1,2,7,6,10,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,7,0,0,0,0,0,0,0,3,1,2,0,0,10,12,0,0,4,5,0,0,0,0,0,0,0,0,3,1,0,0,7,6,0,0
TX,Texas,4800001,Crosbyton Cisd,3621,Sp Ed Co-Op,480000103621,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,1,1,0,0,5,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,Texas,4800002,Spur Isd,4732,Spur School,480000204732,No,2,4,0,0,0,0,0,0,0,0,1,2,1,0,4,6,0,0,0,2,63,44,0,0,1,0,0,0,2,2,64,66,8,6,138,118,1,1,25,14,34,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,9,0,0,0,0,0,0,1,0,14,10,3,1,34,20,1,1,9,6,0,0,0,0,0,0,1,0,14,8,1,0,25,14,0,0
TX,Texas,4800003,Rocksprings Isd,4219,Rocksprings K-12,480000304219,No,7,9,0,0,0,0,0,0,0,0,2,1,0,1,9,11,0,0,3,2,124,89,0,0,2,0,0,0,1,2,30,22,0,1,157,114,11,3,13,9,29,13,10,3,0,0,1,0,0,0,0,0,0,0,0,0,11,3,10,1,0,0,1,0,0,0,0,0,0,0,0,0,11,1,20,12,0,0,0,0,0,0,0,1,9,0,0,0,29,13,3,0,7,5,0,0,0,0,0,0,0,0,6,4,0,0,13,9,0,0
TX,Texas,4800004,Por Vida Academy,7173,Por Vida Academy Charter H S,480000407173,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,12,29,0,0,1,0,0,0,0,1,1,2,0,2,14,34,0,1,2,7,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0
TX,Texas,4800004,Por Vida Academy,9116,Por Vida Academy Corpus Christi,480000409116,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,12,29,0,0,1,0,0,0,0,1,2,2,0,1,15,33,0,1,2,8,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0
TX,Texas,4800005,Blackwell Cisd,513,Blackwell School,480000500513,No,2,0,0,0,0,0,0,0,0,0,3,3,0,0,5,3,0,0,2,0,17,21,0,0,0,0,0,0,0,0,71,58,0,1,88,80,0,0,11,9,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,11,6,0,0,16,8,0,0,1,1,0,0,0,0,0,0,0,0,10,8,0,0,11,9,0,0
TX,Texas,4800006,Aspermont Isd,274,Aspermont El,480000600274,No,1,3,0,0,0,0,0,0,0,0,5,6,0,0,6,9,0,1,2,1,13,15,0,0,0,1,0,0,1,0,34,37,1,0,49,53,0,3,2,2,9,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,3,0,0,9,5,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,1
TX,Texas,4800006,Aspermont Isd,275,Aspermont H S,480000600275,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,15,17,0,0,1,2,0,0,1,1,33,40,1,0,51,60,1,5,9,9,8,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,0,0,0,0,0,0,0,0,3,1,0,0,8,3,1,1,1,3,0,0,0,0,0,0,0,1,8,5,0,0,9,9,0,0
