LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
TX,TEXAS,4800001,CROSBYTON CISD,1145,CROSBYTON EL,480000101145,No,3058641.0,37.0,2056603.0,1348539.0,10.0,198515.0,0.0,-9.0,5.0,237247.0,0.0,10.0,198515.0,0.0,0.0,5.0,237247.0,3354858.0,0.0
TX,TEXAS,4800001,CROSBYTON CISD,1146,CROSBYTON SECONDARY,480000101146,No,0.0,0.0,-9.0,0.0,0.0,-9.0,0.0,-9.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,TEXAS,4800001,CROSBYTON CISD,3621,SP ED CO-OP,480000103621,No,0.0,0.0,-9.0,0.0,0.0,-9.0,0.0,-9.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,TEXAS,4800002,SPUR ISD,4732,SPUR SCHOOL,480000204732,No,2292776.0,28.0,1406272.0,1551498.0,8.0,146436.0,16.0,558720.0,2.0,198600.0,1463884.0,7.0,146436.0,16.0,558720.0,2.0,198600.0,2367640.0,1575127.0
TX,TEXAS,4800003,ROCKSPRINGS ISD,4219,ROCKSPRINGS K-12,480000304219,No,1194252.72,24.0,1194252.72,106066.54,6.7,29057.64,2.0,53176.02,3.0,196496.08,1194252.72,6.7,53882.2,2.0,107732.84,3.0,196496.08,1845019.71,54707.21
TX,TEXAS,4800004,POR VIDA ACADEMY,7173,POR VIDA ACADEMY CHARTER H S,480000407173,No,410106.94,10.0,185817.58,124224.64,1.0,8000.04,4.0,114493.74,1.0,101795.58,434547.47,2.0,37987.26,7.0,268064.57,1.0,101795.58,842394.88,291616.4
TX,TEXAS,4800004,POR VIDA ACADEMY,9116,CORPUS CHRISTI COLLEGE PREP H S,480000409116,No,450713.78,6.0,382665.26,153023.95,0.0,-9.0,3.0,41491.25,1.0,26557.27,382665.26,0.0,0.0,3.0,41491.25,1.0,26557.27,450713.78,153023.95
TX,TEXAS,4800004,POR VIDA ACADEMY,9460,CESAR E CHAVEZ ACADEMY,480000409460,No,506950.96,9.0,319254.71,113194.55,1.0,30552.0,1.0,56355.5,1.0,100788.75,319254.71,1.0,30552.0,1.0,56355.5,1.0,100788.75,506950.96,187034.87
TX,TEXAS,4800005,BLACKWELL CISD,513,BLACKWELL SCHOOL,480000500513,No,1679135.0,19.0,984863.0,1450094.0,3.0,67413.0,15.0,342761.0,3.0,284098.0,984863.0,3.0,67413.0,15.0,342761.0,3.0,284098.0,1679135.0,0.0
TX,TEXAS,4800006,ASPERMONT ISD,274,ASPERMONT EL,480000600274,No,1117292.74,20.0,677378.12,144320.15,6.0,93069.45,0.0,-9.0,7.0,326780.34,792462.31,8.0,122714.22,0.0,0.0,7.0,326780.34,1259962.92,155165.82
