LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_ENR,LEA_ENR_NONLEAFAC,LEA_SCHOOLS,LEA_CRCOORD_SEX_IND,LEA_CRCOORD_RAC_IND,LEA_CRCOORD_DIS_IND,LEA_CRCOORD_SEX_FN,LEA_CRCOORD_SEX_LN,LEA_CRCOORD_SEX_PH,LEA_CRCOORD_SEX_EM,LEA_CRCOORD_RAC_FN,LEA_CRCOORD_RAC_LN,LEA_CRCOORD_RAC_PH,LEA_CRCOORD_RAC_EM,LEA_CRCOORD_DIS_FN,LEA_CRCOORD_DIS_LN,LEA_CRCOORD_DIS_PH,LEA_CRCOORD_DIS_EM,LEA_DESEGPLAN,LEA_HBPOLICY_IND,LEA_HBPOLICYURL_IND,LEA_HBPOLICY_URL,LEA_ECE_IND,LEA_ECE_NONIDEA,LEA_PS_IND,LEA_PS_FULLDAYFREE,LEA_PS_FULLDAYCOST,LEA_PS_PARTDAYFREE,LEA_PS_PARTDAYCOST,LEA_PSENR_NONIDEA_A3,LEA_PSENR_NONIDEA_A4,LEA_PSENR_NONIDEA_A5,LEA_PSENR_A2,LEA_PSENR_A3,LEA_PSENR_A4,LEA_PSENR_A5,LEA_PSELIG_ALL,LEA_PSELIG_IDEA,LEA_PSELIG_TITLEI,LEA_PSELIG_LOWINC,LEA_KG_IND,LEA_KG_FULLDAYFREE,LEA_KG_FULLDAYCOST,LEA_KG_PARTDAYFREE,LEA_KG_PARTDAYCOST,LEA_GED_IND,LEA_GEDPART_HI_M,LEA_GEDPART_HI_F,LEA_GEDPART_AM_M,LEA_GEDPART_AM_F,LEA_GEDPART_AS_M,LEA_GEDPART_AS_F,LEA_GEDPART_HP_M,LEA_GEDPART_HP_F,LEA_GEDPART_BL_M,LEA_GEDPART_BL_F,LEA_GEDPART_WH_M,LEA_GEDPART_WH_F,LEA_GEDPART_TR_M,LEA_GEDPART_TR_F,TOT_GEDPART_M,TOT_GEDPART_F,LEA_GEDPART_LEP_M,LEA_GEDPART_LEP_F,LEA_GEDPART_IDEA_M,LEA_GEDPART_IDEA_F,LEA_GEDCRED_HI_M,LEA_GEDCRED_HI_F,LEA_GEDCRED_AM_M,LEA_GEDCRED_AM_F,LEA_GEDCRED_AS_M,LEA_GEDCRED_AS_F,LEA_GEDCRED_HP_M,LEA_GEDCRED_HP_F,LEA_GEDCRED_BL_M,LEA_GEDCRED_BL_F,LEA_GEDCRED_WH_M,LEA_GEDCRED_WH_F,LEA_GEDCRED_TR_M,LEA_GEDCRED_TR_F,TOT_GEDCRED_M,TOT_GEDCRED_F,LEA_GEDCRED_LEP_M,LEA_GEDCRED_LEP_F,LEA_GEDCRED_IDEA_M,LEA_GEDCRED_IDEA_F,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
TX,TEXAS,4800001,CROSBYTON CISD,204 S HARRISON ST,CROSBYTON,79322,No,386,0,2,Yes,Yes,Yes,Shawn,Mason,(806)675-7331 x1201,smason@crosbyton.k12.tx.us,Shawn,Mason,(806)675-7331 x1201,smason@crosbyton.k12.tx.us,Shawn,Mason,(806)675-7331 x1201,smason@crosbyton.k12.tx.us,No,Yes,Yes,www.crosbyton.k12.tx.us,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,0,0,26,8,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,5,0,0,0,0
TX,TEXAS,4800002,SPUR ISD,P O BOX 550,SPUR,79370,No,272,0,1,Yes,Yes,Yes,Lisa,Shobert,(806)271-3385 x2011,lshobert@esc17.net,Lisa,Shobert,(806)271-3385 x2011,lshobert@esc17.net,Lisa,Shobert,(806)271-3385 x2011,lshobert@esc17.net,No,Yes,Yes,http://pol.tasb.org/Policy/Search/401?filter=bullying,No,-9,Yes,No,No,Yes,No,Yes,Yes,No,0,2,2,0,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,0,0,0,0,0,0,0,0,0,5,5,2,2,7,7,0,0,0,0
TX,TEXAS,4800003,ROCKSPRINGS ISD,P O BOX 157,ROCKSPRINGS,78880,No,266,0,1,Yes,Yes,Yes,David,Velky,830-683-4137,david.velky@rockspringsisd.net,David,Velky,830-683-4137,david.velky@rockspringsisd.net,David,Velky,830-683-4137,david.velky@rockspringsisd.net,No,Yes,Yes,www.rockspringsisd.net,No,-9,Yes,No,No,Yes,No,No,Yes,Yes,0,0,20,20,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TX,TEXAS,4800004,POR VIDA ACADEMY,1135 MISSION RD,SAN ANTONIO,78210,No,322,0,3,Yes,Yes,Yes,Joseph,Rendon,(210)532-8816,jrendon@por-vida.org,Stephanie,Ramirez,(210)532-8816,sramirez@por-vida.org,Debbie,Quezada,(361)225-4240,dquezada@po-vida.org,No,Yes,Yes,http://www.pvacharter.org/,No,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,TEXAS,4800005,BLACKWELL CISD,P O BOX 505,BLACKWELL,79506,No,136,0,1,Yes,Yes,Yes,Abe,Gott,325-282-2311,agott@blackwellcisd.org,Abe,Gott,325-282-2311,agott@blackwellcisd.org,Bryan,Shipman,325-282-2311,bshipman@blackwellcisd.org,No,Yes,Yes,http://pol.tasb.org/Policy/Code/942?filter=FFI,Yes,No,Yes,Yes,No,No,No,No,No,Yes,0,0,0,2,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0
TX,TEXAS,4800006,ASPERMONT ISD,P O BOX 549,ASPERMONT,79502,No,242,0,2,Yes,Yes,Yes,Nikki,Edison,940-989-3355,nedison@aspermont.esc14.net,Tim,Bartram,940-989-3355,tbartram@aspermont.esc14.net,Sharon,Mendez,940-989-3355,smendez@aspermont.esc14.net,No,Yes,Yes,www.aspermontisd.com,No,-9,Yes,No,No,Yes,No,No,Yes,Yes,0,5,11,2,No,Yes,No,Yes,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,5,5,0,0,2,0,0,0,2,2,5,11,0,0,14,18,2,2,0,0
TX,TEXAS,4800007,PANTHER CREEK CISD,129 PR 3421,VALERA,76884,No,155,0,1,Yes,Yes,Yes,DWIN,NANNY,325-357-4449,dwin.nanny@pcreek.netT,DWIN,NANNY,325-357-4449,dwin.nanny@pcreek.net,DWIN,NANNY,325-357-4449,dwin.nanny@pcreek.net,No,Yes,Yes,www.pcreek.net,No,-9,Yes,Yes,No,No,No,Yes,Yes,Yes,0,2,5,2,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,4,0,0,0,0
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,P O BOX 479,DRIPPING SPRINGS,78620,No,5592,0,5,Yes,Yes,Yes,DIANE,FLAIM,(512) 287-1818,diane.flaim@dsisdtx.us,DIANE,FLAIM,(512) 287-1818,diane.flaim@dsisdtx.us,DIANE,FLAIM,(512) 287-1818,diane.flaim@dsisdtx.us,No,Yes,Yes,http://pol.tasb.org/Policy/Search/619?filter=harassment,No,-9,Yes,Yes,No,No,No,No,Yes,Yes,0,0,128,14,Yes,-9,-9,-9,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,TEXAS,4800009,WIMBERLEY ISD,951 FM 2325,WIMBERLEY,78676,No,2199,0,4,Yes,Yes,Yes,Dee,Howard,5128472414,dee.howard@wimberleyisd.net,Dee,Howard,5128472414,dee.howard@wimberleyisd.net,Stephanie,Norris,5128472181,stephanie.norris@wimberleyisd.net,Yes,Yes,Yes,http://pol.tasb.org/Policy/Search/620?filter=bully,No,-9,Yes,No,Yes,Yes,No,No,No,No,0,0,59,5,No,Yes,No,Yes,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,TEXAS,4800010,HAYS CISD,21003 INTERSTATE 35,KYLE,78640,Yes,18624,0,22,Yes,Yes,Yes,Elaine,Howard,5122682141,elaine.howard@hayscisd.net,Elaine,Howard,5122682141,elaine.howard@hayscisd.net,Janelle,Persall,5122682141,janelle.persall@hayscisd.net,No,Yes,Yes,http://www.hayscisd.net/site/Default.aspx?PageID=247,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,0,0,524,44,No,Yes,No,Yes,Yes,Yes,No,No,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,194,182,2,2,2,2,0,0,11,5,68,56,2,0,279,247,26,26,20,17
