LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,EDUCATIONAL_ENVIRONMENT,BL_RACE_7,MU_RACE_7,PI_RACE_7,HI_RACE_7,WH_RACE_7,AS_RACE_7,AM_RACE_7,TOTAL_STUDENTS_REPORTED
TX,TEXAS,4800001,CROSBYTON CISD,1145,CROSBYTON EL,480000101145,No,RC80,0,0,0,7,3,0,0,10
TX,TEXAS,4800001,CROSBYTON CISD,1146,CROSBYTON SECONDARY,480000101146,No,RC80,1,0,0,16,6,0,0,23
TX,TEXAS,4800001,CROSBYTON CISD,3621,SP ED CO-OP,480000103621,No,RC39,0,0,0,3,1,0,0,4
TX,TEXAS,4800002,SPUR ISD,4732,SPUR SCHOOL,480000204732,No,RC39,0,0,0,0,2,0,0,2
TX,TEXAS,4800002,SPUR ISD,4732,SPUR SCHOOL,480000204732,No,RC79TO40,0,1,0,4,3,0,0,8
TX,TEXAS,4800002,SPUR ISD,4732,SPUR SCHOOL,480000204732,No,RC80,1,2,0,7,10,0,0,20
TX,TEXAS,4800003,ROCKSPRINGS ISD,4219,ROCKSPRINGS K-12,480000304219,No,RC39,0,0,0,1,1,0,0,2
TX,TEXAS,4800003,ROCKSPRINGS ISD,4219,ROCKSPRINGS K-12,480000304219,No,RC79TO40,0,0,0,2,0,0,0,2
TX,TEXAS,4800003,ROCKSPRINGS ISD,4219,ROCKSPRINGS K-12,480000304219,No,RC80,0,0,0,21,7,0,0,28
TX,TEXAS,4800004,POR VIDA ACADEMY,7173,POR VIDA ACADEMY CHARTER H S,480000407173,No,RC80,0,0,0,20,0,0,0,20
TX,TEXAS,4800004,POR VIDA ACADEMY,9116,CORPUS CHRISTI COLLEGE PREP H S,480000409116,No,RC80,0,1,0,5,0,0,0,6
TX,TEXAS,4800004,POR VIDA ACADEMY,9460,CESAR E CHAVEZ ACADEMY,480000409460,No,RC80,1,0,0,5,0,0,0,6
TX,TEXAS,4800005,BLACKWELL CISD,513,BLACKWELL SCHOOL,480000500513,No,RC79TO40,0,0,0,1,0,0,0,1
TX,TEXAS,4800005,BLACKWELL CISD,513,BLACKWELL SCHOOL,480000500513,No,RC80,0,0,0,2,9,0,0,11
TX,TEXAS,4800006,ASPERMONT ISD,274,ASPERMONT EL,480000600274,No,RC80,0,1,0,2,3,0,0,6
TX,TEXAS,4800006,ASPERMONT ISD,275,ASPERMONT H S,480000600275,No,RC39,0,0,0,0,1,0,0,1
TX,TEXAS,4800006,ASPERMONT ISD,275,ASPERMONT H S,480000600275,No,RC79TO40,0,0,0,1,0,0,0,1
TX,TEXAS,4800006,ASPERMONT ISD,275,ASPERMONT H S,480000600275,No,RC80,0,0,0,4,5,0,0,9
TX,TEXAS,4800007,PANTHER CREEK CISD,6343,PANTHER CREEK SCHOOL,480000706343,No,RC39,0,0,0,1,1,0,0,2
TX,TEXAS,4800007,PANTHER CREEK CISD,6343,PANTHER CREEK SCHOOL,480000706343,No,RC79TO40,0,0,0,0,4,0,0,4
TX,TEXAS,4800007,PANTHER CREEK CISD,6343,PANTHER CREEK SCHOOL,480000706343,No,RC80,0,1,0,2,9,0,0,12
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,1507,DRIPPING SPRINGS EL,480000801507,No,RC39,1,0,0,0,0,0,0,1
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,1507,DRIPPING SPRINGS EL,480000801507,No,RC79TO40,0,0,0,1,3,0,0,4
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,1507,DRIPPING SPRINGS EL,480000801507,No,RC80,0,4,0,20,39,2,2,67
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,1508,DRIPPING SPRINGS H S,480000801508,No,RC39,1,3,0,5,10,0,0,19
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,1508,DRIPPING SPRINGS H S,480000801508,No,RC79TO40,2,1,0,24,26,0,0,53
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,1508,DRIPPING SPRINGS H S,480000801508,No,RC80,2,3,0,25,61,0,0,91
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,6094,DRIPPING SPRINGS MIDDLE,480000806094,No,RC39,0,2,0,2,7,0,0,11
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,6094,DRIPPING SPRINGS MIDDLE,480000806094,No,RC79TO40,0,0,0,16,9,0,0,25
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,6094,DRIPPING SPRINGS MIDDLE,480000806094,No,RC80,1,2,0,19,28,2,0,52
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,6989,WALNUT SPRINGS EL,480000806989,No,RC39,1,0,0,2,6,0,0,9
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,6989,WALNUT SPRINGS EL,480000806989,No,RC79TO40,0,0,0,6,10,0,0,16
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,6989,WALNUT SPRINGS EL,480000806989,No,RC80,0,1,0,11,31,1,0,44
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,11280,ROOSTER SPRINGS EL,480000811280,No,RC39,0,0,0,0,0,2,0,2
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,11280,ROOSTER SPRINGS EL,480000811280,No,RC79TO40,0,1,0,3,2,0,0,6
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,11280,ROOSTER SPRINGS EL,480000811280,No,RC80,0,1,0,15,46,2,0,64
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,13086,SYCAMORE SPRINGS EL,480000813086,No,RC39,0,0,0,0,4,0,0,4
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,13086,SYCAMORE SPRINGS EL,480000813086,No,RC79TO40,0,0,0,0,6,0,0,6
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,13086,SYCAMORE SPRINGS EL,480000813086,No,RC80,2,2,0,9,32,2,0,47
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,13151,SYCAMORE SPRINGS MIDDLE,480000813151,No,RC39,0,0,0,2,0,0,0,2
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,13151,SYCAMORE SPRINGS MIDDLE,480000813151,No,RC79TO40,1,0,0,0,1,0,0,2
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,13151,SYCAMORE SPRINGS MIDDLE,480000813151,No,RC80,1,2,0,14,36,1,1,55
TX,TEXAS,4800009,WIMBERLEY ISD,5246,JACOB'S WELL EL,480000905246,No,RC39,0,0,0,3,1,0,0,4
TX,TEXAS,4800009,WIMBERLEY ISD,5246,JACOB'S WELL EL,480000905246,No,RC79TO40,0,1,0,7,14,0,0,22
TX,TEXAS,4800009,WIMBERLEY ISD,5246,JACOB'S WELL EL,480000905246,No,RC80,0,0,0,8,30,0,1,39
TX,TEXAS,4800009,WIMBERLEY ISD,6198,WIMBERLEY H S,480000906198,No,RC39,0,1,0,1,6,0,0,8
TX,TEXAS,4800009,WIMBERLEY ISD,6198,WIMBERLEY H S,480000906198,No,RC79TO40,0,0,0,1,2,0,0,3
TX,TEXAS,4800009,WIMBERLEY ISD,6198,WIMBERLEY H S,480000906198,No,RC80,1,2,0,12,24,0,0,39
TX,TEXAS,4800009,WIMBERLEY ISD,6499,SCUDDER PRI,480000906499,No,RC79TO40,0,0,0,0,1,0,0,1
TX,TEXAS,4800009,WIMBERLEY ISD,6499,SCUDDER PRI,480000906499,No,RC80,0,0,0,1,15,0,0,16
TX,TEXAS,4800009,WIMBERLEY ISD,7342,DANFORTH J H,480000907342,No,RC39,0,0,0,1,3,0,0,4
TX,TEXAS,4800009,WIMBERLEY ISD,7342,DANFORTH J H,480000907342,No,RC79TO40,1,0,0,5,5,0,0,11
TX,TEXAS,4800009,WIMBERLEY ISD,7342,DANFORTH J H,480000907342,No,RC80,2,3,0,10,20,0,0,35
TX,TEXAS,4800010,HAYS CISD,5244,JACK C HAYS H S,480001005244,No,RC39,0,1,0,19,17,1,0,38
TX,TEXAS,4800010,HAYS CISD,5244,JACK C HAYS H S,480001005244,No,RC79TO40,3,1,0,47,13,0,0,64
TX,TEXAS,4800010,HAYS CISD,5244,JACK C HAYS H S,480001005244,No,RC80,4,5,0,103,40,0,0,152
TX,TEXAS,4800010,HAYS CISD,5244,JACK C HAYS H S,480001005244,No,SS,0,0,0,10,4,1,0,15
TX,TEXAS,4800010,HAYS CISD,5245,KYLE EL,480001005245,No,RC79TO40,0,0,0,0,1,0,0,1
TX,TEXAS,4800010,HAYS CISD,5245,KYLE EL,480001005245,No,RC80,1,3,1,44,22,1,0,72
TX,TEXAS,4800010,HAYS CISD,6199,R C BARTON MIDDLE,480001006199,No,RC39,0,0,0,7,2,0,0,9
TX,TEXAS,4800010,HAYS CISD,6199,R C BARTON MIDDLE,480001006199,No,RC79TO40,0,0,0,9,6,0,0,15
TX,TEXAS,4800010,HAYS CISD,6199,R C BARTON MIDDLE,480001006199,No,RC80,3,3,0,24,17,1,0,48
TX,TEXAS,4800010,HAYS CISD,6346,TOM GREEN EL,480001006346,No,RC39,0,0,0,6,2,0,0,8
TX,TEXAS,4800010,HAYS CISD,6346,TOM GREEN EL,480001006346,No,RC79TO40,0,0,0,9,1,0,0,10
TX,TEXAS,4800010,HAYS CISD,6346,TOM GREEN EL,480001006346,No,RC80,2,2,0,30,8,0,0,42
TX,TEXAS,4800010,HAYS CISD,7343,BUDA EL,480001007343,No,RC39,0,0,0,6,4,0,0,10
TX,TEXAS,4800010,HAYS CISD,7343,BUDA EL,480001007343,No,RC79TO40,0,0,0,1,4,0,0,5
TX,TEXAS,4800010,HAYS CISD,7343,BUDA EL,480001007343,No,RC80,0,1,0,32,16,0,0,49
TX,TEXAS,4800010,HAYS CISD,8835,LIVE OAK ACADEMY,480001008835,No,RC39,0,0,0,3,3,0,0,6
TX,TEXAS,4800010,HAYS CISD,8835,LIVE OAK ACADEMY,480001008835,No,RC79TO40,0,0,0,3,0,0,0,3
TX,TEXAS,4800010,HAYS CISD,8835,LIVE OAK ACADEMY,480001008835,No,RC80,0,0,0,7,1,0,0,8
TX,TEXAS,4800010,HAYS CISD,8836,ERIC DAHLSTROM MIDDLE,480001008836,No,RC39,0,0,0,2,2,0,0,4
TX,TEXAS,4800010,HAYS CISD,8836,ERIC DAHLSTROM MIDDLE,480001008836,No,RC79TO40,0,0,0,1,0,0,0,1
TX,TEXAS,4800010,HAYS CISD,8836,ERIC DAHLSTROM MIDDLE,480001008836,No,RC80,0,0,0,22,38,0,0,60
TX,TEXAS,4800010,HAYS CISD,8837,LAURA B WALLACE MIDDLE,480001008837,No,RC39,0,0,0,2,1,0,0,3
TX,TEXAS,4800010,HAYS CISD,8837,LAURA B WALLACE MIDDLE,480001008837,No,RC79TO40,1,0,0,10,4,1,0,16
TX,TEXAS,4800010,HAYS CISD,8837,LAURA B WALLACE MIDDLE,480001008837,No,RC80,2,1,0,54,9,1,0,67
TX,TEXAS,4800010,HAYS CISD,8838,ELM GROVE EL,480001008838,No,RC39,0,0,0,2,2,0,0,4
TX,TEXAS,4800010,HAYS CISD,8838,ELM GROVE EL,480001008838,No,RC79TO40,1,0,0,2,4,0,0,7
TX,TEXAS,4800010,HAYS CISD,8838,ELM GROVE EL,480001008838,No,RC80,1,1,0,22,31,1,0,56
TX,TEXAS,4800010,HAYS CISD,8839,SUSIE FUENTES EL,480001008839,No,RC39,1,2,0,4,3,0,0,10
TX,TEXAS,4800010,HAYS CISD,8839,SUSIE FUENTES EL,480001008839,No,RC79TO40,2,2,0,7,2,0,0,13
TX,TEXAS,4800010,HAYS CISD,8839,SUSIE FUENTES EL,480001008839,No,RC80,2,3,0,35,13,0,0,53
TX,TEXAS,4800010,HAYS CISD,8840,HEMPHILL EL,480001008840,No,RC79TO40,0,0,0,7,0,0,0,7
TX,TEXAS,4800010,HAYS CISD,8840,HEMPHILL EL,480001008840,No,RC80,1,0,0,56,3,0,1,61
TX,TEXAS,4800010,HAYS CISD,9290,TOBIAS EL,480001009290,No,RC39,0,0,0,7,6,0,0,13
TX,TEXAS,4800010,HAYS CISD,9290,TOBIAS EL,480001009290,No,RC79TO40,1,0,0,6,1,0,0,8
