LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
TX,TEXAS,4800001,CROSBYTON CISD,1145,CROSBYTON EL,480000101145,No,-8,-8,-8,10,-8,-8,3,-8,-8,-8,9,-8,-8,4,13,13,1,2,-8,-8,1,2,-8,-8
TX,TEXAS,4800001,CROSBYTON CISD,1146,CROSBYTON SECONDARY,480000101146,No,-8,-8,-8,16,-8,-8,6,-8,-8,-8,10,-8,-8,6,22,16,4,2,-8,-8,-8,1,-8,-8
TX,TEXAS,4800001,CROSBYTON CISD,3621,SP ED CO-OP,480000103621,No,-8,-8,1,1,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,2,1,1,1,-8,-8,-8,-8,-8,-8
TX,TEXAS,4800001,CROSBYTON CISD,12448,CROSBYTON DAEP,480000112448,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,0,1,-8,-8,-8,-8,-8,-8,-8,-8
TX,TEXAS,4800002,SPUR ISD,4732,SPUR SCHOOL,480000204732,No,-8,-8,-8,4,-8,-8,4,-8,-8,-8,2,-8,-8,4,8,6,2,1,-8,-8,-8,-8,1,-8
TX,TEXAS,4800003,ROCKSPRINGS ISD,4219,ROCKSPRINGS K-12,480000304219,No,-8,-8,-8,23,-8,-8,2,-8,-8,-8,8,-8,-8,1,25,9,4,2,-8,-8,2,-8,-8,-8
TX,TEXAS,4800004,POR VIDA ACADEMY,7173,POR VIDA ACADEMY CHARTER H S,480000407173,No,-8,-8,1,101,-8,-8,7,-8,-8,1,116,1,-8,1,109,119,14,15,-8,-8,1,1,1,7
TX,TEXAS,4800004,POR VIDA ACADEMY,9116,CORPUS CHRISTI COLLEGE PREP H S,480000409116,No,-8,-8,1,9,-8,-8,1,-8,1,1,23,-8,-8,2,11,27,-8,3,-8,-8,-8,-8,-8,-8
TX,TEXAS,4800004,POR VIDA ACADEMY,9460,CESAR E CHAVEZ ACADEMY,480000409460,No,-8,-8,1,34,1,-8,4,1,-8,2,51,-8,-8,3,40,57,2,1,-8,-8,-8,-8,-8,-8
TX,TEXAS,4800005,BLACKWELL CISD,513,BLACKWELL SCHOOL,480000500513,No,-8,-8,-8,5,-8,-8,2,-8,-8,-8,-8,-8,-8,5,7,5,2,3,-8,-8,-8,-8,-8,-8
TX,TEXAS,4800006,ASPERMONT ISD,274,ASPERMONT EL,480000600274,No,-8,2,-8,1,-8,-8,1,-8,-8,-8,-8,-8,-8,1,4,1,-8,-8,-8,-8,-8,-8,-8,-8
TX,TEXAS,4800006,ASPERMONT ISD,275,ASPERMONT H S,480000600275,No,-8,-8,-8,-8,-8,-8,3,-8,-8,-8,2,-8,-8,4,3,6,1,-8,-8,-8,-8,-8,-8,-8
TX,TEXAS,4800007,PANTHER CREEK CISD,6343,PANTHER CREEK SCHOOL,480000706343,No,-8,-8,-8,3,-8,-8,12,-8,-8,-8,1,-8,-8,10,15,11,5,-8,-8,-8,-8,-8,2,-8
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,1507,DRIPPING SPRINGS EL,480000801507,No,-8,1,-8,2,-8,-8,5,-8,2,-8,3,-8,-8,12,8,17,2,2,-8,-8,1,1,-8,-8
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,1508,DRIPPING SPRINGS H S,480000801508,No,1,3,-8,31,4,-8,122,-8,1,-8,42,10,-8,103,161,156,30,16,-8,-8,6,4,1,-8
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,6094,DRIPPING SPRINGS MIDDLE,480000806094,No,-8,-8,1,8,-8,-8,23,-8,-8,-8,8,-8,-8,21,32,29,6,6,-8,-8,1,-8,-8,-8
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,6989,WALNUT SPRINGS EL,480000806989,No,-8,-8,-8,7,1,-8,23,-8,1,-8,5,-8,-8,18,31,24,11,3,-8,-8,2,2,-8,1
TX,TEXAS,4800008,DRIPPING SPRINGS ISD,11280,ROOSTER SPRINGS EL,480000811280,No,-8,2,-8,-8,-8,-8,8,-8,2,-8,1,1,-8,7,10,11,2,1,-8,-8,-8,3,-8,-8
