LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
TX,TEXAS,4800001,CROSBYTON CISD,1145,CROSBYTON EL,480000101145,-8,-8,-8,5,-8,-8,3,-8,-8,-8,12,-8,-8,1,21,2,2,1,3,-8,2,-8,-8
TX,TEXAS,4800001,CROSBYTON CISD,1146,CROSBYTON SECONDARY,480000101146,-8,-8,-8,5,-8,-8,1,-8,-8,-8,7,-8,-8,3,16,2,-8,-8,1,1,1,-8,-8
TX,TEXAS,4800001,CROSBYTON CISD,3621,SP ED CO-OP,480000103621,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,1,-8,1,-8,-8,-8,-8,-8,-8
TX,TEXAS,4800002,SPUR ISD,4732,SPUR SCHOOL,480000204732,-8,-8,1,18,-8,-8,5,-8,-8,-8,7,1,-8,11,43,11,6,-8,1,-8,1,5,2
TX,TEXAS,4800003,ROCKSPRINGS ISD,4219,ROCKSPRINGS K-12,480000304219,-8,-8,-8,20,-8,-8,4,-8,-8,-8,11,-8,-8,3,38,8,2,3,3,2,1,-8,-8
TX,TEXAS,4800004,POR VIDA ACADEMY,7173,POR VIDA ACADEMY CHARTER H S,480000407173,-8,-8,1,43,1,-8,-8,-8,-8,1,30,-8,-8,-8,76,4,1,-8,-8,1,2,-8,-8
TX,TEXAS,4800004,POR VIDA ACADEMY,9116,POR VIDA ACADEMY CORPUS CHRISTI,480000409116,-8,1,-8,13,-8,-8,1,-8,-8,-8,11,-8,-8,2,28,2,-8,1,3,1,-8,-8,-8
TX,TEXAS,4800005,BLACKWELL CISD,513,BLACKWELL SCHOOL,480000500513,-8,-8,-8,-8,-8,-8,6,-8,-8,-8,2,-8,-8,6,14,1,-8,-8,1,-8,-8,-8,-8
TX,TEXAS,4800006,ASPERMONT ISD,274,ASPERMONT EL,480000600274,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,2,-8,-8,2,5,-8,-8,1,-8,-8,-8,1,2
TX,TEXAS,4800006,ASPERMONT ISD,275,ASPERMONT H S,480000600275,-8,-8,-8,1,-8,-8,1,-8,-8,1,-8,-8,-8,2,5,1,-8,1,1,-8,-8,-8,1
