LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_GT_IND,SCH_GTENR_HI_M,SCH_GTENR_HI_F,SCH_GTENR_AM_M,SCH_GTENR_AM_F,SCH_GTENR_AS_M,SCH_GTENR_AS_F,SCH_GTENR_HP_M,SCH_GTENR_HP_F,SCH_GTENR_BL_M,SCH_GTENR_BL_F,SCH_GTENR_WH_M,SCH_GTENR_WH_F,SCH_GTENR_TR_M,SCH_GTENR_TR_F,TOT_GTENR_M,TOT_GTENR_F,SCH_GTENR_LEP_M,SCH_GTENR_LEP_F,SCH_GTENR_IDEA_M,SCH_GTENR_IDEA_F
TX,Texas,4800001,Crosbyton Cisd,1145,Crosbyton El,480000101145,No,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TX,Texas,4800001,Crosbyton Cisd,1146,Crosbyton Secondary,480000101146,No,Yes,1,2,0,0,0,0,0,0,0,0,5,6,0,0,6,8,0,0,0,0
TX,Texas,4800001,Crosbyton Cisd,3621,Sp Ed Co-Op,480000103621,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800002,Spur Isd,4732,Spur School,480000204732,No,Yes,1,1,0,0,0,0,0,0,0,0,5,4,2,0,8,5,0,0,0,0
TX,Texas,4800003,Rocksprings Isd,4219,Rocksprings K-12,480000304219,No,Yes,2,1,0,0,0,0,0,0,0,0,2,7,0,0,4,8,0,0,0,0
TX,Texas,4800004,Por Vida Academy,7173,Por Vida Academy Charter H S,480000407173,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800004,Por Vida Academy,9116,Por Vida Academy Corpus Christi,480000409116,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800005,Blackwell Cisd,513,Blackwell School,480000500513,No,Yes,0,0,0,0,0,0,0,0,0,0,7,6,0,1,7,7,0,0,0,0
TX,Texas,4800006,Aspermont Isd,274,Aspermont El,480000600274,No,Yes,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,4,0,0,0,0
TX,Texas,4800006,Aspermont Isd,275,Aspermont H S,480000600275,No,Yes,1,0,0,0,0,0,0,0,0,0,2,3,0,0,3,3,0,0,0,0
TX,Texas,4800007,Panther Creek Cisd,6343,Panther Creek School,480000706343,No,Yes,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,4,0,0,0,1
TX,Texas,4800008,Dripping Springs Isd,1507,Dripping Springs El,480000801507,No,Yes,5,2,0,0,1,3,0,0,0,0,12,13,1,1,19,19,5,1,0,1
TX,Texas,4800008,Dripping Springs Isd,1508,Dripping Springs H S,480000801508,No,Yes,12,6,0,1,4,3,0,0,0,0,87,74,7,4,110,88,0,0,2,0
TX,Texas,4800008,Dripping Springs Isd,6094,Dripping Springs Middle,480000806094,No,Yes,4,1,0,0,0,1,0,0,1,0,30,18,2,1,37,21,0,1,0,0
TX,Texas,4800008,Dripping Springs Isd,6989,Walnut Springs El,480000806989,No,Yes,3,2,0,0,0,2,0,0,0,0,9,4,2,1,14,9,0,0,2,1
TX,Texas,4800008,Dripping Springs Isd,11280,Rooster Springs El,480000811280,No,Yes,0,1,0,0,4,0,0,0,1,0,15,6,1,2,21,9,1,0,0,0
TX,Texas,4800008,Dripping Springs Isd,13086,Sycamore Springs El,480000813086,No,Yes,1,3,0,0,0,0,0,0,0,0,15,11,1,2,17,16,0,0,1,0
TX,Texas,4800008,Dripping Springs Isd,13151,Sycamore Springs Middle,480000813151,No,Yes,3,2,0,0,4,1,0,0,0,0,41,43,0,2,48,48,0,0,2,0
TX,Texas,4800009,Wimberley Isd,5246,Jacob's Well El,480000905246,No,Yes,3,1,0,1,0,1,0,0,0,0,17,25,0,1,20,29,1,0,1,0
TX,Texas,4800009,Wimberley Isd,6198,Wimberley H S,480000906198,No,Yes,6,6,0,0,0,0,0,0,0,0,43,30,2,2,51,38,0,0,0,0
TX,Texas,4800009,Wimberley Isd,6499,Blue Hole Pri,480000906499,No,Yes,0,0,0,0,0,0,0,0,0,0,7,2,1,0,8,2,0,0,0,0
TX,Texas,4800009,Wimberley Isd,7342,Danforth J H,480000907342,No,Yes,5,6,0,0,0,0,0,0,0,0,31,28,0,1,36,35,0,0,0,0
TX,Texas,4800010,Hays Cisd,5244,Jack C Hays H S,480001005244,No,Yes,57,35,0,1,2,2,0,0,3,2,75,56,3,5,140,101,2,1,2,0
TX,Texas,4800010,Hays Cisd,5245,Kyle El,480001005245,No,Yes,2,3,0,0,1,0,0,0,0,0,12,9,1,1,16,13,0,1,1,1
TX,Texas,4800010,Hays Cisd,6199,R C Barton Middle,480001006199,No,Yes,23,21,0,0,1,0,0,0,1,1,37,20,0,1,62,43,2,0,4,1
TX,Texas,4800010,Hays Cisd,6346,Tom Green El,480001006346,No,Yes,9,10,0,0,1,1,0,0,0,1,5,3,0,1,15,16,1,3,0,0
TX,Texas,4800010,Hays Cisd,6990,Alter Impact Ctr,480001006990,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800010,Hays Cisd,7343,Buda El,480001007343,No,Yes,5,5,0,0,0,0,0,0,0,0,6,7,0,1,11,13,0,0,2,1
TX,Texas,4800010,Hays Cisd,8835,Live Oak Academy,480001008835,No,Yes,1,2,0,0,0,0,0,0,1,0,2,2,0,0,4,4,0,0,0,0
TX,Texas,4800010,Hays Cisd,8836,Eric Dahlstrom Middle,480001008836,No,Yes,15,11,0,0,1,1,0,0,1,0,45,41,3,3,65,56,0,0,4,1
