LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
VA,VIRGINIA,5100058,VSDB-STAUNTON,2558,Virginia School For Deaf,510005802558,No,-8,0,3,1,0,-8,1,-8,0,0,0,0,-8,5,5,5,5,5,-8,-8,-8,-8,-8,-8
VA,VIRGINIA,5100058,VSDB-STAUNTON,2559,Virginia School For Blind,510005802559,No,-8,-8,0,1,0,-8,1,-8,0,1,0,-8,-8,0,2,1,3,1,-8,-8,-8,-8,-8,-8
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000006,No,-8,0,4,0,0,-8,5,-8,0,4,0,0,-8,11,9,15,1,0,-8,-8,0,0,4,3
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,0,0,8,0,-8,-8,8,-8,-8,3,1,-8,-8,11,16,15,8,4,1,-8,0,-8,1,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000009,No,-8,-8,13,3,0,-8,23,2,0,6,5,0,1,17,39,31,12,4,1,-8,2,5,6,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000012,No,-8,0,15,0,3,-8,12,-8,0,20,1,2,2,6,30,31,10,4,-8,1,0,2,0,3
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,14,Tangier Combined,510006000014,No,-8,-8,-8,-8,-8,-8,7,-8,-8,-8,-8,-8,-8,8,7,8,2,3,-8,-8,-8,-8,-8,-8
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1737,Accawmacke Elementary,510006001737,No,-8,0,17,4,-8,-8,15,-8,0,16,9,0,-8,11,36,36,7,5,1,-8,4,9,3,5
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1738,Metompkin Elementary,510006001738,No,-8,0,9,3,0,-8,13,-8,-8,12,6,0,-8,8,25,26,10,3,-8,1,2,5,2,2
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2003,Nandua High,510006002003,No,0,0,15,3,-8,-8,17,2,-8,10,3,0,0,14,35,29,10,4,2,3,2,1,0,3
