SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2018-2019,51,VIRGINIA,VA,CHARLOTTESVILLE-ALBEMARLE TECH,CHARLOTTESVILLE-ALBEMARLE TECH,1,,VA-301,5100003,VA-301-3010130,510000302015,5102015,1000 East Rio Rd,,,Charlottesville,VA,22901,1803.0,1000 East Rio Rd,,,Charlottesville,VA,22901,1803.0,(434)973-4461,http://www.catec.org,1,Open,1,Open,01/09/2019,Career and Technical School,3,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,UG,UG,Ungraded,As reported
2018-2019,51,VIRGINIA,VA,JACKSON RIVER TECH CTR,JACKSON RIVER TECH CTR,1,,VA-302,5100004,VA-302-3020330,510000402016,5102016,105 E Country Club Lane,,,Covington,VA,24426,9640.0,105 E Country Club Lane,,,Covington,VA,24426,9640.0,(540)862-1308,http://www.jrtc.info,1,Open,1,Open,01/09/2019,Career and Technical School,3,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,UG,UG,Ungraded,As reported
2018-2019,51,VIRGINIA,VA,MASSANUTTEN TECH CTR,MASSANUTTEN TECH CTR,1,,VA-304,5100006,VA-304-3040980,510000602018,5102018,325 Pleasant Valley Rd,,,Harrisonburg,VA,22801,9756.0,325 Pleasant Valley Rd,,,Harrisonburg,VA,22801,9756.0,(540)434-5961,,1,Open,1,Open,01/09/2019,Career and Technical School,3,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,UG,UG,Ungraded,As reported
2018-2019,51,VIRGINIA,VA,VALLEY CAREER & TECHNICAL CENTER,VALLEY VOCATIONAL TECH,1,,VA-306,5100008,VA-306-3060631,510000802020,5102020,49 Hornet Road,,,Fishersville,VA,22939,,49 Hornet Road,,,Fishersville,VA,22939,,(540)245-5002,http://http;//www.valleytech.us,1,Open,1,Open,01/09/2019,Career and Technical School,3,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,UG,UG,Ungraded,As reported
2018-2019,51,VIRGINIA,VA,WOODSIDE CAMPUS,NEW HORIZONS CAREER & TECH CTR,1,,VA-307,5100009,VA-307-3070210,510000902022,5102022,13400 Woodside Ln,,,Newport News,VA,23608,,13400 Woodside Ln,,,Newport News,VA,23608,,(804)874-4444,,1,Open,1,Open,01/09/2019,Career and Technical School,3,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,UG,UG,Ungraded,As reported
2018-2019,51,VIRGINIA,VA,BUTLER FARM CAMPUS,NEW HORIZONS CAREER & TECH CTR,1,,VA-307,5100009,VA-307-3070220,510000902051,5102051,520 Butler Farm Road,,,Hampton,VA,23666,,520 Butler Farm Road,,,Hampton,VA,23666,,(757)766-1100,,1,Open,1,Open,01/09/2019,Career and Technical School,3,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,UG,UG,Ungraded,As reported
2018-2019,51,VIRGINIA,VA,GREATER PENINSULA GOVERNOR'S STEM ACADEMY,NEW HORIZONS CAREER & TECH CTR,1,,VA-307,5100009,VA-307-3070230,510000903010,5103010,520 Butler Farm Road,,,Hampton,VA,23666,,520 Butler Farm Road,,,Hampton,VA,23666,,(757)766-1100,,1,Open,1,Open,01/09/2019,Career and Technical School,3,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,UG,UG,Ungraded,As reported
2018-2019,51,VIRGINIA,VA,ROWANTY VOCATIONAL TECH CTR,ROWANTY VOCATIONAL TECH CTR,1,,VA-309,5100011,VA-309-3090010,510001102024,5102024,20000 Rowanty Rd,,,Carson,VA,23830,,20000 Rowanty Rd,,,Carson,VA,23830,,(434)246-5741,http://www.rowanty.us,1,Open,1,Open,01/09/2019,Career and Technical School,3,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,UG,UG,Ungraded,As reported
2018-2019,51,VIRGINIA,VA,NORTHERN NECK TECHNICAL CENTER,NORTHERN NECK TECHNICAL CENTER,1,,VA-310,5100012,VA-310-3100010,510001202025,5102025,13946 Historyland Hwy.,,,Warsaw,VA,22572,,13946 Historyland Hwy.,,,Warsaw,VA,22572,787.0,(804)333-4940,,1,Open,1,Open,01/09/2019,Career and Technical School,3,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,UG,UG,Ungraded,As reported
2018-2019,51,VIRGINIA,VA,NORTHERN NECK GOV STEM  ACADEMY/AGRIC & MARITIME STUDIES,NORTHERN NECK TECHNICAL CENTER,1,,VA-310,5100012,VA-310-3100020,510001202978,5102978,13946 Historyland Highway,,,Warsaw,VA,22572,,13946 Historyland Highway,,,Warsaw,VA,22572,,(804)333-4940,,1,Open,1,Open,01/09/2019,Career and Technical School,3,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,UG,UG,Ungraded,As reported
