LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SAL_TOTPERS_WOFED,SCH_FTE_TEACH_WOFED,SCH_SAL_TEACH_WOFED,SCH_NPE_WOFED,SCH_FTE_AID_WOFED,SCH_SAL_AID_WOFED,SCH_FTE_SUP_WOFED,SCH_SAL_SUP_WOFED,SCH_FTE_ADM_WOFED,SCH_SAL_ADM_WOFED,SCH_SAL_TEACH_WFED,SCH_FTE_AID_WFED,SCH_SAL_AID_WFED,SCH_FTE_SUP_WFED,SCH_SAL_SUP_WFED,SCH_FTE_ADM_WFED,SCH_SAL_ADM_WFED,SCH_SAL_TOTPERS_WFED,SCH_NPE_WFED
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,2089,Center for Autism,510001702089,No,3113488.81,22.0,1104011.88,2396794.17,49.0,993978.74,12.5,812642.25,2.5,202855.94,1104011.88,49.0,993978.74,10.5,812642.25,2.5,1104011.0,3113488.81,2396794.17
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,2639,Newport Academy,510001702639,No,2280056.67,16.0,857495.54,1777391.32,32.0,653116.69,8.5,564481.38,2.5,204963.06,857495.54,32.0,653116.69,8.5,564481.38,2.5,204963.06,2280056.67,1777391.32
VA,VIRGINIA,5100018,Piedmont Regional ED.,2090,Piedmont REG ED/IVY CREEK,510001802090,No,1802575.55,9.0,544269.9,1251677.41,21.0,717059.6,6.0,397222.07,1.0,98233.63,544269.9,21.0,717059.6,6.0,397222.07,1.0,98233.63,1802575.55,1251677.41
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2649,NORFOLK RE-ED,510002002649,No,1474571.0,20.0,1039884.0,62137.0,9.0,199473.0,2.0,62443.0,2.0,172771.0,1039884.0,9.0,199473.0,2.0,62443.0,2.0,172771.0,1474571.0,62137.0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2670,SUFFOLK RE-ED,510002002670,No,997719.0,14.0,724157.0,32101.0,3.0,62077.0,2.0,129300.0,1.0,82185.0,724157.0,3.0,62077.0,2.0,129300.0,1.2,82185.0,997719.0,32101.0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2675,VIRGINIA BEACH SECEP - RE-ED,510002002675,No,1985275.0,23.0,1182808.0,94312.0,15.0,316327.0,8.0,342471.0,3.0,143669.0,1182808.0,15.1,316327.0,8.0,342471.0,3.0,143669.0,1985275.0,94312.0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2681,VIRGINIA BEACH SECEP,510002002681,No,920444.0,11.0,583634.0,33018.0,7.0,155404.0,1.0,90858.0,1.0,90548.0,583634.0,7.0,155404.0,1.0,90858.0,1.0,90548.0,920444.0,33018.0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2689,CHESAPEAKE SECEP CENTER,510002002689,No,2228114.0,28.0,1417347.0,92585.0,11.0,248404.0,6.0,277217.0,3.0,285146.0,1417347.0,11.0,248404.0,6.0,277217.0,3.0,285146.0,2228114.0,92585.0
VA,VIRGINIA,5100032,APPOMATTOX REGIONAL GOV SCH,1932,Appomattox Regional Governor's School,510003201932,No,1907911.0,28.0,1292732.0,0.0,0.0,-9.0,10.0,428770.0,2.0,186409.0,1414823.0,0.0,0.0,10.0,428770.0,2.0,186409.0,2030002.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2376,Northern Virginia Juvenile Detention Home,510004202376,Yes,977517.0,8.0,788932.0,36700.0,0.0,-9.0,0.0,-9.0,2.0,188585.0,978655.0,0.0,0.0,0.0,0.0,2.0,188585.0,1167240.0,37700.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2377,Highlands Juvenile Detention Home,510004202377,Yes,394966.0,6.0,264703.0,36724.0,0.0,-9.0,0.0,-9.0,2.0,130263.0,316166.0,0.0,0.0,0.0,0.0,2.0,130263.0,446429.0,37724.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2378,Blue Ridge Juvenile Detention Home,510004202378,Yes,473365.0,6.0,384492.0,132300.0,0.0,-9.0,0.0,-9.0,1.0,88873.0,464260.0,0.0,0.0,0.0,0.0,1.0,88873.0,553133.0,133300.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2379,Tidewater Juvenile Detention Home - Chesapeake,510004202379,Yes,772858.0,10.0,647751.0,73725.0,0.0,-9.0,0.0,-9.0,2.0,125107.0,786994.0,0.0,0.0,0.0,0.0,2.0,125107.0,912101.0,74725.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2380,Chesterfield Juvenile Detention Home,510004202380,Yes,701858.0,10.0,557478.0,50850.0,0.0,-9.0,0.0,-9.0,2.0,144380.0,585889.0,0.0,0.0,0.0,0.0,2.0,144380.0,730269.0,51850.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2382,W.W. Moore Jr. Juvenile Detention Home,510004202382,Yes,483281.0,7.0,351071.0,30100.0,0.0,-9.0,0.0,-9.0,2.0,132210.0,417535.0,0.0,0.0,0.0,0.0,2.0,132210.0,549745.0,41100.0
