LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,13400 Woodside Lane,Newport News,23608,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100018,Piedmont Regional ED.,"1434 Rolkin Court, Suite 201",Charlottesville,22911,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,6160 Kempsville Cir,Norfolk,23502,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100032,APPOMATTOX REGIONAL GOV SCH,512 W. Washington Street,Petersburg,23803,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,PO Box 2120,Richmond,23218,Yes,Yes,30,3,0,0,2,1,0,0,268,41,127,45,29,4,456,94,18,1,102,12
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,PO Box 2069,Staunton,24402,No,Yes,0,1,0,0,0,0,0,0,1,1,2,0,1,0,4,2,0,0,4,2
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,PO Box 330,Accomac,23301,No,Yes,1,5,0,0,0,0,0,0,6,10,28,42,0,1,35,58,0,0,0,1
VA,VIRGINIA,5100061,MAGGIE L. WALKER GOV SCH,1000 N. Lombardy St.,Richmond,23220,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100070,DEPARTMENT OF JUVENILE JUSTICE,600 East Main Street,Richmond,23219,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100072,LYNCHBURG CITY SECONDARY ALTERNATIVE,1200-1208 Polk Street,Lynchburg,24504,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
