LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_HSE_IND,LEA_HSEPART_HI_M,LEA_HSEPART_HI_F,LEA_HSEPART_AM_M,LEA_HSEPART_AM_F,LEA_HSEPART_AS_M,LEA_HSEPART_AS_F,LEA_HSEPART_HP_M,LEA_HSEPART_HP_F,LEA_HSEPART_BL_M,LEA_HSEPART_BL_F,LEA_HSEPART_WH_M,LEA_HSEPART_WH_F,LEA_HSEPART_TR_M,LEA_HSEPART_TR_F,TOT_HSEPART_M,TOT_HSEPART_F,LEA_HSEPART_LEP_M,LEA_HSEPART_LEP_F,LEA_HSEPART_IDEA_M,LEA_HSEPART_IDEA_F
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,13400 Woodside Lane,Newport News,23608,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100018,Piedmont Regional ED.,"1434 Rolkin Court, Suite 201",Charlottesville,22911,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,6160 Kempsville Cir,Norfolk,23502,No,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
VA,VIRGINIA,5100032,APPOMATTOX REGIONAL GOV SCH,512 W. Washington Street,Petersburg,23803,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,PO Box 2120,Richmond,23218,Yes,Yes,11,2,0,0,1,0,3,0,176,22,98,14,11,4,300,42,6,2,59,7
VA,VIRGINIA,5100058,The Virginia School for the Deaf and the Blind,PO Box 2069,Staunton,24402,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,PO Box 330,Accomac,23301,No,Yes,0,0,0,0,0,0,0,0,6,0,1,4,2,0,9,4,0,0,2,0
VA,VIRGINIA,5100061,MAGGIE L. WALKER GOV SCH,1000 N. Lombardy St.,Richmond,23220,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100070,DEPARTMENT OF JUVENILE JUSTICE,600 East Main Street,Richmond,23219,Yes,Yes,0,0,0,0,0,0,0,0,13,0,2,0,0,0,15,0,0,0,5,0
VA,VIRGINIA,5100072,LYNCHBURG CITY SECONDARY ALTERNATIVE,1200-1208 Polk Street,Lynchburg,24504,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
