LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,CF_M,HH_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,SS_F,PPPS_M,RF_F,TOTAL_STUDENTS_REPORTED
VA,VIRGINIA,5100040,MEDICAL COLLEGE OF VA,2291,Richmond Hospital Ep.,510004002291,-8,MD,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10
VA,VIRGINIA,5100040,MEDICAL COLLEGE OF VA,2291,Richmond Hospital Ep.,510004002291,-8,MR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100040,MEDICAL COLLEGE OF VA,2291,Richmond Hospital Ep.,510004002291,-8,OHI,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100040,MEDICAL COLLEGE OF VA,2291,Richmond Hospital Ep.,510004002291,-8,OI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100041,UNIVERSITY OF VA,2324,Charlottesville Hosp. Ep.,510004102324,-8,MR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100041,UNIVERSITY OF VA,2324,Charlottesville Hosp. Ep.,510004102324,-8,OHI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2377,Highlands Juvenile Detention Home,510004202377,Yes,EMN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2377,Highlands Juvenile Detention Home,510004202377,Yes,MR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2377,Highlands Juvenile Detention Home,510004202377,Yes,OHI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2377,Highlands Juvenile Detention Home,510004202377,Yes,SLD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2378,Blue Ridge Juvenile Detention Home,510004202378,Yes,EMN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2378,Blue Ridge Juvenile Detention Home,510004202378,Yes,MR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2378,Blue Ridge Juvenile Detention Home,510004202378,Yes,OHI,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2378,Blue Ridge Juvenile Detention Home,510004202378,Yes,SLD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2379,Tidewater Juvenile Detention Home - Chesapeake,510004202379,Yes,EMN,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2379,Tidewater Juvenile Detention Home - Chesapeake,510004202379,Yes,OHI,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2379,Tidewater Juvenile Detention Home - Chesapeake,510004202379,Yes,SLD,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2380,Chesterfield Juvenile Detention Home,510004202380,Yes,EMN,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2380,Chesterfield Juvenile Detention Home,510004202380,Yes,OHI,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2380,Chesterfield Juvenile Detention Home,510004202380,Yes,SLD,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2380,Chesterfield Juvenile Detention Home,510004202380,Yes,SLI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2382,W.W. Moore Jr. Juvenile Detention Home,510004202382,Yes,EMN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2382,W.W. Moore Jr. Juvenile Detention Home,510004202382,Yes,MR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2382,W.W. Moore Jr. Juvenile Detention Home,510004202382,Yes,OHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2383,Fairfax Juvenile Detention Home,510004202383,Yes,EMN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2383,Fairfax Juvenile Detention Home,510004202383,Yes,OHI,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2383,Fairfax Juvenile Detention Home,510004202383,Yes,SLD,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2386,Henrico Juvenile Detention Home - James River,510004202386,Yes,EMN,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2386,Henrico Juvenile Detention Home - James River,510004202386,Yes,OHI,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8
