LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,EDUCATIONAL_ENVIRONMENT,BL_RACE_7,MU_RACE_7,PI_RACE_7,HI_RACE_7,WH_RACE_7,AS_RACE_7,AM_RACE_7,TOTAL_STUDENTS_REPORTED
VA,VIRGINIA,5100040,MEDICAL COLLEGE OF VA,2291,Richmond Hospital Ep.,510004002291,-8,HH,7,0,0,0,7,0,0,14
VA,VIRGINIA,5100041,UNIVERSITY OF VA,2324,Charlottesville Hosp. Ep.,510004102324,-8,HH,1,0,0,1,0,0,0,2
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2377,Highlands Juvenile Detention Home,510004202377,Yes,CF,1,0,0,0,9,0,0,10
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2378,Blue Ridge Juvenile Detention Home,510004202378,Yes,CF,4,0,0,1,1,0,0,6
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2379,Tidewater Juvenile Detention Home - Chesapeake,510004202379,Yes,CF,15,0,0,0,2,0,0,17
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2380,Chesterfield Juvenile Detention Home,510004202380,Yes,CF,12,0,0,1,2,0,0,15
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2382,W.W. Moore Jr. Juvenile Detention Home,510004202382,Yes,CF,4,0,0,0,3,0,0,7
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2383,Fairfax Juvenile Detention Home,510004202383,Yes,CF,2,1,1,4,1,0,0,9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2386,Henrico Juvenile Detention Home - James River,510004202386,Yes,CF,10,0,0,0,2,0,0,12
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2388,Loudoun Co. Juvenile Detention Home,510004202388,Yes,CF,1,0,0,0,0,0,0,1
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2389,Lynchburg Juvenile Detention Home,510004202389,Yes,CF,4,0,0,0,3,0,0,7
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2391,Newport News Juvenile Detention Home,510004202391,Yes,CF,24,0,0,3,3,0,0,30
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004202392,Yes,CF,16,0,0,0,1,0,0,17
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2393,Piedmont Regional Juvenile Detention Center,510004202393,Yes,CF,4,0,0,0,1,0,0,5
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2394,Crater Juvenile Detention Home,510004202394,Yes,CF,3,0,0,0,2,0,0,5
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004202395,Yes,CF,12,0,0,0,0,0,0,12
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2396,Roanoke Valley Juvenile Detention Home,510004202396,Yes,CF,2,0,0,0,4,0,0,6
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2397,Rappahannock Juvenile Detention Home,510004202397,Yes,CF,5,0,0,1,2,0,0,8
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2398,Shenandoah Valley Juvenile Detention Home,510004202398,Yes,CF,2,0,0,0,2,0,0,4
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2399,Middle Peninsula Juvenile Detention Home,510004202399,Yes,CF,5,1,0,0,7,0,0,13
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2403,Prince William Juv. Detention Home,510004202403,Yes,CF,8,1,0,3,1,0,0,13
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2476,Virginia Beach Juvenile Detention Home,510004202476,Yes,CF,6,0,0,0,0,0,0,6
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2890,N.W.  (Northwestern) Regional Juvenile Detention Home,510004202890,Yes,CF,1,1,0,0,1,0,0,3
VA,VIRGINIA,5100048,WESTERN ST HOSP,2325,Western St. Hosp. Ed. Pr.,510004802325,-8,HH,1,0,0,0,1,0,0,2
VA,VIRGINIA,5100050,CENT VA TRAIN CT,1950,Central Va. Training Ctr.,510005001950,-8,PPPS,0,0,0,0,0,3,0,3
VA,VIRGINIA,5100058,VSDB-STAUNTON,2558,Virginia School For Deaf,510005802558,No,RF,22,2,0,13,13,6,0,56
VA,VIRGINIA,5100058,VSDB-STAUNTON,2559,Virginia School For Blind,510005802559,No,RF,10,1,0,4,16,1,0,32
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000006,No,RC80,4,1,0,0,22,0,0,27
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,RC39,1,0,0,0,2,0,0,3
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,RC79TO40,2,0,0,0,1,0,0,3
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000007,No,RC80,11,0,0,2,27,0,0,40
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000009,No,RC39,7,0,0,2,3,0,0,12
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000009,No,RC79TO40,0,0,0,1,0,0,0,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000009,No,RC80,23,0,0,8,19,0,0,50
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000012,No,RC39,4,1,0,1,0,0,0,6
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000012,No,RC79TO40,2,0,0,0,3,0,0,5
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000012,No,RC80,27,1,0,1,14,1,0,44
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,14,Tangier Combined,510006000014,No,RC79TO40,0,0,0,0,1,0,0,1
