LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004000000,Yes,AUT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2393,Piedmont Regional Juvenile Detention Center,510004000000,Yes,AUT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000000,No,AUT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000000,No,AUT,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000000,No,AUT,0,0,1,1,0,0,1,0,0,1,0,0,0,0,4,1,2,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000000,No,AUT,0,1,4,0,0,0,1,0,0,0,0,0,0,1,7,0,6,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,1,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,14,Tangier Combined,510006000000,No,AUT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1737,Accawmacke Elementary,510006000000,No,AUT,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1738,Metompkin Elementary,510006000000,No,AUT,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2003,Nandua High,510006000000,No,AUT,0,0,5,0,0,0,6,0,0,0,0,0,0,0,11,0,11,0,0,0,0,1,1,4,5,0,0,0,0,0,0,0,0,0,0
