LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000000,No,DD,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000000,No,DD,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1737,Accawmacke Elementary,510006000000,No,DD,0,0,3,0,0,0,1,0,0,2,0,0,0,0,6,1,3,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1738,Metompkin Elementary,510006000000,No,DD,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2,Agnor-Hurt Elementary,510009000000,No,DD,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,18,Brownsville Elementary,510009000000,No,DD,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,20,Crozet Elementary,510009000000,No,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,22,Hollymead Elementary,510009000000,No,DD,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,28,Meriwether Lewis Elementary,510009000000,No,DD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,29,Red Hill Elementary,510009000000,No,DD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,32,Stone Robinson Elementary,510009000000,No,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,36,Woodbrook Elementary,510009000000,No,DD,0,0,2,2,0,0,1,0,0,1,0,0,0,0,6,0,5,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0
