LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
VA,VIRGINIA,5100040,MEDICAL COLLEGE OF VA,2291,Richmond Hospital Ep.,510004000000,-8,MD,0,0,3,0,0,0,2,0,0,1,0,0,0,4,10,0,5,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004000000,Yes,MD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100048,WESTERN ST HOSP,2325,Western St. Hosp. Ed. Pr.,510005000000,-8,MD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VA,VIRGINIA,5100050,CENT VA TRAIN CT,1950,Central Va. Training Ctr.,510005000000,-8,MD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VA,VIRGINIA,5100058,VSDB-STAUNTON,2558,Virginia School For Deaf,510006000000,No,MD,0,0,2,1,0,0,0,0,0,2,0,0,0,2,7,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0
VA,VIRGINIA,5100058,VSDB-STAUNTON,2559,Virginia School For Blind,510006000000,No,MD,0,0,0,2,0,0,3,0,0,1,0,0,0,1,7,0,5,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000000,No,MD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1737,Accawmacke Elementary,510006000000,No,MD,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2003,Nandua High,510006000000,No,MD,0,0,1,0,0,0,0,0,0,1,1,0,0,2,5,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2028,Arcadia High,510006000000,No,MD,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006000000,No,MD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006000000,No,MD,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
VA,VIRGINIA,5100071,COMMONWEALTH CTR FOR CHILDREN & ADOLESCENTS,1949,Commonwealth Ctr For Children & Adolescents,510007000000,-8,MD,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000000,No,MD,0,1,0,0,0,0,0,0,2,0,0,0,0,2,5,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,20,Crozet Elementary,510009000000,No,MD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,22,Hollymead Elementary,510009000000,No,MD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
