LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
VA,VIRGINIA,5100040,MEDICAL COLLEGE OF VA,2291,Richmond Hospital Ep.,510004000000,-8,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100041,UNIVERSITY OF VA,2324,Charlottesville Hosp. Ep.,510004000000,-8,MR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2377,Highlands Juvenile Detention Home,510004000000,Yes,MR,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2378,Blue Ridge Juvenile Detention Home,510004000000,Yes,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2382,W.W. Moore Jr. Juvenile Detention Home,510004000000,Yes,MR,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004000000,Yes,MR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2890,N.W.  (Northwestern) Regional Juvenile Detention Home,510004000000,Yes,MR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100048,WESTERN ST HOSP,2325,Western St. Hosp. Ed. Pr.,510005000000,-8,MR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000000,No,MR,0,0,3,0,0,0,1,0,0,2,0,0,0,2,8,0,4,0,4,0,0,0,0,3,1,0,0,0,0,0,2,0,2,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000000,No,MR,0,0,3,2,0,0,1,0,0,0,0,0,0,1,7,1,5,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000000,No,MR,0,0,1,0,1,0,1,0,0,1,0,0,0,1,5,0,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1737,Accawmacke Elementary,510006000000,No,MR,0,0,3,0,0,0,1,0,0,3,0,0,0,0,7,0,4,1,2,0,0,0,2,1,1,0,0,0,0,0,2,0,1,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2003,Nandua High,510006000000,No,MR,0,0,8,1,0,0,1,0,0,5,1,0,0,3,19,0,10,1,8,0,1,0,2,5,2,0,0,0,0,1,0,6,2,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2028,Arcadia High,510006000000,No,MR,0,0,3,0,0,0,1,0,0,1,2,0,0,0,7,0,4,2,1,0,0,0,2,1,1,0,0,0,0,0,1,2,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006000000,No,MR,0,0,4,0,0,0,1,0,0,1,1,0,0,0,7,0,5,0,2,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006000000,No,MR,0,0,5,1,0,0,2,0,0,0,0,0,0,2,10,0,8,0,2,0,0,0,4,0,4,0,0,0,0,0,1,1,0,0,0
VA,VIRGINIA,5100070,DEPARTMENT OF JUVENILE JUSTICE,2967,Yvonne B. Miller High School,510007000000,Yes,MR,0,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100071,COMMONWEALTH CTR FOR CHILDREN & ADOLESCENTS,1949,Commonwealth Ctr For Children & Adolescents,510007000000,-8,MR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,3,Virginia L. Murray Elementary,510009000000,No,MR,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000000,No,MR,0,0,4,0,0,0,6,0,1,0,1,0,0,4,16,1,9,1,5,0,0,0,5,2,1,1,1,0,0,0,5,1,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,18,Brownsville Elementary,510009000000,No,MR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,20,Crozet Elementary,510009000000,No,MR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,22,Hollymead Elementary,510009000000,No,MR,0,0,0,1,1,0,1,0,0,0,0,1,0,0,4,1,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,23,Jack Jouett Middle,510009000000,No,MR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,24,Jackson P. Burley Middle,510009000000,No,MR,0,0,0,0,1,0,2,0,1,0,1,0,0,1,6,0,3,2,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,25,Joseph T. Henley Middle,510009000000,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,27,Mary Carr Greer Elementary,510009000000,No,MR,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,32,Stone Robinson Elementary,510009000000,No,MR,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,35,Western Albemarle High,510009000000,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,36,Woodbrook Elementary,510009000000,No,MR,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,751,Mortimer Y. Sutherland Middle,510009000000,No,MR,0,0,0,0,0,0,2,0,0,1,0,0,0,1,4,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009000000,No,MR,1,0,1,1,0,0,0,0,0,2,1,0,0,0,6,0,3,0,3,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2173,Paul H. Cale Elementary,510009000000,No,MR,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,38,Charles Barrett Elementary,510012000000,No,MR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,41,George Mason Elementary,510012000000,No,MR,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,43,James K. Polk Elementary,510012000000,No,MR,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,44,Jefferson-Houston Elementary,510012000000,No,MR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,45,John Adams Elementary,510012000000,No,MR,0,2,1,1,0,0,0,0,0,3,2,0,0,0,9,1,3,5,0,0,0,0,0,3,0,0,1,0,0,0,2,3,0,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,47,Lyles-Crouch Elementary,510012000000,No,MR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,50,Mount Vernon Elementary,510012000000,No,MR,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,52,Patrick Henry Elementary,510012000000,No,MR,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,54,T.C. Williams High,510012000000,No,MR,0,0,8,6,0,0,4,0,0,7,5,0,0,2,32,6,12,4,10,0,0,0,8,3,4,0,3,0,0,0,10,1,2,0,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,55,William Ramsay Elementary,510012000000,No,MR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,2549,Samuel W. Tucker Elementary,510012000000,No,MR,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,2999,George Washington Middle,510012000000,No,MR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,3016,Francis C. Hammond Middle,510012000000,No,MR,0,0,8,3,0,0,2,0,0,5,2,0,0,1,21,7,6,3,5,0,0,0,1,11,1,0,0,0,0,0,0,7,0,0,1
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,1883,Alleghany High,510015000000,No,MR,0,0,1,0,0,0,4,0,0,0,0,0,0,2,7,0,5,0,2,0,0,0,2,2,1,0,0,0,0,0,2,0,0,0,0
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,1885,Callaghan Elementary,510015000000,No,MR,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
