LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED,LEP_M,NLEP_M,LEP_F,NLEP_F,CF_M,HH_M,PPPS_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,RF_F,SS_F
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2377,Highlands Juvenile Detention Home,510004000000,Yes,SLD,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2378,Blue Ridge Juvenile Detention Home,510004000000,Yes,SLD,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2379,Tidewater Juvenile Detention Home - Chesapeake,510004000000,Yes,SLD,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2380,Chesterfield Juvenile Detention Home,510004000000,Yes,SLD,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2383,Fairfax Juvenile Detention Home,510004000000,Yes,SLD,0,0,1,2,1,0,0,0,0,0,0,1,0,0,5,1,3,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2388,Loudoun Co. Juvenile Detention Home,510004000000,Yes,SLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2389,Lynchburg Juvenile Detention Home,510004000000,Yes,SLD,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2391,Newport News Juvenile Detention Home,510004000000,Yes,SLD,0,0,6,1,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004000000,Yes,SLD,0,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2393,Piedmont Regional Juvenile Detention Center,510004000000,Yes,SLD,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2394,Crater Juvenile Detention Home,510004000000,Yes,SLD,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2395,Richmond Juvenile Detention Home,510004000000,Yes,SLD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2396,Roanoke Valley Juvenile Detention Home,510004000000,Yes,SLD,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2397,Rappahannock Juvenile Detention Home,510004000000,Yes,SLD,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2398,Shenandoah Valley Juvenile Detention Home,510004000000,Yes,SLD,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2399,Middle Peninsula Juvenile Detention Home,510004000000,Yes,SLD,0,0,1,0,0,0,3,0,0,1,0,0,0,0,5,0,4,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2403,Prince William Juv. Detention Home,510004000000,Yes,SLD,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2476,Virginia Beach Juvenile Detention Home,510004000000,Yes,SLD,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2890,N.W.  (Northwestern) Regional Juvenile Detention Home,510004000000,Yes,SLD,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,VIRGINIA,5100058,VSDB-STAUNTON,2558,Virginia School For Deaf,510006000000,No,SLD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,6,Chincoteague Elementary,510006000000,No,SLD,0,0,0,0,0,0,6,0,0,1,0,0,0,3,10,0,6,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,7,Chincoteague High,510006000000,No,SLD,0,0,4,0,0,0,9,0,0,1,1,0,0,4,19,0,13,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,9,Kegotank Elementary,510006000000,No,SLD,0,0,12,2,0,0,1,0,0,1,2,0,0,3,21,2,13,1,5,0,0,0,0,0,15,0,0,0,0,0,0,0,6,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,12,Pungoteague Elementary,510006000000,No,SLD,0,0,6,1,2,0,3,0,0,5,1,0,0,4,22,1,11,1,9,0,0,0,0,0,12,0,0,0,0,0,1,0,9,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,14,Tangier Combined,510006000000,No,SLD,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1737,Accawmacke Elementary,510006000000,No,SLD,0,0,4,3,0,0,3,0,0,2,0,0,0,2,14,4,6,0,4,0,0,0,0,1,9,0,0,0,0,0,0,0,4,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,1738,Metompkin Elementary,510006000000,No,SLD,0,0,5,3,0,0,4,0,0,2,4,0,0,1,19,3,9,3,4,0,0,1,1,1,9,0,0,0,0,0,0,0,7,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2003,Nandua High,510006000000,No,SLD,0,0,10,5,0,0,10,0,0,8,1,0,0,8,42,4,21,1,16,0,0,0,0,0,25,0,0,0,0,0,0,0,17,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2028,Arcadia High,510006000000,No,SLD,0,0,11,2,0,0,6,0,0,7,3,0,0,4,33,3,16,1,13,0,0,0,0,0,19,0,0,0,0,0,0,0,14,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006000000,No,SLD,0,0,11,5,0,0,8,0,0,4,3,0,0,6,37,3,21,3,10,0,0,0,0,1,23,0,0,0,0,0,0,0,13,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006000000,No,SLD,0,0,12,7,0,0,10,0,0,9,3,0,0,6,47,6,23,4,14,0,0,0,1,0,28,0,0,0,0,1,0,1,16,0,0
