LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_SCICLASSES_PHYS,SCH_SCICCERT_PHYS,SCH_SCIENR_PHYS_HI_M,SCH_SCIENR_PHYS_HI_F,SCH_SCIENR_PHYS_AM_M,SCH_SCIENR_PHYS_AM_F,SCH_SCIENR_PHYS_AS_M,SCH_SCIENR_PHYS_AS_F,SCH_SCIENR_PHYS_HP_M,SCH_SCIENR_PHYS_HP_F,SCH_SCIENR_PHYS_BL_M,SCH_SCIENR_PHYS_BL_F,SCH_SCIENR_PHYS_WH_M,SCH_SCIENR_PHYS_WH_F,SCH_SCIENR_PHYS_TR_M,SCH_SCIENR_PHYS_TR_F,TOT_SCIENR_PHYS_M,TOT_SCIENR_PHYS_F,SCH_SCIENR_PHYS_LEP_M,SCH_SCIENR_PHYS_LEP_F,SCH_SCIENR_PHYS_IDEA_M,SCH_SCIENR_PHYS_IDEA_F
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,2089,Center for Autism,510001702089,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,2639,Newport Academy,510001702639,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100018,Piedmont Regional ED.,2090,Piedmont REG ED/IVY CREEK,510001802090,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2649,NORFOLK RE-ED,510002002649,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2670,SUFFOLK RE-ED,510002002670,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2675,VIRGINIA BEACH SECEP - RE-ED,510002002675,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2681,VIRGINIA BEACH SECEP,510002002681,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2689,CHESAPEAKE SECEP CENTER,510002002689,No,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100032,APPOMATTOX REGIONAL GOV SCH,1932,Appomattox Regional Governor's School,510003201932,No,2,2,0,0,0,0,1,4,0,0,10,9,4,16,0,0,15,29,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2376,Northern Virginia Juvenile Detention Home,510004202376,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2377,Highlands Juvenile Detention Home,510004202377,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2378,Blue Ridge Juvenile Detention Home,510004202378,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2379,Tidewater Juvenile Detention Home - Chesapeake,510004202379,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2380,Chesterfield Juvenile Detention Home,510004202380,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2382,W.W. Moore Jr. Juvenile Detention Home,510004202382,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2383,Fairfax Juvenile Detention Home,510004202383,Yes,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,1,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2386,Henrico Juvenile Detention Home - James River,510004202386,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2388,Loudoun Co. Juvenile Detention Home,510004202388,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2389,Lynchburg Juvenile Detention Home,510004202389,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2390,New River Valley Juvenile Detention Home,510004202390,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2391,Newport News Juvenile Detention Home,510004202391,Yes,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004202392,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2393,Piedmont Regional Juvenile Detention Center,510004202393,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2394,Crater Juvenile Detention Home,510004202394,Yes,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
