LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,2089,Center for Autism,510001702089,No,22.0,22.0,0.0,2.0,1.0,22.0,20.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0
VA,VIRGINIA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,2639,Newport Academy,510001702639,No,16.0,16.0,0.0,1.0,2.0,16.0,15.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0
VA,VIRGINIA,5100018,Piedmont Regional ED.,2090,Piedmont REG ED/IVY CREEK,510001802090,No,9.0,9.0,0.0,0.0,0.0,9.0,9.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2649,NORFOLK RE-ED,510002002649,No,20.0,17.0,3.0,2.0,1.0,14.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2670,SUFFOLK RE-ED,510002002670,No,14.0,14.0,0.0,1.0,1.0,13.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2675,VIRGINIA BEACH SECEP - RE-ED,510002002675,No,23.0,23.0,0.0,0.0,1.0,21.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2681,VIRGINIA BEACH SECEP,510002002681,No,12.0,10.0,2.0,2.0,0.0,10.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100020,SOUTHEASTERN COOP ED PGM,2689,CHESAPEAKE SECEP CENTER,510002002689,No,28.0,24.0,4.0,1.0,1.0,22.0,20.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100032,APPOMATTOX REGIONAL GOV SCH,1932,Appomattox Regional Governor's School,510003201932,No,28.0,27.0,1.0,3.0,1.0,35.0,27.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2376,Northern Virginia Juvenile Detention Home,510004202376,Yes,10.0,10.0,0.0,0.0,0.0,10.0,8.0,4.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2377,Highlands Juvenile Detention Home,510004202377,Yes,6.0,6.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2378,Blue Ridge Juvenile Detention Home,510004202378,Yes,7.0,7.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2379,Tidewater Juvenile Detention Home - Chesapeake,510004202379,Yes,10.0,10.0,0.0,1.0,0.0,10.0,7.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2380,Chesterfield Juvenile Detention Home,510004202380,Yes,10.0,10.0,0.0,1.0,0.0,8.0,6.0,5.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2382,W.W. Moore Jr. Juvenile Detention Home,510004202382,Yes,7.0,7.0,0.0,1.0,0.0,8.0,6.0,2.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2383,Fairfax Juvenile Detention Home,510004202383,Yes,12.0,12.0,0.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2386,Henrico Juvenile Detention Home - James River,510004202386,Yes,14.0,14.0,0.0,0.0,0.0,14.0,13.0,3.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2388,Loudoun Co. Juvenile Detention Home,510004202388,Yes,5.0,5.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2389,Lynchburg Juvenile Detention Home,510004202389,Yes,8.0,8.0,0.0,0.0,0.0,8.0,8.0,6.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2390,New River Valley Juvenile Detention Home,510004202390,Yes,4.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2391,Newport News Juvenile Detention Home,510004202391,Yes,13.0,13.0,0.0,0.0,0.0,13.0,13.0,9.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2392,Norfolk Juvenile Detention Center,510004202392,Yes,11.0,11.0,0.0,2.0,0.0,11.0,9.0,1.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2393,Piedmont Regional Juvenile Detention Center,510004202393,Yes,4.0,4.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,-9.0,0.0,0.0,0.0
VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2394,Crater Juvenile Detention Home,510004202394,Yes,3.0,3.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,-9.0,0.0,0.0,0.0
