County Name,Organization Code,Organization Name,School Code,School Name,Students with Disabilities Final Grad Base,Students with Disabilities Graduates Total,Students with Disabilities Graduation Rate,Students with Disabilities Completers Total,Students with Disabilities Completion Rate,Limited English Proficient Final Grad Base,Limited English Proficient Graduates Total,Limited English Proficient Graduation Rate,Limited English Proficient Completers Total,Limited English Proficient Completion Rate,Econ. Disadvant. Final Grad Base,Econ. Disadvant. Graduates Total,Econ. Disadvant. Graduation Rate,Econ. Disadvant. Completers Total,Econ. Disadvant. Completion Rate,Migrant Final Grad Base,Migrant Graduates Total,Migrant Graduation Rate,Migrant Completers Total,Migrant Completion Rate,Title 1 Final Grad Base,Title 1 Graduates Total,Title 1 Graduation Rate,Title 1 Completers Total,Title 1 Completion Rate,Homeless Final Grad Base,Homeless Graduates Total,Homeless Graduation Rate,Homeless Completers Total,Homeless Completion Rate,Gifted-Talented Final Grad Base,Gifted-Talented Graduates Total,Gifted-Talented Graduation Rate,Gifted-Talented Completers Total,Gifted-Talented Completion Rate
,9999,STATE TOTALS,,,5775,3099,53.7,3222,55.8,6171,3289,53.3,3364,54.5,25718,15791,61.4,16726,65,384,214,55.7,223,58.1,7398,3853,52.1,4129,55.8,2394,1175,49.1,1262,52.7,6604,6048,91.6,6156,93.2
ADAMS,10,MAPLETON 1,0,Summer District Dropouts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS,10,MAPLETON 1,187,Mapleton Expeditionary School Of The Arts,7,4,57.1,4,57.1,14,10,71.4,10,71.4,42,31,73.8,31,73.8,1,1,100,1,100,55,45,81.8,46,83.6,3,2,66.7,2,66.7,5,5,100,5,100
ADAMS,10,MAPLETON 1,212,Mapleton Early College High School,8,2,25,2,25,6,3,50,3,50,20,7,35,8,40,0,0,0,0,0,3,2,66.7,3,100,3,1,33.3,2,66.7,4,4,100,4,100
ADAMS,10,MAPLETON 1,221,Welby New Technology,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS,10,MAPLETON 1,263,Global Leadership Academy,0,0,0,0,0,15,11,73.3,11,73.3,16,12,75,12,75,0,0,0,0,0,19,13,68.4,13,68.4,1,1,100,1,100,0,0,0,0,0
ADAMS,10,MAPLETON 1,309,Skyview Academy High School,3,2,66.7,2,66.7,22,14,63.6,14,63.6,56,40,71.4,40,71.4,1,1,100,1,100,24,17,70.8,17,70.8,6,3,50,3,50,4,3,75,3,75
ADAMS,10,MAPLETON 1,503,York International,8,5,62.5,5,62.5,16,10,62.5,10,62.5,29,16,55.2,16,55.2,1,1,100,1,100,33,24,72.7,24,72.7,2,1,50,1,50,5,5,100,5,100
ADAMS,10,MAPLETON 1,1796,Colorado Connections Academy,7,4,57.1,4,57.1,0,0,0,0,0,32,8,25,15,46.9,0,0,0,0,0,4,0,0,2,50,3,1,33.3,2,66.7,8,1,12.5,1,12.5
ADAMS,10,MAPLETON 1,4699,The New America School,12,1,8.3,2,16.7,134,24,17.9,25,18.7,149,27,18.1,29,19.5,5,2,40,2,40,55,15,27.3,16,29.1,22,3,13.6,5,22.7,17,8,47.1,8,47.1
