DISTRICT,CS_NONPROF_ASSET,FISCALYR,CS_NONPROF_FUNC,CS_NONPROF_OBJ,FIN_UNIT,CS_NONPROF_PGMIN,BUDGAMT,DTUPDATE
015806,240,2019,00,5751,000,00,20325,23JAN2019
015806,240,2019,00,5829,000,00,3550,23JAN2019
015806,240,2019,00,5921,000,00,136395,23JAN2019
015806,240,2019,00,5922,000,00,318850,23JAN2019
015806,240,2019,00,5923,000,00,7850,23JAN2019
015806,240,2019,00,5929,000,00,23500,23JAN2019
015806,240,2019,35,6100,003,99,30588,23JAN2019
015806,240,2019,35,6100,041,99,28423,23JAN2019
015806,240,2019,35,6100,101,99,79630,23JAN2019
015806,240,2019,35,6100,106,99,41997,23JAN2019
015806,240,2019,35,6100,999,99,76240,23JAN2019
015806,240,2019,35,6200,999,99,19080,23JAN2019
015806,240,2019,35,6300,003,99,67700,23JAN2019
015806,240,2019,35,6300,101,99,103505,23JAN2019
015806,240,2019,35,6300,106,99,58800,23JAN2019
015806,240,2019,35,6300,999,99,2872,23JAN2019
015806,240,2019,35,6400,003,99,375,23JAN2019
015806,240,2019,35,6400,101,99,250,23JAN2019
015806,240,2019,35,6400,106,99,850,23JAN2019
015806,240,2019,35,6400,999,99,160,23JAN2019
015806,420,2019,00,5742,000,00,250,23JAN2019
015806,420,2019,00,5743,000,00,37000,23JAN2019
015806,420,2019,00,5749,000,00,161000,23JAN2019
015806,420,2019,00,5811,000,00,262974,23JAN2019
015806,420,2019,00,5812,000,00,5890300,23JAN2019
015806,420,2019,11,6100,003,11,344136,23JAN2019
015806,420,2019,11,6100,003,22,26435,23JAN2019
015806,420,2019,11,6100,003,23,2500,23JAN2019
015806,420,2019,11,6100,003,24,22716,23JAN2019
015806,420,2019,11,6100,003,25,35245,23JAN2019
015806,420,2019,11,6100,041,11,215863,23JAN2019
015806,420,2019,11,6100,041,23,2500,23JAN2019
015806,420,2019,11,6100,041,24,11358,23JAN2019
015806,420,2019,11,6100,041,25,5279,23JAN2019
015806,420,2019,11,6100,101,11,651597,23JAN2019
015806,420,2019,11,6100,101,23,14268,23JAN2019
015806,420,2019,11,6100,101,25,110139,23JAN2019
015806,420,2019,11,6100,101,30,125,23JAN2019
015806,420,2019,11,6100,101,32,102665,23JAN2019
015806,420,2019,11,6100,101,34,95028,23JAN2019
015806,420,2019,11,6100,101,35,17713,23JAN2019
015806,420,2019,11,6100,106,11,532212,23JAN2019
015806,420,2019,11,6100,106,23,42360,23JAN2019
015806,420,2019,11,6100,106,24,32020,23JAN2019
015806,420,2019,11,6100,106,25,33610,23JAN2019
015806,420,2019,11,6100,106,32,64125,23JAN2019
015806,420,2019,11,6100,106,34,84,23JAN2019
015806,420,2019,11,6100,999,11,848,23JAN2019
015806,420,2019,11,6200,003,11,3692,23JAN2019
015806,420,2019,11,6200,003,22,20,23JAN2019
015806,420,2019,11,6200,003,24,7,23JAN2019
015806,420,2019,11,6200,003,25,10,23JAN2019
015806,420,2019,11,6200,003,31,2000,23JAN2019
015806,420,2019,11,6200,041,11,3488,23JAN2019
015806,420,2019,11,6200,041,24,4,23JAN2019
015806,420,2019,11,6200,041,25,10,23JAN2019
015806,420,2019,11,6200,101,11,7428,23JAN2019
015806,420,2019,11,6200,101,23,20,23JAN2019
015806,420,2019,11,6200,101,25,49,23JAN2019
015806,420,2019,11,6200,101,32,51,23JAN2019
015806,420,2019,11,6200,101,34,31,23JAN2019
015806,420,2019,11,6200,101,35,12,23JAN2019
015806,420,2019,11,6200,106,11,4985,23JAN2019
015806,420,2019,11,6200,106,23,24,23JAN2019
015806,420,2019,11,6200,106,32,17,23JAN2019
015806,420,2019,11,6200,999,11,211,23JAN2019
015806,420,2019,11,6300,003,11,5945,23JAN2019
015806,420,2019,11,6300,003,22,564,23JAN2019
015806,420,2019,11,6300,003,24,202,23JAN2019
015806,420,2019,11,6300,003,25,288,23JAN2019
015806,420,2019,11,6300,041,11,4851,23JAN2019
015806,420,2019,11,6300,041,24,101,23JAN2019
015806,420,2019,11,6300,041,25,288,23JAN2019
015806,420,2019,11,6300,101,11,7993,23JAN2019
015806,420,2019,11,6300,101,23,577,23JAN2019
015806,420,2019,11,6300,101,24,5750,23JAN2019
015806,420,2019,11,6300,101,25,1396,23JAN2019
015806,420,2019,11,6300,101,32,1443,23JAN2019
015806,420,2019,11,6300,101,34,866,23JAN2019
015806,420,2019,11,6300,101,35,335,23JAN2019
015806,420,2019,11,6300,106,11,8368,23JAN2019
015806,420,2019,11,6300,106,23,1020,23JAN2019
015806,420,2019,11,6300,106,32,484,23JAN2019
015806,420,2019,11,6300,999,11,253,23JAN2019
015806,420,2019,11,6400,003,11,26744,23JAN2019
015806,420,2019,11,6400,003,22,3943,23JAN2019
015806,420,2019,11,6400,003,24,1411,23JAN2019
015806,420,2019,11,6400,003,25,2016,23JAN2019
015806,420,2019,11,6400,041,11,25041,23JAN2019
015806,420,2019,11,6400,041,24,706,23JAN2019
015806,420,2019,11,6400,041,25,2016,23JAN2019
015806,420,2019,11,6400,101,11,55956,23JAN2019
015806,420,2019,11,6400,101,23,4032,23JAN2019
015806,420,2019,11,6400,101,25,9757,23JAN2019
015806,420,2019,11,6400,101,32,10081,23JAN2019
015806,420,2019,11,6400,101,34,6049,23JAN2019
015806,420,2019,11,6400,101,35,2339,23JAN2019
015806,420,2019,11,6400,106,11,37714,23JAN2019
015806,420,2019,11,6400,106,23,4680,23JAN2019
015806,420,2019,11,6400,106,32,3385,23JAN2019
015806,420,2019,11,6400,999,11,1767,23JAN2019
015806,420,2019,13,6400,101,23,463,23JAN2019
015806,420,2019,13,6400,106,23,537,23JAN2019
015806,420,2019,21,6100,003,11,8410,23JAN2019
