DISTRICT,CS_NONPROF_ASSET,FISCALYR,CS_NONPROF_FUNC,CS_NONPROF_OBJ,FIN_UNIT,CS_NONPROF_PGMIN,BUDGAMT,DTUPDATE
013801,199,2020,81,6400,999,99,2200,21JAN2020
003801,199,2020,00,5749,000,00,52481,21JAN2020
003801,199,2020,00,5755,000,00,820,21JAN2020
003801,199,2020,23,6400,001,11,412,21JAN2020
003801,199,2020,23,6400,001,23,48,21JAN2020
003801,199,2020,23,6400,001,24,40,21JAN2020
003801,199,2020,23,6400,042,11,500,21JAN2020
003801,199,2020,23,6400,103,11,758,21JAN2020
003801,199,2020,23,6400,103,21,26,21JAN2020
003801,199,2020,23,6400,103,23,96,21JAN2020
003801,199,2020,23,6400,103,24,120,21JAN2020
003801,199,2020,36,6200,999,99,1,21JAN2020
003801,199,2020,36,6300,001,99,2619,21JAN2020
003801,199,2020,36,6300,042,99,8891,21JAN2020
003801,199,2020,36,6300,999,99,26313,21JAN2020
003801,199,2020,36,6400,999,99,750,21JAN2020
003801,199,2020,52,6200,999,99,15000,21JAN2020
003801,199,2020,61,6300,999,99,6456,21JAN2020
003801,240,2020,00,5749,000,00,150,21JAN2020
003801,240,2020,00,5751,000,00,143083,21JAN2020
003801,240,2020,00,5829,000,00,2200,21JAN2020
003801,240,2020,00,5921,000,00,46000,21JAN2020
003801,240,2020,00,5922,000,00,214000,21JAN2020
003801,240,2020,00,5923,000,00,27000,21JAN2020
003801,240,2020,35,6100,999,99,190508,21JAN2020
003801,240,2020,35,6200,999,99,2500,21JAN2020
003801,240,2020,35,6300,999,99,216750,21JAN2020
003801,240,2020,35,6400,999,99,8000,21JAN2020
003801,420,2020,00,5729,000,00,84500,21JAN2020
003801,420,2020,00,5742,000,00,2300,21JAN2020
003801,420,2020,00,5744,000,00,250,21JAN2020
003801,420,2020,00,5749,000,00,233000,21JAN2020
003801,420,2020,00,5752,000,00,7900,21JAN2020
003801,420,2020,00,5811,000,00,230942,21JAN2020
003801,420,2020,00,5812,000,00,9199089,21JAN2020
003801,420,2020,00,5931,000,00,500,21JAN2020
003801,420,2020,11,6100,001,11,1275436,21JAN2020
003801,420,2020,11,6100,001,23,179321,21JAN2020
003801,420,2020,11,6100,001,24,61136,21JAN2020
003801,420,2020,11,6100,042,11,700918,21JAN2020
003801,420,2020,11,6100,103,11,1554028,21JAN2020
003801,420,2020,11,6100,103,21,52927,21JAN2020
003801,420,2020,11,6100,103,23,165280,21JAN2020
003801,420,2020,11,6100,103,24,207366,21JAN2020
003801,420,2020,11,6100,103,37,67761,21JAN2020
003801,420,2020,11,6200,001,11,435725,21JAN2020
003801,420,2020,11,6200,001,23,19245,21JAN2020
003801,420,2020,11,6200,001,24,670,21JAN2020
003801,420,2020,11,6200,042,11,34139,21JAN2020
003801,420,2020,11,6200,103,11,13060,21JAN2020
003801,420,2020,11,6200,103,21,336,21JAN2020
003801,420,2020,11,6200,103,23,29809,21JAN2020
003801,420,2020,11,6200,103,24,1552,21JAN2020
003801,420,2020,11,6300,001,11,90750,21JAN2020
003801,420,2020,11,6300,001,22,50000,21JAN2020
003801,420,2020,11,6300,001,23,1950,21JAN2020
003801,420,2020,11,6300,001,24,2000,21JAN2020
003801,420,2020,11,6300,042,11,17150,21JAN2020
003801,420,2020,11,6300,042,23,1950,21JAN2020
003801,420,2020,11,6300,042,24,1000,21JAN2020
003801,420,2020,11,6300,103,11,86500,21JAN2020
003801,420,2020,11,6300,103,23,1950,21JAN2020
003801,420,2020,11,6300,103,24,2000,21JAN2020
003801,420,2020,11,6300,103,37,500,21JAN2020
003801,420,2020,11,6400,001,11,6302,21JAN2020
003801,420,2020,11,6400,001,23,2242,21JAN2020
003801,420,2020,11,6400,001,24,368,21JAN2020
003801,420,2020,11,6400,042,11,5773,21JAN2020
003801,420,2020,11,6400,042,23,1200,21JAN2020
003801,420,2020,11,6400,103,11,9893,21JAN2020
003801,420,2020,11,6400,103,21,184,21JAN2020
003801,420,2020,11,6400,103,23,1902,21JAN2020
003801,420,2020,11,6400,103,24,852,21JAN2020
003801,420,2020,11,6400,103,37,50,21JAN2020
003801,420,2020,13,6100,001,11,63861,21JAN2020
003801,420,2020,13,6100,001,23,7431,21JAN2020
003801,420,2020,13,6100,001,24,6180,21JAN2020
003801,420,2020,13,6100,103,11,17981,21JAN2020
003801,420,2020,13,6100,103,21,615,21JAN2020
003801,420,2020,13,6100,103,23,2284,21JAN2020
003801,420,2020,13,6100,103,24,2842,21JAN2020
003801,420,2020,13,6200,001,11,1521,21JAN2020
003801,420,2020,13,6200,001,23,177,21JAN2020
003801,420,2020,13,6200,001,24,147,21JAN2020
003801,420,2020,13,6200,042,11,909,21JAN2020
003801,420,2020,13,6200,103,11,2157,21JAN2020
003801,420,2020,13,6200,103,21,74,21JAN2020
003801,420,2020,13,6200,103,23,274,21JAN2020
003801,420,2020,13,6200,103,24,341,21JAN2020
003801,420,2020,13,6400,001,11,5166,21JAN2020
003801,420,2020,13,6400,042,11,3099,21JAN2020
003801,420,2020,13,6400,103,11,10235,21JAN2020
003801,420,2020,13,6400,103,37,2000,21JAN2020
003801,420,2020,21,6100,001,11,38069,21JAN2020
003801,420,2020,21,6100,001,23,40677,21JAN2020
003801,420,2020,21,6100,001,24,3684,21JAN2020
003801,420,2020,21,6100,042,11,22757,21JAN2020
003801,420,2020,21,6100,103,11,54006,21JAN2020
003801,420,2020,21,6100,103,21,1846,21JAN2020
003801,420,2020,21,6100,103,23,63007,21JAN2020
003801,420,2020,21,6100,103,24,8535,21JAN2020
003801,420,2020,21,6200,001,11,272,21JAN2020
003801,420,2020,21,6200,001,23,32,21JAN2020
003801,420,2020,21,6200,001,24,26,21JAN2020
003801,420,2020,21,6200,042,11,162,21JAN2020
003801,420,2020,21,6200,103,11,385,21JAN2020
003801,420,2020,21,6200,103,21,13,21JAN2020
003801,420,2020,21,6200,103,23,49,21JAN2020
003801,420,2020,21,6200,103,24,61,21JAN2020
