State,Region,County,District,District Name,Charter Status,Superintendent,Base Pay,Total Pay,Enrollment,FTE
TX,10,DALLAS COUNTY,057829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,"WHITE, BRENTON P",153021,156621,1703,0.5
TX,04,HARRIS COUNTY,101871,A+ UNLIMITED POTENTIAL,OPEN ENROLLMENT CHARTER,"MCWHORTER, THOMAS KAPLAN",145000,145000,190,1
TX,12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,"PUSTEJOVSKY, ERIC D",132401,132401,285,1
TX,17,HALE COUNTY,095901,ABERNATHY ISD,TRADITIONAL ISD/CSD,"HILL, MICHAEL GLEN",151600,160000,778,1
TX,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,"KUHN, JOHN",306000,339234,14425,1
TX,10,DALLAS COUNTY,057814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,"MCCANN, ARDIS L",100848,100848,245,1
TX,12,BELL COUNTY,014901,ACADEMY ISD,TRADITIONAL ISD/CSD,"NOLEN, DARLA K",145000,165760,1864,1
TX,04,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,"CHANDLER, BRANDON",210000,213000,711,1
TX,04,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,"HICKS, KEVIN",72608,290433,166,0.25
TX,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,"BROOKS, FRANCES DAWN",93000,93000,136,1
TX,10,DALLAS COUNTY,057806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,"WILLIAMS, DAVID LOUIS",90225,90225,909,1
TX,02,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,"PADILLA, JIMMY EDWARD",120000,156600,387,1
TX,20,BEXAR COUNTY,015901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,"BASHARA, DANA MARIE",345201,348801,4735,1
TX,07,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,"DAVIDSON, SHELBY L",146500,159882,774,1
TX,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,"STUARD, DARYL LYNN",181105,186605,449,1
TX,04,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,"GOFFNEY, LATONYA MCGOWEN",356349,387499,52161,1
TX,11,PARKER COUNTY,184907,ALEDO ISD,TRADITIONAL ISD/CSD,"BOHN, SUSAN KOLAR",333125,333125,8644,1
TX,02,JIM WELLS COUNTY,125901,ALICE ISD,TRADITIONAL ISD/CSD,"TREVINO, ANYSIA ROXANA",244110,244110,4213,1
TX,04,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,"MAYS, ANTHONY TYWAUN",345565,345565,36441,1
TX,04,HARRIS COUNTY,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,OPEN ENROLLMENT CHARTER,"PRESILLAS, DELIA",66660,133320,416,0.5
TX,10,COLLIN COUNTY,043901,ALLEN ISD,TRADITIONAL ISD/CSD,"BULLOCK, ROBIN NICOLE",340561,441889,20117,1
TX,18,BREWSTER COUNTY,022901,ALPINE ISD,TRADITIONAL ISD/CSD,"RINEHART, BEVERLEY MICHELLE",159020,159020,960,1
TX,07,CHEROKEE COUNTY,037901,ALTO ISD,TRADITIONAL ISD/CSD,"CONLEY, STEPHEN D",125000,130000,525,1
TX,11,JOHNSON COUNTY,126901,ALVARADO ISD,TRADITIONAL ISD/CSD,"ESTES, KENNETH R",203750,203750,3708,1
TX,04,BRAZORIA COUNTY,020901,ALVIN ISD,TRADITIONAL ISD/CSD,"NELSON, CAROL L",348140,400430,30087,1
TX,11,WISE COUNTY,249901,ALVORD ISD,TRADITIONAL ISD/CSD,"BROWN, RANDY MARK",157257,172423,876,1
TX,16,POTTER COUNTY,188901,AMARILLO ISD,TRADITIONAL ISD/CSD,"PARISH, DEIDRE ARTHUR",306454,331204,28276,1
TX,04,GALVESTON COUNTY,084804,AMBASSADORS PREPARATORY ACADEMY,OPEN ENROLLMENT CHARTER,"JOSEPH-BEAFNEAUX, RACHELLE RENE",76000,181000,140,0.5
TX,17,LAMB COUNTY,140901,AMHERST ISD,TRADITIONAL ISD/CSD,"RODGERS, JOEL W",152734,152734,102,1
