OBJECTID,Join_Count,TARGET_FID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape__Are,Shape__Len,CITY,ESC Region,WEB,POS,POS_1,POS_12,POS_12_13,POS_12__14,Program_of,POS_12__15,POS_12__16,POS_12__17,POS_12__18,POS_12__19,POS_12__20,POS_12__21,POS_12__22,POS_12__23,Dist_Num,Dist_Denom,Dist_Rate,Shape__Area,Shape__Length
1,1,0,30180,Memphis ISD,Memphis,96904,096-904,096904,4830180,4,0.170096263359,2.46856868847,Amarillo,16,https://www.esc16.net/,Agribusiness, ,Graphic Design and Multimedia Arts, ,Early Learning; Teaching and Training, , , ,Family and Community Services,Web Development, , , , , ,10 or fewer,34,0,0.170096263396999,2.46856869006778
2,1,1,34380,Patton Springs ISD,Patton Springs,63906,063-906,063906,4834380,5,0.0982415262799,1.48385178505,Lubbock,17,https://www.esc17.net/, , , , , , , , , , , , , , , ,10 or fewer,10 or fewer,0,0.0982415262844825,1.48385178761493
3,1,2,00002,Spur ISD,Spur,63903,063-903,063903,4800002,3,0.133311982989,2.11686425105,Lubbock,17,https://www.esc17.net/, , , , , , , , , , , ,Welding, , , ,10 or fewer,21,0,0.133311983005569,2.11686425374351
4,1,3,40080,Sherman ISD,Sherman,91906,091-906,091906,4840080,1,0.01926072572,1.03926041346,Richardson,10,https://www.region10.org/,Animal Science; Applied Agricultural Engineering; Environmental and Natural Resources; Plant Science,Architectural Design; Carpentry; Construction Management and Inspection; HVAC and Sheet Metal,Graphic Design and Multimedia Arts; Digital Communications,Accounting and Financial Services; Business Management; Marketing and Sales,Teaching and Training, ,Healthcare Diagnostics; Healthcare Therapeutic; Medical Therapy; Nursing Science,Culinary Arts,Family and Community Services,Information Technology Support and Services; Networking Systems; Web Development,Emergency Services; Law Enforcement; Legal Studies,Advanced Manufacturing and Machinery Mechanics; Manufacturing Technology,Cybersecurity; Engineering; Programming and Software Development, , ,213,367,58,0.0192607257201871,1.03926039955818
5,1,4,38400,S and S Cons ISD,S and S Cons,91914,091-914,091914,4838400,6,0.0326602883151,1.3112666849,Richardson,10,https://www.region10.org/,Agribusiness; Animal Science, ,Graphic Design and Multimedia Arts; Digital Communications, , , ,Exercise Science and Wellness,Culinary Arts,Family and Community Services, , , , , , ,15,44,34,0.0326602882848874,1.31126667075887
6,1,5,35580,Pottsboro ISD,Pottsboro,91913,091-913,091913,4835580,7,0.0243559881803,1.05968629346,Richardson,10,https://www.region10.org/,Agribusiness; Animal Science; Applied Agricultural Engineering; Environmental and Natural Resources; Food Science and Technology; Plant Science, , , ,Teaching and Training, , ,Culinary Arts, , , ,Advanced Manufacturing and Machinery Mechanics; Manufacturing Technology; Welding, , ,Cosmetology and Personal Care Services,21,89,24,0.0243559881971578,1.05968628761061
7,1,6,44730,Waxahachie ISD,Waxahachie,70912,070-912,070912,4844730,6,0.0474461384658,1.30203197981,Richardson,10,https://www.region10.org/,Agribusiness; Animal Science,Construction Management and Inspection; Plumbing and Pipefitting,Graphic Design and Multimedia Arts; Digital Communications,Accounting and Financial Services,Early Learning; Teaching and Training, ,Healthcare Diagnostics; Healthcare Therapeutic; Medical Therapy; Nursing Science,Culinary Arts,Family and Community Services; Health and Wellness,Information Technology Support and Services; Networking Systems; Web Development, ,Advanced Manufacturing and Machinery Mechanics; Welding,Cybersecurity; Engineering,Automotive,Cosmetology and Personal Care Services,146,464,31,0.0474461384778806,1.30203196798254
8,1,7,34110,Palmer ISD,Palmer,70910,070-910,070910,4834110,1,0.0136895817666,0.732817698623,Richardson,10,https://www.region10.org/,Animal Science; Applied Agricultural Engineering, , ,Business Management, , , , , , , , , , , ,10 or fewer,50,0,0.0136895817756795,0.732817699493653
9,1,8,18540,Ennis ISD,Ennis,70903,070-903,070903,4818540,7,0.0646154466235,1.89040647444,Richardson,10,https://www.region10.org/,Animal Science; Plant Science,Carpentry,Digital Communications,Accounting and Financial Services,Teaching and Training, ,Healthcare Diagnostics; Healthcare Therapeutic; Medical Therapy; Nursing Science,Culinary Arts,Family and Community Services, ,Legal Studies,Advanced Manufacturing and Machinery Mechanics; Welding,Engineering,Automotive,Cosmetology and Personal Care Services,149,343,43,0.0646154466091957,1.89040647350366
10,1,9,16710,Denison ISD,Denison,91903,091-903,091903,4816710,3,0.0245084500732,1.12939167265,Richardson,10,https://www.region10.org/,Animal Science; Applied Agricultural Engineering,Carpentry; Construction Management and Inspection; Electrical; HVAC and Sheet Metal; Masonry; Plumbing and Pipefitting,Graphic Design and Multimedia Arts; Digital Communications,Accounting and Financial Services,Early Learning; Teaching and Training, ,Healthcare Diagnostics; Healthcare Therapeutic; Medical Therapy; Nursing Science,Culinary Arts,Family and Community Services,Information Technology Support and Services; Networking Systems; Web Development,Law Enforcement,Advanced Manufacturing and Machinery Mechanics; Manufacturing Technology; Welding,Cybersecurity; Engineering, ,Cosmetology and Personal Care Services,127,250,51,0.0245084500768371,1.12939167225056
