"District Number","District Name","Approx Area Sq Kilometers","Approx Area US Survey Acres","Approx Area Sq US Statute Miles"
"109901","Abbott ISD",194.748,48123.134,75.192
"095901","Abernathy ISD",469.405,115991.961,181.237
"221901","Abilene ISD",276.221,68255.415,106.649
"014901","Academy ISD",149.583,36962.725,57.754
"180903","Adrian ISD",1719.056,424786.319,663.729
"178901","Agua Dulce ISD",253.102,62542.546,97.723
"015901","Alamo Heights ISD",24.147,5966.734,9.323
"250906","Alba-Golden ISD",252.435,62377.809,97.465
"209901","Albany ISD",1537.172,379841.949,593.503
"101902","Aldine ISD",283.031,69938.218,109.278
"184907","Aledo ISD",342.152,84547.243,132.105
"125901","Alice ISD",780.611,192892.347,301.394
"101903","Alief ISD",101.448,25068.316,39.169
"043901","Allen ISD",75.672,18698.992,29.217
"022901","Alpine ISD",4963.124,1226409.734,1916.266
"037901","Alto ISD",508.407,125629.522,196.296
"126901","Alvarado ISD",254.266,62830.227,98.172
"020901","Alvin ISD",651.463,160979.452,251.530
"249901","Alvord ISD",295.774,73087.089,114.199
"188901","Amarillo ISD",193.472,47807.719,74.700
"140901","Amherst ISD",267.250,66038.755,103.186
"036901","Anahuac ISD",1196.519,295665.017,461.977
"093901","Anderson-Shiro Cons ISD",683.966,169010.871,264.080
"002901","Andrews ISD",3887.724,960673.568,1501.053
"020902","Angleton ISD",1123.717,277675.358,433.868
"043902","Anna ISD",159.166,39330.579,61.454
"127901","Anson ISD",689.064,170270.809,266.048
"071906","Anthony ISD",20.726,5121.475,8.002
"110901","Anton ISD",213.667,52798.018,82.497
"228905","Apple Springs ISD",310.554,76739.197,119.905
"109912","Aquilla ISD",183.486,45340.115,70.844
"004901","Aransas County ISD",1298.557,320879.154,501.374
"205901","Aransas Pass ISD",144.530,35714.108,55.803
"005901","Archer City ISD",1120.551,276893.079,432.646
"061910","Argyle ISD",91.584,22630.740,35.361
"220901","Arlington ISD",229.137,56620.631,88.470
"212901","Arp ISD",217.976,53862.801,84.161
"217901","Aspermont ISD",2098.902,518647.787,810.387
"107901","Athens ISD",615.132,152001.775,237.503
"034901","Atlanta ISD",652.548,161247.414,251.949
"061907","Aubrey ISD",120.293,29724.868,46.445
"227901","Austin ISD",593.890,146752.928,229.302
"196901","Austwell-Tivoli ISD",683.157,168811.185,263.768
"070901","Avalon ISD",120.404,29752.437,46.488
"194902","Avery ISD",434.578,107386.000,167.791
"034902","Avinger ISD",181.477,44843.721,70.068
"161918","Axtell ISD",220.723,54541.545,85.221
"220915","Azle ISD",240.594,59451.802,92.893
"030903","Baird ISD",971.375,240030.924,375.048
"200901","Ballinger ISD",1078.568,266518.898,416.436
"195902","Balmorhea ISD",1390.112,343502.709,536.723
"010902","Bandera ISD",819.186,202424.496,316.288
"025901","Bangs ISD",532.807,131658.836,205.717
"178913","Banquete ISD",322.987,79811.474,124.705
"036902","Barbers Hill ISD",500.158,123591.125,193.111
"014902","Bartlett ISD",261.990,64738.778,101.154
"011901","Bastrop ISD",1116.932,275998.759,431.248
"158901","Bay City ISD",425.305,105094.796,164.211
"123910","Beaumont ISD",466.033,115158.700,179.936
"183901","Beckville ISD",303.999,75119.509,117.374
"013901","Beeville ISD",896.637,221562.927,346.192
"039904","Bellevue ISD",408.481,100937.335,157.715
"091901","Bells ISD",151.252,37374.947,58.398
"008901","Bellville ISD",1002.194,247646.626,386.948
"014903","Belton ISD",516.570,127646.615,199.448
"125902","Ben Bolt-Palito Blanco ISD",357.316,88294.351,137.960
"066901","Benavides ISD",1906.828,471185.515,736.228
"138904","Benjamin ISD",1057.075,261207.756,408.137
"187901","Big Sandy ISD (Polk)",515.308,127334.832,198.961
"230901","Big Sandy ISD (Upshur)",221.736,54791.914,85.612
"114901","Big Spring ISD",624.533,154324.909,241.133
"220902","Birdville ISD",104.312,25776.038,40.275
"178902","Bishop Cons ISD",439.114,108506.958,169.542
"177903","Blackwell Cons ISD",1217.604,300875.310,470.118
"016902","Blanco ISD",905.005,223630.620,349.423
"116915","Bland ISD",156.700,38721.207,60.502
"025904","Blanket ISD",251.080,62043.027,96.942
"034909","Bloomburg ISD",84.511,20883.157,32.630
"175902","Blooming Grove ISD",429.655,106169.593,165.890
"235901","Bloomington ISD",274.581,67850.214,106.016
"043917","Blue Ridge ISD",168.135,41546.898,64.917
"072904","Bluff Dale ISD",180.881,44696.438,69.838
"109913","Blum ISD",264.143,65270.837,101.986
"130901","Boerne ISD",796.814,196896.188,307.650
"116916","Boles ISD",22.057,5450.358,8.516
"241901","Boling ISD",377.429,93264.366,145.726
"074903","Bonham ISD",589.981,145786.892,227.792
"148901","Booker ISD",780.249,192802.976,301.255
"017901","Borden County ISD",2352.650,581350.203,908.360
"117901","Borger ISD",124.571,30782.149,48.097
"161923","Bosqueville ISD",60.704,15000.248,23.438
"185901","Bovina ISD",555.397,137240.988,214.439
"169901","Bowie ISD",732.410,180981.671,282.784
"249902","Boyd ISD",176.083,43510.982,67.986
"180901","Boys Ranch ISD",1.270,313.893,0.490
"136901","Brackett ISD",3535.651,873674.716,1365.117
"160901","Brady ISD",1812.461,447866.989,699.792
"008903","Brazos ISD",330.900,81766.866,127.761
"020905","Brazosport ISD",836.216,206632.619,322.864
"215901","Breckenridge ISD",2092.163,516982.612,807.786
"198901","Bremond ISD",477.084,117889.574,184.203
"239901","Brenham ISD",1194.724,295221.555,461.284
"181901","Bridge City ISD",171.997,42501.271,66.408
"249903","Bridgeport ISD",377.869,93373.054,145.895
"203902","Broaddus ISD",729.506,180264.207,281.663
"184909","Brock ISD",225.112,55626.046,86.916
"041901","Bronte ISD",851.027,210292.486,328.582
"121902","Brookeland ISD",390.797,96567.626,150.887
"025908","Brookesmith ISD",409.591,101211.663,158.143
"024901","Brooks County ISD",2444.044,603933.928,943.647
"223901","Brownfield ISD",997.227,246419.272,385.030
"107902","Brownsboro ISD",499.123,123335.555,192.712
"031901","Brownsville ISD",262.946,64975.003,101.523
"025902","Brownwood ISD",362.410,89553.002,139.927
"161919","Bruceville-Eddy ISD",182.909,45197.492,70.621
"021902","Bryan ISD",1057.951,261424.307,408.476
"119901","Bryson ISD",474.217,117181.007,183.095
"166907","Buckholts ISD",120.068,29669.222,46.358
"186901","Buena Vista ISD",2259.721,558386.811,872.480
"145901","Buffalo ISD",692.794,171192.444,267.488
"212902","Bullard ISD",221.904,54833.501,85.677
"121903","Buna ISD",569.558,140740.193,219.907
"243901","Burkburnett ISD",457.815,113127.977,176.763
"176901","Burkeville ISD",851.343,210370.535,328.704
"126902","Burleson ISD",130.750,32308.981,50.483
"027903","Burnet Cons ISD",1831.263,452513.013,707.052
"239903","Burton ISD",419.173,103579.376,161.843
"188904","Bushland ISD",1444.233,356876.188,557.619
"109902","Bynum ISD",210.807,52091.403,81.393
"116901","Caddo Mills ISD",178.594,44131.419,68.955
"178903","Calallen ISD",85.231,21060.850,32.908
"026901","Caldwell ISD",1006.374,248679.385,388.562
"029901","Calhoun County ISD",2674.592,660903.257,1032.662
"049905","Callisburg ISD",355.369,87813.334,137.208
