School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2019-2020,1,Accomack County ,540,Arcadia High,              18
2019-2020,1,Accomack County ,70,Nandua High,              15
2019-2020,2,Albemarle County ,880,Albemarle High,              28
2019-2020,2,Albemarle County ,69,Jackson P. Burley Middle,               1
2019-2020,2,Albemarle County ,942,Joseph T. Henley Middle,               2
2019-2020,2,Albemarle County ,20,Leslie H. Walton Middle,               1
2019-2020,2,Albemarle County ,1052,Monticello High,              15
2019-2020,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,               1
2019-2020,2,Albemarle County ,140,Western Albemarle High,               3
2019-2020,101,Alexandria City ,140,Francis C. Hammond Middle,              13
2019-2020,101,Alexandria City ,130,George Washington Middle,               1
2019-2020,101,Alexandria City ,50,Patrick Henry Elementary,               1
2019-2020,101,Alexandria City ,210,T.C. Williams High,             180
2019-2020,3,Alleghany County ,310,Alleghany High,               6
2019-2020,3,Alleghany County ,1040,Clifton Middle,               1
2019-2020,4,Amelia County ,10,Amelia County High,               3
2019-2020,5,Amherst County ,750,Amherst County High,              11
2019-2020,6,Appomattox County ,260,Appomattox County High,               4
2019-2020,7,Arlington County ,618,Arlington Community High,              36
2019-2020,7,Arlington County ,611,Gunston Middle,               4
2019-2020,7,Arlington County ,500,Kenmore Middle,               3
2019-2020,7,Arlington County ,240,Swanson Middle,               1
2019-2020,7,Arlington County ,450,Wakefield High,              37
2019-2020,7,Arlington County ,80,Washington-Liberty High,              23
2019-2020,7,Arlington County ,480,Williamsburg Middle,               1
2019-2020,7,Arlington County ,330,Yorktown High,              12
2019-2020,8,Augusta County ,660,Buffalo Gap High,               6
2019-2020,8,Augusta County ,670,Fort Defiance High,               6
2019-2020,8,Augusta County ,680,Riverheads High,               4
2019-2020,8,Augusta County ,730,Stuarts Draft High,               8
2019-2020,8,Augusta County ,60,Stuarts Draft Middle,               1
2019-2020,8,Augusta County ,720,Wilson Memorial High,              14
2019-2020,8,Augusta County ,844,Wilson Middle,               1
2019-2020,9,Bath County ,140,Bath County High,               6
2019-2020,10,Bedford County ,1211,Forest Middle,               2
2019-2020,10,Bedford County ,1212,Jefferson Forest High,               6
2019-2020,10,Bedford County ,1180,Liberty High,               9
2019-2020,10,Bedford County ,490,Liberty Middle,               1
2019-2020,10,Bedford County ,1190,Staunton River High,               4
2019-2020,10,Bedford County ,1191,Staunton River Middle,               1
2019-2020,11,Bland County ,260,Bland County High,               3
2019-2020,12,Botetourt County ,440,Lord Botetourt High,               9
2019-2020,12,Botetourt County ,450,Read Mountain Middle,               1
2019-2020,102,Bristol City ,80,Virginia High,               4
2019-2020,102,Bristol City ,10,Virginia Middle,               1
2019-2020,13,Brunswick County ,650,Brunswick High,               1
2019-2020,14,Buchanan County ,990,Grundy High,               5
2019-2020,14,Buchanan County ,1020,Hurley High,               3
2019-2020,14,Buchanan County ,1042,Twin Valley High,               4
2019-2020,15,Buckingham County ,700,Buckingham County High,              11
2019-2020,15,Buckingham County ,721,Buckingham County Middle,               1
2019-2020,103,Buena Vista City ,62,Parry McCluer High School,               6
2019-2020,16,Campbell County ,720,Brookville High,              17
2019-2020,16,Campbell County ,20,Brookville Middle,               1
2019-2020,16,Campbell County ,542,William Campbell High,               3
2019-2020,17,Caroline County ,460,Caroline High,              17
2019-2020,17,Caroline County ,450,Caroline Middle,               1
2019-2020,18,Carroll County ,1230,Carroll County High,               8
