School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2022-2023,1,Accomack County ,540,Arcadia High,              18
2022-2023,1,Accomack County ,704,Arcadia Middle ,               1
2022-2023,1,Accomack County ,70,Nandua High,              17
2022-2023,2,Albemarle County ,880,Albemarle High,              49
2022-2023,2,Albemarle County ,890,Community Lab School,               4
2022-2023,2,Albemarle County ,69,Jackson P. Burley Middle,               3
2022-2023,2,Albemarle County ,942,Joseph T. Henley Middle,               1
2022-2023,2,Albemarle County ,950,Journey Middle,               3
2022-2023,2,Albemarle County ,1051,Lakeside Middle,               1
2022-2023,2,Albemarle County ,1052,Monticello High,               9
2022-2023,2,Albemarle County ,140,Western Albemarle High,               5
2022-2023,101,Alexandria City ,210,Alexandria City High School,             203
2022-2023,101,Alexandria City ,140,Francis C. Hammond Middle,               8
2022-2023,101,Alexandria City ,130,George Washington Middle,               3
2022-2023,101,Alexandria City ,50,Patrick Henry K-8 School,               3
2022-2023,3,Alleghany Highlands ,310,Alleghany High,               6
2022-2023,3,Alleghany Highlands ,1040,Clifton Middle,               1
2022-2023,3,Alleghany Highlands ,350,Covington High,               2
2022-2023,3,Alleghany Highlands ,360,Jeter-Watson Elementary,               0
2022-2023,4,Amelia County ,10,Amelia County High,              15
2022-2023,5,Amherst County ,750,Amherst County High,              10
2022-2023,5,Amherst County ,670,Amherst Middle,               1
2022-2023,5,Amherst County ,20,Monelison Middle,               2
2022-2023,6,Appomattox County ,260,Appomattox County High,               8
2022-2023,7,Arlington County ,618,Arlington Community High,              25
2022-2023,7,Arlington County ,611,Gunston Middle,               6
2022-2023,7,Arlington County ,180,Jefferson Middle,               1
2022-2023,7,Arlington County ,500,Kenmore Middle,               1
2022-2023,7,Arlington County ,240,Swanson Middle,               1
2022-2023,7,Arlington County ,450,Wakefield High,              27
2022-2023,7,Arlington County ,80,Washington-Liberty High,              40
2022-2023,7,Arlington County ,330,Yorktown High,              13
2022-2023,8,Augusta County ,660,Buffalo Gap High,               6
2022-2023,8,Augusta County ,670,Fort Defiance High,               4
2022-2023,8,Augusta County ,680,Riverheads High,               3
2022-2023,8,Augusta County ,730,Stuarts Draft High,               5
2022-2023,8,Augusta County ,720,Wilson Memorial High,              14
2022-2023,8,Augusta County ,844,Wilson Middle,               6
2022-2023,9,Bath County ,140,Bath County High,               2
2022-2023,10,Bedford County ,1212,Jefferson Forest High,               9
2022-2023,10,Bedford County ,1180,Liberty High,              22
2022-2023,10,Bedford County ,490,Liberty Middle,               1
2022-2023,10,Bedford County ,1190,Staunton River High,              15
2022-2023,10,Bedford County ,1191,Staunton River Middle,               1
